42:15:001:1	Dibé yóó'ííyáii binahjį' hane' bee ak'idi'dootį́įłii
42:15:001:0	Łah tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii éí t'áá ałtso dahółts'ą́ą' doo biniyé t'áá áháníjį' hach'į' niikai. 
42:15:002:0	Nít'éé' Férisii danilíinii índa bee haz'áanii yínda'niłtinii haa nídaast'įįdgo, Díí diné bąąhági ádaaníiłii baa hakáahgo yił da'ayą́, dadííniid.  
42:15:003:0	Áko díí hane' bee ak'idi'dootį́įłii bee bich'į' hadzoodzíi'go ábijiní: 
42:15:004:0	Háishą' nihitahdóó ła' dibé neeznádiin bilį́į'go honoojíigi na'niłkaad, nít'éé' ła' yóó'ayííłt'e'go, da' doósh náhást'édiindóó ba'aan náhást'éígíí t'áá áajį' yi'doołnihgo, yóó'ayííłt'e'ígíí nínéidiiłtį́įjį' háidínóotaał da? 
42:15:005:0	Áko nínéidiiłtį́įgo bił hózhǫ́ǫgo biwosgi dah yidoołtéełgo, 
42:15:006:0	bighandi nádzáago dabik'isóó índa yił kéédahat'ínígíí áyididooniił, Shaa hohkááh, shił nihił dahózhǫ́ǫ le', háálá shidibé yóó'ííłt'e'ígíí náádiiłtį́. 
42:15:002:1	Béésh łigaii yóó'eelne' binahjį' hane' bee ak'idi'dootį́įłii
42:15:007:0	Ánihidishní, T'áá ákót'éego diné t'ááłá'í bąąhági ááníiłii łahgo át'éego Diyin God yich'į' tsíńdeezkéezgo yoosdląądii éí náhást'édiindóó ba'aan náhást'éí yilt'éego ts'ídá t'áá ákogi ádaniit'é danízingo bąą t'áadoo łahgo át'éego Diyin God yich'į' tsíńdahideezkéezii biláahdi át'éego yá'ąąshdi baa hózhǫ́ǫ doo. 
42:15:008:0	Doodaii' asdzání ła', béésh łigaii béeso neeznáá neijaahgo, nít'éé' ła' yóó'ayííłne'go, haash doonííł? Ts'ídá bee hool'iní yididoołtłiłgo nínéidii'ą́ąjį' hazhó'ó nantáago kin góne' t'áá át'é nahodooshoh. 
42:15:009:0	Áko éí nínéidii'ą́ągo dabik'isóó índa yił kéédahat'íinii áyididooniił, Shaa hohkááh, shił nihił dahózhǫ́ǫ le'. Jó, béésh łigaii yóó'ííłne'ígíí náádii'ą́. 
42:15:003:1	Aye' yóó'ííyáii binahjį' hane' bee ak'idi'dootį́įłii
42:15:010:0	Ánihidishní, T'áá ákót'éego diné t'ááłá'í bąąhági ááníiłii łahgo át'éego tsíńdeezkéezgo bibąąhági át'éii yits'áníyáii éí Diyin God bidiyingo nidaal'a'í dabinááł t'áá íiyisí baa hózhǫ́. 
42:15:011:0	Áádóó ánáázhdoo'niid, Diné léi' ła' biye' naaki; 
42:15:012:0	akéédę́ę́' nijigháhígíí hazhé'é ábizhdííniid, Shizhé'é, naalye'é shídooleełígíí shaa diní'aah. Áko hazhé'é yee hinánígíí há ałts'áyíínil. 
42:15:013:0	T'áadoo lą'í yiłkaahí akéédę́ę́' nijigháhígíí hanaalye'é áłah ájiilaago kéyah nízaad léi'góó ajííyá, áko áadi tsi'njigháago hanaalye'é t'óó bee nidzizne'. 
42:15:014:0	Áádóó ałtso hats'á'iizdéél. Nít'éé' éí kéyahígi t'áá íiyisí hodííchįįd, áko hahojoobá'ígo t'áá ałtsoní bídin jílį́ dzizlį́į́'. 
42:15:015:0	Éí kéyahdi kéédahat'ínígíí ła' baa ázhdeet'ą́ągo bázhdeeshnish, áko éí dinéhígíí be'enída'azt'i'góó bibisóodi baní'dzíłtso'go nahał'a' nít'éé'. 
42:15:016:0	Nít'éé' álástsii' bikágí bisóodi deiyánígíí k'adę́ę ła' jiyą́, háálá diné doo ła' ha'íłtsóod da. 
42:15:017:0	Áko ájít'éii bee ádééjoolnii'go ázhdííniid, Shighandi la' shizhé'é bá nidaal'a'ígíí dabich'iyą' lą'í bee dahólǫ́, áádóó t'áá bilááh daneel'ą́, nidi shí t'éiyá kwe'é dichin shi'niiłhį́! 
42:15:018:0	Nídideesh'nahgo shizhé'é bich'į' nídeeshdáałgo kóbidideeshniił, Shizhé'é, yá'ąąshii bich'į' índa ni nich'į' bąąhági ásdzaa; 
42:15:019:0	náásgóó niye'go nááshi'dójíi dooígíí doo bą́ą́h nishłį́į da sélį́į́'; ła' ná nidaal'a'ígíigi át'éego t'óó ná naal'a'í áshílééh. 
42:15:020:0	Nízhdii'na'go hazhé'é bich'į' dah nízdiidzá. T'ah nízaadę́ę́' joogáałgo hazhé'é hoołtsą́ągo, haa a'ááh niizį́į́', áádóó haa yílwodgo hazénázhchidgo hazts'ǫs. 
42:15:021:0	Hazhé'é ábizhdííniid, Shizhé'é, yá'ąąshii bich'į' índa ni nich'į' bąąhági ásdzaa, náásgóó niye'go nááshi'dójíi dooígíí doo bą́ą́h nishłį́į da sélį́į́'. 
42:15:022:0	Nidi hazhé'é éí bá nidaal'a'ígíí áyidííniid, Tsį́įłgo éé' agháago yá'át'éhígíí nídoołtsóosgo biih wołteeh, áádóó yoostsah bąąh ninoh'aah, índa kééh bidoł'éés, 
42:15:023:0	índa béégashii yáázh neesk'ahígíí nídoohłóosgo sołhé, áádóó nihił dahózhǫ́ǫgo da'diidį́į́ł, 
42:15:024:0	háálá díí shiye' daaztsą́ą́ nít'éé' hinááh násdlį́į́'; yóó'ííyáá nít'éé' bénáhoosdzin. Áko bił dahózhǫ́ǫgo áda'azįįd yaa nídiikai. 
42:15:025:0	Biye' alą́ąjį' naagháhígíí dá'ák'ehdi naaghá, nít'éé' áádę́ę́' hooghanjį' náádáałgo, dilní índa da'azhishgo yidiizts'ą́ą́'. 
42:15:026:0	Áádóó nidaal'a'ígíí ła' hágo yidííniidgo baa na'aldeehígíí yínayídééłkid. 
42:15:027:0	Nít'éé' áhodííniid, Nitsilí nádzáago, nizhé'é éí béégashii yáázh neesk'ahígíí yiyiisxį́, háálá doo haa dayidzaagóó índa doo át'éhígóó haa nádzá. 
42:15:028:0	Nidi bik'ee háhóóchįįdgo, doo t'áá k'ad yah ajííyáa da. Éí bąą hazhé'é ch'íníyáago náhooskan. 
42:15:029:0	Nidi hadzoodzíi'go hazhé'é ábizhdííniid, Jó'akon, díí t'áá ná naash'a'go lą'í nááhai, áádóó bee hosíníł'ánígíí ts'ídá bik'eh honish'į́į nidi, dashik'isígíí bił shił dahózhǫ́ǫ doo biniyé t'ah doo tł'ízí yázhí ła' shaa níłteeh da. 
42:15:030:0	Ákondi díí niye' ałjiłnii yił naaldeehgo ninaalye'é bee hiníná yę́ę ałtso yik'óoyáago nádzáhígíí, t'áá áko béégashii yáázh neesk'ahii bá síníłhį́! 
42:15:031:0	Nít'éé' hazhé'é áhodííniid, Shiye', ni t'áá áłahjį' shił honílǫ́, áko shí shee hólónígíí t'áá ałtso ni. 
42:15:032:0	T'áá ákónéehee nihił dahoneeni índa nihił dahózhǫ́, háálá díí nitsilí daaztsą́ą́ nít'éé' hinááh násdlį́į́'; yóó'ííyáá nít'éé' bénáhoosdzin.
