43:2:001:1	Kéínadi iigeh
43:2:001:0	Nít'éé' táá' yiską́ągo kéyah Gálilii biyi' Kéína kin sinilígi iigeh lá, áko Jesus bimá ákwii nijighá; 
43:2:002:0	Jesus índa bídahooł'aahii iigehjį' hágo bi'doo'niid. 
43:2:003:0	Nít'éé' wáin ásdįįdgo, Jesus bimá ábidííniid, Wáin bee ádaasdįįd. 
43:2:004:0	Áko Jesus bimá áyidííniid, Asdzání, shíísh haa shidíílíiłgo shaa nánít'į́? Baa nideeshaałígíí t'ah doo shá baa hoolzhíish da. 
43:2:005:0	Áko hamá éí nidaal'a'ígíí áyidííniid, T'áá ánihiłnínígóó ádaahnííł. 
43:2:006:0	Nít'éé' ákwii Jew dine'é binahagha' bik'ehgo tó bee tá'ádígis biniyé tóshjeeh nitsaii tsé bee ádaalyaaígíí hastą́ągo sinil, naadiin daats'í, doodaii' tádiin daats'í tó yikááł dabíighah. 
43:2:007:0	Nít'éé' Jesus áhodííniid, Tóshjeeh bii' tó hadadołbin. Áko t'áá dabidáa'jį' hadazhdééłbįįd. 
43:2:008:0	Áádóó ánááhodoo'niid, K'ad ła' haohkaahgo bik'ehgo áda'azįįdii baa nohkaah. Áko baa dadzizką́. 
43:2:009:0	Áádóó bik'ehgo áda'azįįdii tó wáin ániidíii silį́'ígíí yizlįh, nít'éé' hazlį́į́'dę́ę́' doo bił bééhózin da (nidi nidaal'a'í tó hadayiizkánígíí t'éiyá bił béédahózin), áko bik'ehgo áda'azįįdii adooyehii hágo yidííniidgo 
43:2:010:0	ííłní, Diné ła' wáin yá'át'éhígíí alą́ąjį' aa dayiikaah łeh, lą'í deidlį́į́hdóó bik'ijį' índa wáin t'áá azlį́'ígíí łeh, nidi ni t'éiyá wáin yá'át'éhígíí akéédę́ę́' aa dííkáałgo áásínísįįd lá. 
43:2:011:0	Díidí ts'ídá áłtséedi Jesus bibee adziilii bee béédahózinii áyiilaii át'é, éí kéyah Gálilii biyi' Kéína kin sinilígi yaa naayá, áko yee ayóó át'éii ííshją́ą́ áyiilaago bídahooł'aahii daboosdląądgo baa dadzoozlíí'. 
43:2:002:1	Kin bii' sohodizin nidayiiłchxǫǫhii ch'íneelkaad
43:2:012:0	Áádóó bik'ijį' Kapérniyam góyaa, hamá áádóó hatsilíké índa hódahooł'aahii bił jíkai, áko áadi t'áá díkwíí dahwiiską́. 
43:2:013:0	Ákohgo Jew dine'é bi'atis'adeesdzá bee bééhániihii k'adę́ę baa hoolzhíishgo, Jerúsalem góde Jesus dah diiyá. 
43:2:014:0	Kin bii' sohodizin bił haz'ą́ą́ góne' béégashii áádóó dibé áádóó hasbídí nidayiiłniihígíí nida'iiłniihgo índa béeso ałghááda'a'nilii nidaháaztą́ągo béeso t'áá sahdii ádaat'éhígíí yił ałghááda'a'nilgo bik'ízhníyá. 
43:2:015:0	Áko tł'óół ts'ósí bee atsxis ájiilaago kin bii' sohodizin bił haz'ání biyi'dóó diné áádóó dibé índa béégashii t'áá ałtso ch'ínizhníłkaad, áádóó béeso ałghááda'a'nilii bibéeso yajiyiiką́, áádóó bikáa'gi ałghááda'a'nil naa'adziistł'ííd. 
43:2:016:0	Hasbídí nidayiiłniihii ábizhdííniid, Díidí ch'ídahohjááh; shiTaa' bikin biyi' góne' t'áadoo na'iiniih bá haz'ą́ągo ádaał'íní. 
43:2:017:0	Nikin t'áá íiyisí baa hą́ą́h nisingo bíneeshdlínígíí t'áá áshidoołdįįłgo shide át'é, ha'níigo bee ak'e'ashchínígíí hódahooł'aahii yéédáálnii'. 
43:2:018:0	Áko Jew dine'é hadaasdzíi'go ádahodííniid, Nóhólníihgo díí íinidzaaígíishą' ha'át'íí bee bééhózin dooleełii bee nihił bééhodíísįįł? 
43:2:019:0	Jesus ánáábidoo'niid, Díí kin bii' sohodizin atídaahłééh, áádóó táá' yiską́ąjį' ninádeesh'ááł. 
43:2:020:0	T'áá áko Jew dine'é ádadííniid, Díí kin bii' sohodizin t'áá álnéehgo dízdiindóó ba'aan hastą́ą́h nááhai, da' ákoósh táá' yiską́ąjį' nínáábididííłááł lá? 
43:2:021:0	Nidi t'áá hó hats'íís kin bii' sohodizin át'éego éí ábijiní. 
43:2:003:1	Diné ádaat'éhígíí t'áá ałtso Jesus bił bééhózin
43:2:022:0	Éí bąą dadziztsą́ą́dę́ę́' nááho'diilzáago, hódahooł'aahii díí bee hadzoodzí'ígíí yéédáálnii', áko Diyin God bizaad bee ak'e'ashchínígíí áádóó Jesus saad bee hadzoodzí'ígíí dayoosdląąd. 
43:2:023:0	Atis'adeesdzá bee bééhániihgo hodílzingo áłah ná'ádleehgo Jerúsalemgi nijigháago, habee adziilii bee éédahózinii ájiilaaígíí dayoo'į́įgo t'óó ahayóí dahoosdląądgo haa dadzoozlíí', 
43:2:024:0	nidi Jesus éí t'áadoo haa ádeet'ą́ą da, háálá diné ádaat'éhígíí t'áá ałtso hoł bééhózin, 
43:2:025:0	áádóó t'áá háiida diné ádaat'éegi yee hoł hodoolnihgi doo bee hach'į' anáhóót'i' da, háálá diné ádeinízinígíí Jesus t'áá bí bił bééhózin.
