45:13:001:1	Bídahólníihii bídahwíínółnííh
45:13:001:0	Diné t'ááłá'í jinítínígo honanit'a'í bídahojíłníih doo. Háálá bee óhólníihii t'áá ałtso Diyin God bits'ą́ą́dę́ę́' hólóonii ádaat'é, áádóó nihinanit'a'í bibee ídahólníihii t'áá ałtso Diyin God bits'ą́ą́dę́ę́' dahólǫ́. 
45:13:002:0	Éí bąą bídahólníihii dooda bee bich'į' nidzistee'ii, éí Diyin God bibik'eh hoogáałii bich'į' dooda bee nidzistee'go át'é, áko dooda bee nidzistee'ii bee haa nídahódóot'įįłii ák'ijį' bídajílná. 
45:13:003:0	Háálá bídahólníihii diné yá'át'éehgo dayíkáahii doo yił yéé' ádahósin da, nidi diné doo yá'ádaashóonii t'éiyá yił yéé' ádahósin. Doósh bídahólníihii bits'ąą síníti' da doo, danohsin? Yá'át'éehgo ááníił le', áko nizhónígo naa haniih doo. 
45:13:004:0	Háálá ná yá'át'ééh biniyé éí Diyin God yá naal'a'í nilį́. Nidi doo ákǫ́ǫ́ ánít'į́į́góó éí bik'ee nił yée' doo, háálá doo t'áadoo biniyéhígóó bibee adziilii hólǫ́ǫ da. Jó, éí Diyin God yá naal'a'í nilį́įgo doo ákǫ́ǫ́ ájít'íinii Diyin God t'óó báhádzidgo bibee até'él'íinii yee atíhodoolííł. 
45:13:005:0	Éí bąą diné ts'ídá ak'eh hojíł'į́į doo, t'áá hazhó'ó Diyin God t'óó báhádzidgo bibee até'él'íinii t'éiyá bits'ąą ájít'į́į dooleełgo éí dooda, nidi t'áá ákogi át'éego baa ákoznízingo ałdó' biniyé ak'eh hojíł'į́į doo. 
45:13:006:0	T'áá éí ałdó' bąą tax nidahohłé, háálá nihinanit'a'í éí Diyin God yá nidaalnishgo ts'ídá éí yindaalnish. 
45:13:002:1	T'áá ła' ha'oojéé' k'ehgo ayóó'áda'ahíínóh'ní
45:13:007:0	Éí bąą t'áá ałtso t'áá yą́ą́h danilį́įgo ádabidi'doolnííł góne' bich'į' ádaahnííł, yáál bihididzóhígíí bich'į' nahalyéii yáál bihididzóhígíí bich'į' nidahohłé, tax bich'į' nahalyéii tax bich'į' nidahohłé. Diné dahodísin yą́ą́h danilíinii dadíínóhsin, diné ił ílį́ yą́ą́h danilíinii nihił danilį́.  
45:13:008:0	Diné ła'da t'áadoo le'é yee t'áadoo nihąąh hayííł'áhí, nidi ayóó'áda'ahíínóh'nínígíí t'éiyá bee ahąąh hadasooł'áa doo. Yił kééhat'íinii ayóó'áyó'níinii éí bee haz'áanii ye'eł'į́. 
45:13:009:0	Háálá díí bee haz'ą́: Ts'ídá doo azhdilée da, Diné ts'ídá doo diyííłhéeł da, Ts'ídá doo azhni'įįh da, Ts'ídá doo t'áá ádzaagóó hojilne' da, Ts'ídá doo adázhnoolníi da, nínígíí áádóó t'ááłáhídi ha'oodzí'ígíí bee, bee haz'áanii t'áá át'é bi'al'į́įgo kóní, T'áá ni ádííní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní. 
45:13:003:1	Christ nínáádoodááł bich'į' yoołkááł
45:13:010:0	Ayóó'ó'ó'níinii éí yił kééhat'íinii doo niyiiłchxǫǫh da, éí bąą ayóó'ó'ó'níinii éí bee haz'áanii t'áá át'é yi'ósinii nilį́. 
45:13:011:0	Ákót'éego dahinohná, háálá Jesus nihíká níyáago yisdánihidooniłígíí k'ad koshídę́ę́' hoolzhishgo nihił béédahózin. Da'iisiidląąd yę́ędą́ą́' ánízah hadziih yę́ę k'ad t'áá bi'oh ánízah hadziih. Áko t'áá íídą́ą́' ch'éédadiidziłjį' ahoolzhiizh. 
45:13:012:0	Nízaadgóó ayííłką́, k'adę́ę hool'įįh lá. Áko haa'íshą' chahałheełgóó baa nideiikaii yóó'adahididiit'ááł, áádóó adinídíínjí bee na'abaahii bee hadadidii'nííł. 
45:13:013:0	Haa'íshą' jį́įgo áhát'ínígíí beełt'éego hazhó'ó ádeii'níił doo, t'áadoo adlą́ baa nideiikaií, t'áadoo tó tsi'na'iiłáii deiidlání, t'áadoo ajił baa nideiikaií, t'áadoo baa'ihgo adádaniilníní, t'áadoo ahináádadiijahí, índa t'áadoo da'ahiilch'į́dí dooleeł. 
45:13:014:0	Nidi Bóhólníihii Jesus Christ bee hadadohne', áádóó ts'ísee k'ehgo bidádahonooníinii t'áadoo bá nahosooł'ání.
