45:16:001:1	Shá k'é dajiniih, ní Paul
45:16:001:0	Fííbii, nihádí, Senkríyagi da'oodlání áłah nádleehii yá naal'a'í nilíinii, yá'át'éehgo bá nihich'į' haasdziih, 
45:16:002:0	áko Diyin God bidiyį́į́' ádaat'ínígi át'éego Bóhólníihii nihił danilį́įgo nídahodidoołtééł, áádóó t'áá ha'át'íhída nihíyókeedígíí bee bíká anáhjah, háálá diné lą'í yíká análwo'ii nilį́, shí ałdó' shíká análwo'. 
45:16:003:0	Christ Jesus bá bił nidaashnishígíí, Prisíla áádóó Ákwila shá k'é bijiniih, 
45:16:004:0	éidí shich'ą́ą́h naazh'áázh, áko doo t'áá shí t'éiyá bich'į' ahééh nisin da, nidi doo Jew dine'é danilíinii da'oodlánígíí áłah nídaadleehgóó t'áá ałtso ałdó' bich'į' ahééh danízin. 
45:16:005:0	Éí bighandi oodlání danilíinii áłah nádleehígíí ałdó' shá k'é dabijiniih. Iipííniitas ayóó'óósh'níinii éí Éízhadi ts'ídá átsé Christ yoosdląądii shá k'é bijiniih. 
45:16:006:0	Mary, yéego nihá naashnishii shá k'é bijiniih. 
45:16:007:0	Andronáíkas áádóó Júniyas, shikwá'ásiní nilíinii, bił awáalyaaí danishłį́į́ nít'éé' yę́ę, éí daal'aadii bitahgi béého'dílzinii áádóó t'áá shilą́ąjį' Christ yoosdląądii shá k'é bijiniih. 
45:16:008:0	Ampliyéítas, Bóhólníihii binahjį' ayóó'óósh'níinii, shá k'é bijiniih. 
45:16:009:0	Orbéínas, éí Christ bá bił nideiilnishii, áádóó Stéíkis ayóó'óósh'níinii shá k'é bijiniih. 
45:16:010:0	Apéliiz shá k'é bijiniih. Éí Christ binahjį' t'áá aaníí hwe'oodlą' bééhoozin. Aristóbulas bighan haz'ą́ą́dóó shá k'é dabijiniih. 
45:16:011:0	Heródiyan shikwá'ásiní shá k'é bijiniih. Narsísas bighan haz'ą́ą́dóó Bóhólníihii dayoodlánígíí shá k'é dabijiniih. 
45:16:012:0	Traifíína áádóó Traifósa, Bóhólníihii yá naalnishii, shá k'é bijiniih. Ayóó'óósh'níinii Pérsis, Bóhólníihii yéego yá naalnishii, shá k'é bijiniih. 
45:16:013:0	Rúfas, éí Bóhólníihii yee alááh hidíízíinii, áádóó bimá, t'áá éí shí ałdó' shimá bidishnínígíí shá k'é bijiniih. 
45:16:014:0	Asínkritas, Flégan, Hérmas, Pátrobas, Hérmiiz índa ałk'isóó danilíinii yił dah yikáhígíí shá k'é dabijiniih. 
45:16:015:0	Filálogas, Júliya, Nííriyas áádóó bilah, áádóó Olímpas, índa Diyin God bidiyį́į́' danilíinii yił dah yikáhígíí t'áá ałtso shá k'é dabijiniih. 
45:16:016:0	Ahíláłk'e dadołniihgo k'é béé'ahohjih. Christ dayoodláanii áłah nídaadleehii t'áá ałtso k'é danihiłní. 
45:16:017:0	Shik'isóó danohłíinii, díí baa nánihooshkąąh: na'nitin bídahooł'ą́ą'ii yits'ą́ą́jí danilį́įgo ałts'á'áldah ádeile'ii áádóó nidanihiníłtł'aii baa ákodanohsin, áko bits'ąą nida'ádóh'nil le'. 
45:16:018:0	Háálá ákódaat'éii Christ nihiBóhólníihii doo yá nidaalnish da, nidi t'áá bí ádá deinízinii t'éí hádaat'į́, áádóó bizaad daalkango saad yá'ádaat'éehii yee yádaałti'go éí doo hózhǫ́ bił éédahózinii yinda'alo'. 
45:16:019:0	Háálá ak'eh dahonoł'ínígíí diné t'áá ałtso bił béédahózingo bąą t'áá íiyisí nihaa shił hózhǫ́, nidi ha'át'íhída yá'ádaat'éehii baa dahonohsą́, áádóó doo yá'ádaat'éehii t'áadoo bí'ádadinołdiní doo, nihósh'ní. 
45:16:020:0	Áko t'óó hodíína'go Diyin God, nihijéí bii' hózhǫ́ǫgo áyósinii, éí nihikétł'áahjį' Séítan yidoołjishgo nihá yik'eh didoodleeł. NihiBóhólníihii Jesus Christ bibee ajooba' yee nihik'ijidlíi doo. T'áá ákót'ée doo. 
45:16:021:0	Timothy, éí bił naashnishii, k'é nihiłní; Lúshiyas áádóó Jéísan índa Sosípater shikwá'ásiní danilíinii ałdó' ákódaaní. 
45:16:022:0	Shí Térshiyas, Paul díí naaltsoos bá áshłéhígíí, Bóhólníihii binahjį' k'é nihidishní. 
45:16:023:0	Géíyas, ba'ałk'ee sédáhígíí, bighandi da'oodlání áłah nádleehígíí, k'é nihiłní. Iirástas, éí kin haal'áagi béeso yaa áhályání nilíinii, áádóó nihik'is Kwártas k'é nihiłní. 
45:16:002:1	Diyin God baa ha'niihgo bee naaltsoos niilt'i'ii
45:16:024:0	NihiBóhólníihii Jesus Christ bibee ajooba' yee nihik'ijidlíi doo. T'áá ákót'ée doo. 
45:16:025:0	K'ad hane' yá'át'éehii baa hashne'ii bik'ehgo, éí Jesus Christ baa hane'ii, áádóó hoogááłdę́ę́' doo bééhózin da yę́ę yit'íní ályaii bik'ehgo Diyin God, éí nihe'oodlą' bidziilgo ánihidzósingo bízhneel'áanii haa ha'niih doo. 
45:16:026:0	Oodlą' bee ak'eh dahojíł'į́į doo biniyé doo bééhózin da yę́ę k'ad Diyin God hool'áágóó hojílóonii bee hodzis'áanii bik'ehgo nee'ni'jį' bá dahalne'ii yee ak'eda'ashchíinii bee ał'ąą dine'é t'áá ałtso bich'į' béédahózingo ájiilaa. 
45:16:027:0	Éí Diyin God t'áá hó t'éiyá aláahdi hojíyáanii Jesus Christ bee hool'áágóó haa ha'niih doo. T'áá ákót'ée doo.
