46:1:001:1	K'é ha'níinii
46:1:001:0	Shí Paul, Diyin God íinízinígíí bee Jesus Christ bá deesh'aałgo shíká ádííniidii, áádóó Sástheniiz nihik'is nilínígíí bił naaltsoos íilnééh. 
46:1:002:0	Kórinthgi Diyin God dayoodláanii áłah nádleehii Christ Jesus bee diyingo ádabi'diilyaii, Diyin God bidiyį́į́' dadooleełgo bíká ádahodoo'niidii, áádóó t'áá ałtsogóó bí áádóó nihí nihiBóhólníihii Jesus Christ bízhi' bee sodadiilzinígíí t'áá ałtso ałdó' bich'į' naaltsoos íilnééh: 
46:1:002:1	Diyin k'ehgo ak'ihojidlí baa ahééh hwiindzin
46:1:003:0	Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
46:1:004:0	Diyin God bibee ajooba' éí Christ Jesus bee nihik'ihojidlíhígíí bąą t'áá áłahjį' Diyin God bich'į' nihaa ahééh nisin. 
46:1:005:0	T'áá bí bee t'áá ałtsojį' saad t'áá ałtso índa ił ééhózin t'áá ałtso bee dasooht'įįd. 
46:1:006:0	Christ baa hane' t'áá aaníí deisoohdląądii bik'ehgo dahinohná, 
46:1:007:0	áko nihiBóhólníihii Jesus Christ yit'íní ánáádi'doolníłígíí biba' ádanoht'éego Níłch'i Diyinii bits'ą́ą́dóó aa yílyáii t'áá ałtso yee nihik'ijidlí. 
46:1:008:0	Áádóó t'áá nihonít'i'jį' danołdzilgo ánihijósin doo, áko nihiBóhólníihii Jesus Christ beiníłką́ądi t'áadoo bee nihik'ídahót'ahígóó nihéédahodoozįįł. 
46:1:003:1	Oodlání ałnaashii dah deínééh
46:1:009:0	Diyin God ba'ahódlíii biYe' Jesus Christ nihiBóhólníihii bił ahił danohdlį́į doo biniyé nihíká ádííniid. 
46:1:010:0	Shik'isóó, t'áá ánółtso t'áadoo ałghadadoht'áhí, áádóó t'áadoo ałts'áhkahí, nidi t'ááłá'í góne' nitsáhákeesgo áádóó t'ááłá'í hoot'ááł bee da'ahíínóhtą' doogo nihiBóhólníihii Jesus Christ bízhi' binahjį' baa nánihooshkąąh. 
46:1:011:0	Háálá, shik'isóó, ła' Klówii bighandóó shił dahalne'go, ła' saad ahídaat'ááh danihiłní. 
46:1:012:0	Ááhdishníinii éí díí: nihí ła', Shí Paul yíhooł'aahii nishłį́, dadohní. Áádóó ła' éí, Shí t'éí Apálas yíhooł'aahii nishłį́. Náánáła' éí, Shí t'éí Peter yíhooł'aahii nishłį́. Náánáła' éí, Shí t'éí Christ yíhooł'aahii nishłį́, dadohníí lá. 
46:1:013:0	Christ daats'í ałts'áá'nil? Dooda lą́ą! Da' tsin ałnáoszid bąąhjį'ísh Paul nihá bił o'oolkaal? Paul bízhi' daats'í binahjį' tó bee danihi'doolzį́į́'? Dooda lą́ą! 
46:1:014:0	Diyin God bich'į' ahééh nisin, nihitahgi doo ła'da tó bee yísį́į' da, nidi Kríspas índa Géíyas t'éiyá tó bee yísį́į́'. 
46:1:015:0	Áko, Paul bízhi' binahjį' tó yee dayíísį́į́', doo jidóne' át'ée da. 
46:1:016:0	(Stéfanas bighandóóígíí ałdó' tó bee deísį́į́'. Áádóó doo ła'da tó bee hóósį́'í da nisin.) 
46:1:004:1	Christ éí Diyin God bibee adziilii índa bibee hódzáanii nilį́
46:1:017:0	Háálá tó bee asįįh dooleeł biniyé Christ doo shiníł'a' da, nidi hane' yá'át'éehii baa hashne' doo biniyé. Saad naach'ąąhígíí doo bee hashne' da, háálá saad naach'ąąhii bee hashne'go éí tsin ałnáoszid yąąhjį' Christ daaztsą́ągo baa hashne'ígíí doo idééłníi da doo. 
46:1:018:0	Háálá tsin ałnáoszid bąąhjį' Christ daaztsą́ągo baa hane'ígíí éí diné doo yisdánáhaaskaii hane' t'áá ádzaaí át'é danízin. Nidi yisdánihi'diis'nilígíí éí Diyin God bibee adziilii át'é daniidzin. 
46:1:019:0	Jó, Diyin God bizaad bee ak'e'ashchíinii ání,Dahóyą́ dabidó'níinii éí doo dahóyą́ą́góó ádadeeshłííł,Áádóó nidahazyąądii éí bibee hódzą' t'áadoo nánídlínígóó ádeeshłííł.  
46:1:020:0	Diné hóyą́ dabidó'níiniishą'? Bee haz'áanii yína'niłtinii dabidó'níiniishą'? Díí hoogáłígíí biyi' aghada'dit'áahiishą'? Diyin God éí nihokáá' dine'é bibee hódzáanii doo áháyą́ át'éego ííshjání áyiilaa. 
46:1:021:0	Háálá nihokáá' dine'é habee hódzáanii bee Diyin God ts'ídá doo bééhozdoosįįł da, jó, hane' yá'át'éehii éí t'áá ádzaaí át'é daznízin nidi, baa dahwiilne'ii dayoosdląądii yisdéidiyooniłgo Diyin God hóyą́ągo yinahaz'ą́. 
46:1:022:0	Háálá Jew dine'é danilíinii éí Diyin God bibee adziilii bee bééhózinii nihá ádoolnííł daaníigo dayókeed, áádóó Gríik dine'é danilíinii éí bee hódzáanii t'éí bił ayóó ádaat'é. 
46:1:023:0	Nidi nihí éí tsin ałnáoszid bąąhjį' Christ bił o'oolkaalígíí baa dahwiilne'. Éí Jew dine'é dabidínóołtł'ahii át'é, áádóó Gríik dine'é danilíinii hane' bee bił dahwiilne'ígíí éí hane' t'áá ádzaaí át'é danízin, 
46:1:024:0	nidi Jew dine'é índa Gríik dine'é danilíinii bitahgóó Diyin God bíká ádííniidii Christ éí Diyin God bibee adziilii áádóó bibee hódzáanii át'é danízin. 
46:1:025:0	Háálá Diyin God doo hóyą́ą da ílį́į nidi, nihokáá' dine'é yiláahdi hóyą́, áádóó Diyin God doo bidziil da ílį́į nidi, nihokáá' dine'é yiláahdi ábóodziil. 
46:1:026:0	Shik'isóó, Diyin God nihíká ádííniidígíí baa nitsídaahkees. Jó, doo lą'í nihokáá' dine'é k'ehgo dahonohsą́ą da, doo lą'í ayóó át'éii danohłį́į da, doo lą'í diné ílíinii danohłį́į da, ákondi Diyin God nihíká ádííniid. 
