46:10:001:1	Eda'alyaii bich'į nahadlá bits'ánóhjeeh
46:10:001:0	Shik'isóó danohłíinii, díí nihił béédahózin doo nisin, jó, éí danihizhé'é yę́ę t'áá ałtso k'os biyaa tázhdínééh nít'éé', áádóó t'áá ádzíłtso t'áadoo há nantł'aígóó tónteel bii' ch'ízhníná. 
46:10:002:0	Áádóó t'áá át'é Mózes bikéé' jookah dooleełgo k'os bee índa tónteel bee dabi'doolzį́į́'. 
46:10:003:0	Áádóó t'áá ádzíłtso Diyin God bits'ą́ą́dóó t'ááłá'í ch'iyáán dílyinígíí dajííyą́ą́'. 
46:10:004:0	Áádóó t'áá ádzíłtso Diyin God bits'ą́ą́dóó t'ááłá'í tó dílyinígíí dajoodlą́ą́'. Jó, tsé dílyinígíí biyi'dóó tó háálį́įgo dajoodlą́ą'ii éí Christ át'į́, éí t'áá áłahjį' hoł hólǫ́ǫ́ nít'éé'. 
46:10:005:0	Azhą́ ákót'ée nidi k'asdą́ą́' t'áá ádzíłtso Diyin God doo bił dahojííshǫǫd da, áko éí halgaigi áho'disdįįdgo t'áá ákǫ́ǫ́ nihizhdél'á.  
46:10:006:0	Áko díidíígíí bee nihida'iisnii' biniyé ákódaadzaa, doo yá'ádaat'éehii yidádanoolníí nít'éé' yę́ęgi át'éego doo ádaniit'ée da doo biniyé. 
46:10:007:0	T'áadoo eda'alyaii bich'į' nidahohłáhí. Jó, ła' éí eda'alyaii yich'į' nidahasá; t'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego, Diné dineezbingo da'ííyą́ą́' áádóó da'oodlą́ą́' índa tsi'deeskaigo e'elyaii yich'į' nidahałáago ida'niilzhiizh. 
46:10:008:0	Ła' na'ageh yee tsi'dadeeskaigo biniinaa t'áá ła'a jį́ naadįįtáadi mííl yilt'éego daneezná, áko nihí t'áadoo na'ageh bee tsi'ndeiikaií doo. 
46:10:009:0	Ła' Bóhólníihii nayídanitaahgo biniinaa tł'iish nabistseed, áko nihí t'áadoo Bóhólníihii nabídaniitaahí doo. 
46:10:010:0	Ła' saad dahółǫ́ǫgo biniinaa diyingo naal'a'í na'ałtseedii nilį́įgo ábísdįįd, áko nihí t'áadoo saad dahonohłóní doo. 
