47:10:001:1	Paul éí Bóhólníihii bá nijil'a'go hanaanish bich'ą́ą́h yájíłti'
47:10:001:0	T'áá shí Paul éí Christ bee sha'át'e' ádinii índa bee shá áhwiinít'į́'íii binahjį' nánihooshkąąh. Ła' ádashiłní, Nihináałgo ayóogo dzisti', nidi doo nihinááłgóó t'éí doo nihíká dzísti' da. 
47:10:002:0	Nihí ła' t'áá ats'íís k'ehgo nidahazt'i'ii baa nijighááh lá dashíínóh'níigo shaa ayadahoołiígíí aadi nihaa níyáago t'áá íiyisí doo sisti'góó nihich'į' bee hadeesdzih nisin lá nidi ni, ákondi doo ákónihidideeshniiłígíí éí baa nánihooshkąąh. 
47:10:003:0	Háálá azhą́ díí nihokáa'gi ats'íís k'ehgo nidahazt'i'ii bik'ehgo hinii'náa nidi, doo ats'íís k'ehgo nidahazt'i'ii bik'ehgo anaa' íil'į́į da. 
47:10:004:0	Anaa' bideezla' chodeiil'ínígíí éí doo ats'íís k'ehgo nidahazt'i'ii bik'ehgo da, nidi bidziilgo bąąhági át'éii yee bidziilii bił nahazhóodii Diyin God bibee adziilii bee íildįįł. 
47:10:005:0	Ałgha'dit'ááh saad índa Diyin God ił bééhodoozįįłii yaa dazdoo'į́įgo nida'níłtł'aii íildįįł, áádóó Christ yik'eh dahół'į́į doo biniyé nitsáhákees t'áá ałtso yisnááh ádeiilne'. 
47:10:006:0	Áko doo anáhóót'i'góó Christ bik'eh dahonoł'į́ dasoolį́į'go, doo ak'eh dahół'íinii t'áá ałtso atídadiilnííł biniyé hasht'e'ádííníilzin. 
47:10:007:0	Nihináá' bee danół'ínígíí t'éiyá baa nitsídaahkees ni. Diné t'áá háiida Christ bíí' jílį́įgo beijólíhígíí háni'dii éí Christ bíí' jílínígi át'éego nihí ałdó' Christ bíí' niidlínígíí bééjílnííh. 
47:10:008:0	Háálá azhą́ Bóhólníihii bee óhólnííh nihaidiní'ánígíí ayóogo bee ádaa hash'niih nidi doo baa yádínéesįįł da, jó, éí bee danihidziil dadoohłeeł biniyé át'é, bee ádanihidi'dooldįįł éí doo biniyé da. 
47:10:009:0	T'áadoo naaltsoos bee nihił yéé' ádanihíínísingo shaa nitsídaahkeesí. 
47:10:010:0	Háálá ła' ádaaní, Hanaaltsoos ayóogo bídahólnííh índa dabidziil, nidi nihitaa jigháago éí doo hadziil da, índa hazaad éí t'áadoo nilíní da, dashiłní ha'ní. 
47:10:011:0	Diné ákódajinínígíí doo hatah neiit'aash da nidi, t'óó naaltsoos biyi' saad bee hahiidziihígíí bik'ehgo hatah niit'áazhgo ałdó' t'áá aaníí hanááł ádii'níłígíí háni'dii hoł béédahoozįįh. 
47:10:012:0	Ła' t'áá bí yá'át'éehgo ádaa dahalne'go ch'í'ídadiyoo'niłígíí éí doo t'áá k'ad bił aheełt'éego í'diilyaa da, doo nidi bił ahąąh na'ádii'nil da. Nidi éí t'áá bí ahaa nitsídaakeesgo índa t'áá bí ahąąh nida'ádí'nilgo doo ádahoosyąądgóó ákódaat'į́. 
47:10:013:0	Jó, naanish bee nihá haz'ánígíí biláahgo doo ádaa hodii'nih da, nidi Diyin God yee nihá has'ą́ągo nihaidiní'ánígíí t'éiyá bee ádaa hodii'nih, jó, éí nihí nidi t'áá ídeínółtą'. 
47:10:014:0	Háálá nihí bee nihá haz'ánígíí bikáa'gi kéédahoht'į́įgo nihineiilnish, áko bee nihá haz'ánígíí doo bilááh na'ahiniilchéeh da; jó, nihí ts'ídá átséedi Christ baa hane' yá'át'éehii bił nihaa niit'áázh. 
47:10:015:0	Nihí bee nihá haz'ánígíí biláahjį' náánáła' diné binaanish danilíinii doo bee ádaa hwii'niih da, nidi nihida'oodlą' bilááh yileełgo bee laanaa niidzinii éí nihitahgóó naanish bee nihá haz'ánígíí bik'ehgo nihineiilnishígíí t'áá íiyisí dínéesą́. 
47:10:016:0	Áko índa nihilááhgóó kéyah bił nahaz'áanii biyi'góó hane' yá'át'éehii baa hwiilne' doo; náánáła' diné binaanish silį́'ígíí doo bee ádaa hwii'niih da. 
47:10:017:0	Nidi aa hojiniihii, háni'dii Bóhólníihiigo baa hojiniih le'. 
47:10:018:0	Jó, diné t'áá bí anishłį́ nízinígíí éí doo Bóhólníihii bee lą́ ałeeh da, nidi Bóhólníihii bił ajílínígíí t'éiyá.
