48:5:001:1	Christ éí bee haz'áanii yits'ąą nihééda'iisnii'
48:5:001:0	Jew dine'é bibee haz'áanii biyaa sii'nil yę́ę bits'ąą á honídlee' biniyé Christ nihá honídlee'go ánihiilaa! Éí bąą yéego nisoozį́. Binaalte' dasoolį́į́' nít'é'ígíí t'áadoo baa ánídadiyoht'aahí. 
48:5:002:0	Jó'akon, shí Paul ánihidishní: Nihąąh nídahidínóolgish ádanihi'diilyaa ládą́ą́', Christ éí t'áadoo biniyéhí da nilį́. 
48:5:003:0	Diné t'ááłá'í jinítínígo hąąh nídahineeshgizhii éí bee haz'áanii t'áá át'é ts'ídá bida'jił'į́į dooleełgi t'áá aaníígóó bee hoł náádahashne'. 
48:5:004:0	Nihí éí bee haz'áanii bídahwíínółníhígíí bee ts'ídá t'áá ákogi ádaniit'éego nihá hada'doodzih danohsinii éí Christ doo danoozį́į' dago Diyin God bibee ajooba' bits'áhisoohkai. 
48:5:005:0	Nidi nihí, Níłch'i Diyinii binahjį' nihe'oodlą' bee ts'ídá t'áá ákogi ádaniit'éego Diyin God nihá hadoodzihígíí bíká nihił chodahoo'į́įgo biba' ádaniit'é. 
48:5:006:0	Háálá Christ Jesus bił łá'í niidlį́įgo éí nihąąh náhinilgish, doodaii' doo nihąąh náhinilgish éí t'áadoo biniyéhí da, nidi Christ deiniidlánígíí nihe'ayóó'ó'ó'ni' bee bééhózinii éí ílį́. 
48:5:007:0	Shą́ą́' yéego nihe'oodlą' bee nisoozį́įgo bik'ehgo deínóhkáah ni'! Háishą' t'áá aaníinii bik'eh dahonoł'į́į́ nít'ée'ii nihits'ą́ą́' yineestł'ah? 
48:5:008:0	Díí nihíni' bee nihá ádahoołaii éí Diyin God nihíká ádííniidii doo bits'ą́ą́dę́ę' da. 
48:5:009:0	Jó, díík'ǫsh áłch'į́į́dígo taos'nii' t'áá át'é yiniisoł. 
48:5:010:0	Doo łahgo át'éego tsínáádadoohkosígíí biniyé Bóhólníihii binahjį' nihaa jííníshłí, áádóó t'áá háiida nihíni' jiłąąhígíí éí t'áá hó há nihodoot'áłígíí bik'ee ti'hwiizhdoonih. 
48:5:011:0	Jó nidi shik'isóó, da'oodlání bąąh nídahidínóolgishígíí t'ahdii bee na'nishtingo doo atíshi'dil'į́į da doo nít'éé'. Éí bee na'nishtingo Jesus tsin ałnáoszid bąąhjį' daaztsánígíí baa hane'ii diné doo bá nanitł'ah da doo nít'éé'. 
48:5:012:0	Nihił dahółánígíí nahjį' kódabi'dólne' laanaa nisin! 
48:5:013:0	Háálá shik'isóó, á honídlee' bii'jį' nihíká ádahodoo'niidgo t'áá hazhó'ó nihá dahonídlee'ígíí binahjį' nihits'íís yidánoolníinii bá t'áadoo ashja da'íínóhsiní. Ayóó'áda'ahíínóh'níigo ahíłká anáhjah. 
48:5:014:0	T'áá ni ádííní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní; kót'éego t'ááłáhídi ha'oodzí'ígíí bee, bee haz'áanii t'áá át'é bi'al'į́. 
48:5:002:1	Níłch'i Diyinii yee ak'ijidlíii áádóó ts'ísee k'ehgo baa ooldahii
48:5:015:0	T'áadoo ahináádadoołtłi'í áádóó t'áadoo saad bee hada'ahiyołdlaadí, háálá ákódaaht'į́įgo ałtso ahididołtah, éí bits'ąą ádaa ádahołyą́. 
48:5:016:0	Nidi ánihidishní, Níłch'i Diyinii bee dayínóhkáahgo, ts'ísee k'ehgo át'éii be'adáhonooni' doo bida'doohłíił da. 
48:5:017:0	Háálá ts'ísee k'ehgo át'éii be'adáhonooni' éí Níłch'i Diyinii yik'ijį' naaldzil, t'áá ákót'éego ałdó' Níłch'i Diyinii éí ts'ísee k'ehgo át'éii yik'ijį' naaldzil, áko díí kót'éego ałts'ą́ą́jí nidlį́įgo baa nideeshaał danohsinii doo bídeínóhhah da dooleeł. 
48:5:018:0	Nidi Níłch'i Diyinii nihoo'ishgo Jew dine'é bibee haz'áanii doo nihee ádíhólníih da. 
48:5:019:0	Áko ts'ísee k'ehgo baa ooldahii éí t'áadoo bahat'aadí: jó éí adilyé, [na'ageh bee tsi'na'adá,] baa'ihgo nitsáhákees, baa yádahasinii baa oodááł, 
48:5:020:0	e'elyaii bich'į' nahadlá, na'adlo'go álílee bee nahaghá, ak'e'diniih, ahiní'diiltłáád, adáhonooní, áháchį', ałk'ijį' na'anish, ałch'ą́ą́h na'a'na', ałts'á'áldah, 
48:5:021:0	ooch'į́į́d, [diné naatseed,] tó tsi'na'iiłáii yidlą́, t'áá na'níle'dii adlą́, áádóó t'áá ákónáádaat'éii. Ákót'éii yaa nidaakaígíí Diyin God bee bóhólníihgo bił haz'áanii doo bíí' dadooleeł da dishníigo t'áá átséedi bee nihi'níłnii' yę́ę bee nihináá'níshnííh. 
48:5:022:0	Nidi Níłch'i Diyinii bineest'ą' éí díí: ayóó'ó'ó'ní, ił hózhǫ́, hasht'ehodít'é, nízaadgóó ha'ahóní, ajooba', yá'át'éehii, a'ahódlí, 
48:5:023:0	a'ohgo é'ét'é, ádaa áháyą́; kódaat'éhígíí bee haz'áanii doo bídéét'i' da. 
48:5:024:0	Áádóó Christ Jesus bíí' dajílíinii éí ts'ísee k'ehgo be'adáhonooní áádóó bee laanaa daznízinii tsin ałnáoszid bąąhjį' bił o'oolkaal. 
48:5:025:0	Níłch'i Diyinii bee dahinii'náago, haa'íshą' Níłch'i Diyinii bee dayíníikáah doo. 
48:5:026:0	Haa'íshą' t'áadoo doo ádadiilkóhí doo, t'áadoo ałk'ee dadinii'niihí doo, índa t'áadoo da'ahiilch'į́dí doo.
