59:1:001:1	K'é ha'níinii
59:1:002:1	Hwe'oodlą' áádóó bee hódzáanii
59:1:001:0	Shí James, Diyin God índa Bóhólníihii Jesus Christ yá naal'a'í nishłíinii, naakits'áadahgo Ízrel dine'é danohłíinii tadanihidi'nooskaadígíí nihich'į' naaltsoos áshłéehgo k'é nihidishní. 
59:1:002:0	Shik'isóó danohłíinii, ał'ąą át'éego nanihídahodi'nitaahgo, baa hózhǫ́ǫgo baa nitsídaahkees, 
59:1:003:0	háálá nihe'oodlą' nabídahonitaahígíí bee nízaadgóó ha'jólní áhooł'įįhgo nihił béédahózin. 
59:1:004:0	Áko bíni'dii ha'ahóní nihinaalnishgo ałtso ła'yilééh, ákót'éego nihe'oodlą' bee ts'ídá t'áá ákóne' ádanoht'éego índa t'áadoo bee nihich'į' anáhóót'i'ígóó dahinohnáa doo. 
59:1:005:0	Nihí ła' bee hódzáanii bídin nohłį́įgo Diyin God bíídóohkił, éí bił hadlee'go índa doo ak'íhá'ááhgóó t'áá ałtso aidii'aah, áko honohsą́ągo ánihidoolííł. 
59:1:006:0	Nidi ts'ídá t'áadoo nihił naaki nilíní iinohdlą́ągo yídóohkił, áko doo nihił naanááyoł nidahonohłin da doo. Háálá hoł naaki nilínígíí níyol yááhoołgohgo tónteel yilk'oołígíí nahojílin. 
59:1:007:0	Diné ákójít'éii éí t'áadoo le'é Bóhólníihii bits'ą́ą́dę́ę́' nídideeshłééł t'áadoo jiníziní nijigháa doo. 
59:1:003:1	Badahojoobá'íii índa da'at'íinii
59:1:008:0	Diné naakigo nitsídzíkeesii éí t'áá ałtsojį' doo bééhózingóó nijighá. 
59:1:009:0	Ak'is hojooba' át'éii bohónéedzą́ ábi'diilyaago yaa bił hózhǫ́ǫ le', 
59:1:010:0	áádóó ak'is at'íinii bahojoobá'í ábi'diilyaago yaa bił hózhǫ́ǫ le', háálá ajit'íinii ch'ilátah hózhóón niiłnahígi át'éego ahwíidoołkááł. 
59:1:004:1	Ach'į' nahwii'ná índa na'íhonitaah
59:1:011:0	Jó, hadoh bił háá'át'áahgo ch'il néízis, áádóó ch'ilátah hózhóonii ninádahinidah, áko doo t'áá nizhónígo ahool'áa da. T'áá éigi át'éego diné ajit'íinii t'áá joolnishgo ahwíidoołkááł. 
59:1:012:0	Diné nabóhonitaahgo ha'ólnínígíí bik'ihojidlí, háálá na'íhonitaah bik'esdeesdlį́į'go bééhoozingo iináájí naat'á ch'ah Diyin God haididoo'ááł, éí Bóhólníihii ayóó'ádabó'níinii bíí' dooleełgo yee yich'į' haadzíí'. 
59:1:013:0	Nahóhodi'nitaahgo, Diyin God nashínítaah, doo jiníi da, háálá Diyin God éí nichxǫ́'íii doo yee na'ínítaah da, áádóó t'áá bí diné doo ła' nayínítaah da. 
59:1:014:0	Nidi diné t'ááłá'í jinítínígo nahóhodi'nitaahgo t'áá hó bidázhnoolníinii hodíní'ah áádóó nichxǫ́'íii yiih honi'ah. 
59:1:015:0	Áko bąąhági át'éego adáhonooní i'niiltsąąhgo bąąhági át'éii yiłchííh, áádóó bąąhági át'éii niniséehgo aniné nádleeh. 
59:1:016:0	Shik'isóó ayóó'ánihósh'níinii, nihida'dódleeh lágo. 
59:1:017:0	Yá'ádaat'éehii índa ts'ídá t'áá ákóne' ádaat'éii t'áá ałtso yá'ąąshdę́ę́' aTaa' bee da'di'nídíín áyiilaii bits'ą́ą́dę́ę́' nihaa hidit'aah. Diyin God doo łahgo óonééh át'ée da, doo chaha'oh náhoodleełígi át'ée da. 
59:1:005:1	Saad jidiits'a'go bik'eh hojíł'į́
59:1:018:0	T'áá bí íinízingo hane' t'áá aaníinii bee nínáádanihi'dizhchį́, jó, nihí alą́ąjį' ba'áłchíní nídasiidlį́į́'. 
