60:2:001:1	Tsé hináanii áádóó Diyin God t'áá bí bidine'é
60:2:001:0	Áko áká naat'á áts'á dahidoht'aah; t'áadoo danihiyooch'ídí, t'áadoo t'óó ádahodoł'íní, t'áadoo da'ahoołch'į́dí índa t'áadoo nichǫ́'ógo ahaa yádaałti'í. 
60:2:002:0	Awéé'chí'í abe' yídin danilínígi át'éego nihí ałdó' Diyin God bizaad abe' chin bąąh ádinii át'éego bídin danohłį́į le'. Éí bee danóohséeh doo. 
60:2:003:0	Háálá Bóhólníihii bibee ajooba' t'áá íídą́ą́' dasoolįhgo ákót'é.  
60:2:004:0	Bóhólníihii, éí tsé hináanii nilíinii, diné doo dabiniizį́į'ii nidi Diyin God bił nilį́įgo nibiníłtíinii baa hohkááh. 
60:2:005:0	Nihí ałdó' tsé hináaniigi ádanoht'éego Níłch'i Diyinii k'ehgo kin nihee ádaolne'. Diyingo nááda'iiłniihii danohłį́įgo, Níłch'i Diyinii k'ehgo náádahidoołnihii, éí Diyin God bił yá'át'éehii Jesus Christ bee Diyin God bich'į' náádahołniih. 
60:2:006:0	Háálá Diyin God bizaad bee ak'e'ashchíinii kóní:Jó'akon, Záíyangi tsé bee naaná'ástł'inii ílį́įgo ats'ání'áanii ninish'aah,áko hoodlą́ągo ha'ólíhígíí doo haa yánízingóó ábidi'doolnííł.  
60:2:007:0	Éí bąą nihí da'iinohdláanii nihich'į'go ajílį́, nidi doo da'oodlání bich'į'go t'éí:Kin ádeił'íní tsé doo deiniizį́į' da yę́ę,t'áá éí tsé bee naaná'ástł'inii dzizlį́į́'.  
60:2:008:0	Tsé bik'ee dahizhdidoogohii,áádóó tsé bik'ee ádił ayoolzihii át'é. Saad doo bik'eh dahojíł'į́į́góó biniinaa dahizhdigeeh. Jó, t'áá há bee nidahodiist'ą́. 
60:2:009:0	Nidi chahałheeł bits'ą́ąjį' ayóó ánóolningo Diyin God bibee adinídíinjį' nihíká ádííniidígíí ayóó át'éego yee ááníiłii baa dahohniih doo biniyé t'ááłá'í dine'é nohłį́įgo nánihi'diilyá, áádóó aláahgo naat'áanii danohłį́įgo nááda'iiłniihii danohłį́, áádóó dine'é diyinii índa Diyin God bíí' danohłį́. 
60:2:002:1	Diyin God yá naalte' danohłį́įgo dahinohná
60:2:010:0	Nahdę́ę́' łah t'áadoo bíí' danohłíní da nít'éé', nidi k'ad Diyin God bíí' dasoolį́į́'; łah Diyin God bibee ajooba' doo nihee dahólǫ́ǫ da nít'éé', nidi k'ad bibee ajooba' nihee dahazlį́į́'.  
