7:12:001:1	Jéfthah áádóó Íífreiyim dine'é
7:12:001:0	Íífreiyim dine'é t'áá bí t'ááłáhíjį' áłah daazlį́į'go náhookǫsjígo Zéífan hoolyéejį' ha'naa niikaigo Jéfthah ádeidííniid, Ha'át'éegoshą' Áman dine'é bił ałk'iijeehgo nił dadiibah biniyé t'áadoo nihíká ádííníniid da? Nighan t'áá bił adandidiilk'ą́ą́ł. 
7:12:002:0	Áko Jéfthah áhodííniid, Shí índa shidine'é ałdó' éí Áman dine'é bił ayóó át'éego anaa' nída'ahiilchííh, áko nihíká ádííniid, nidi t'áadoo bits'ą́ąjį' yisdádashisoołtį́į da. 
7:12:003:0	Áko doo yisdádashinołteehgóó shił bééhoozingo t'áá shí she'iina' ninádiní'ą́ągo Áman dine'é bich'į' anaa' áhooshłaa. Bóhólníihii éí shílák'ee hodíí'ą́. Ha'át'éegoshą' díí jį́ índa shik'iidoohjah biniyé noohkai? 
7:12:004:0	Ákohgo Jéfthah éí Gíliyad dine'é t'áá ałtso áłah áyiilaago Íífreiyim dine'é yił ałk'iijéé'. Áko Gíliyad dine'é éí Íífreiyim dine'é yik'eh dadeesdlį́į́', háálá ádaaní, Gíliyad dine'é nohłíinii, Íífreiyim dine'é áádóó Manáseh dine'é bitahgóó kéédahoht'íinii áłt'ąą la' Íífreiyim dine'é bits'ą́ą́dóó yóó'adahaazhjée'ii dasoolį́į́'. 
7:12:005:0	Áko Gíliyad dine'é éí Jórdan tooh ha'naa nihonít'i'ídóó Íífreiyim dine'é baa jíishjéé'. Áádóó Íífreiyim dine'é yóó'adahizhneezhchą́ą'ii ádazhdííniid, Tsé'naa ninishááh bee sha'diní'aah. Nít'éé' Gíliyad dine'é ádahałní, Da' Íífreiyim dine'ésh nílį́? Áko dooda jiníigo hadzoodzíi'go 
7:12:006:0	ádahałní, K'ad Shíbboleth diní, nít'éé', Síbboleth, jidííniid, háálá doo hazhó'ó józhíi da. Áko dahasiłgo Jórdan tooh ha'naa nihonít'i'gi dahwiisxį́. Áko íídą́ą́' Íífreiyim dine'é dízdiindóó ba'aan naakidi míilgo nabídzísdįįd. 
7:12:002:1	Íbzan áádóó Íílan índa Ábdan éí Ízrel dine'é yá nidahodiyii'aah nít'éé'
7:12:007:0	Jéfthah éí Ízrel dine'é bá nihozhdiyii'aahgo hastą́ą́h nááhai. Áko Jéfthah éí Gíliyad diné jílíinii dadziztsą́ągo t'áá hó hakin haal'áadi Gíliyadgi yóó'áho'diilyaa. 
7:12:008:0	Hakéé' góne' Béthlehem kin shijaa'dóó Íbzan wolyéii éí Ízrel dine'é yá nihodiyii'aah nít'éé'. 
7:12:009:0	Haye'ké éí tádiin yilt'é índa hatsi'ké ałdó' tádiin yilt'é. Éí náánáłahgóó bi'dziis'nii'go náánáłahdę́ę́' diné danilíinii baa dziiznil. Asdzání náánáłahdę́ę́' dine'é danilíinii haye'ké baa dziiznil. Áádóó tsosts'id nááhaijį' Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
7:12:010:0	Ákohgo Íbzan dadziztsą́ągo Béthlehem kin shijaa'di yóó'áho'diilyaa. 
7:12:011:0	Hakéé' góne' Íílan éí Zébyulan dine'é jílíinii Ízrel dine'é bá nihozhdiyii'aah nít'éé', áko Ízrel dine'é bá nihozhdiyii'aahgo neeznáá nááhai. 
7:12:012:0	Áko Íílan éí Zébyulan dine'é jílíinii dadziztsą́ągo Zébyulan bikéyahgi Éíjalan haz'ánídi yóó'áho'diilyaa. 
7:12:013:0	Hakéé' góne' Híllel biye' Ábdan éí Pírathan kin shijaa'dę́ę́' nijigháago Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
7:12:014:0	Áko haye'ké dízdiin áádóó hanálíké tádiin yilt'é; éí tsosts'idiingo dabitélii nidabiyéé nít'éé'. Áko tseebíí nááhaijį' Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
7:12:015:0	Híllel biye' Ábdan éí Pírathan kin shijaa'dę́ę́' nijigháago dadziztsą́. Áko Íífreiyim kéyahgi Ámalek dine'é bidził si'ánígi Pírathan kin shijaa'di yóó'áho'diilyaa.
