9:18:001:1	Jánathan éí David yił aha'deet'ą́
9:18:001:0	Saul bich'į' ałtso niyázhníłti'go Jánathan bii' sizíinii éí David bii' sizíinii yił łá'í silį́į́', áádóó Jánathan t'áá bí bii' sizíinii ayóó'áyó'nínígi át'éego ayóó'áhó'ní. 
9:18:002:0	Áko íídą́ą́' Saul náhodiiłtį́, áádóó doo t'áá k'ad hazhé'é bighangóó hwéé'níłnii' da. 
9:18:003:0	Jánathan éí David yił aha'deet'ą́, háálá t'áá bí bii' sizíinii ayóó'áyó'nínígi át'éego ayóó'áhó'ní. 
9:18:004:0	Áádóó Jánathan bi'éé' akáa'giígíí haidiiltsoozgo David yeiníłtsooz; bi'éé' áádóó bidiltłish, be'ałtį́į́' índa yee áká nálzisígíí ałdó' hainínil. 
9:18:002:1	Saul éí David yoołch'į́į́d silį́į́'
9:18:005:0	Áko David t'áá hizhdighááhgóó Saul ákǫ́ǫ́ nahał'a'go ádaa áhojilyą́, áko Saul éí diné anada'ał'íinii yá hoosį'. Áko Ízrel dine'é t'áá ałtso índa Saul bá naal'a'í dabinááł baa nijigháhígíí bił yá'ádaat'ééh. 
9:18:006:0	Ákódaadzaadóó bik'ijį' nináhaazhjéé', David ałdó' Filístiya diné jiisxį́į́dę́ę́' nídzídzáago Ízrel dine'é bikin dah naazhjaa'dę́ę́' sáanii dahataał áádóó da'alzhish índa ásaa' yigádígíí bił dahózhǫ́ǫgo tsin deiłtązhgo aláahgo naat'áanii Saul yidááh yíkai. 
9:18:007:0	Áko sáanii ahá dahataałgo bił dahózhǫ́ǫgo ádaaní, Saul éí damíilgo neistseed, índa David éí neeznáá damííl biláahgo neistseed. 
9:18:008:0	Áko Saul t'áá íiyisí báhóóchįįd áádóó áhodoo'niidígíí yik'ee doo bił hóózhǫǫdgóó ádííniid, David éí neeznáadi daamííl íísdįįdgo yá hadaasdzíí', nidi shí éí daamíilgo áséłdįįdgo shá hadaasdzíí'. Ha'át'íísh hábínéidoolyééł? Jó, aláahgo bee óhólníihii t'éí yidziih. 
9:18:009:0	Éí bijį́į́dóó Saul éí David hajisíidgo hodeeshzhiizh. 
9:18:010:0	Ákódaadzaadóó biiskání Diyin God éí níłch'i doo yá'áshóonii Saul yik'ijį' yi'níłnii'; Saul hakin góne' hak'i nááhoodle'go t'áá ádzaagóó yájíłti'go áhoolaa, áádóó David t'áá há niná'neeh yę́ęgi át'éego há nináánás'ne'. Saul éí bitsiidétáán anáhálghą́hígíí dah yootį́į́ł, 
9:18:011:0	áko Saul éí tsiidétáán yee iijíísxi', háálá ájíní, Kin bik'ijį' David bighá deesxih, áko David hats'ąą naalyizgo naakidi jisiih. 
9:18:012:0	Áko Saul éí David yénáldzid, háálá Bóhólníihii éí David yił hólǫ́, áádóó hó éí hats'ą́ą́' dah hodiile'. 
9:18:013:0	Éí bąą Saul ádíts'áhoníł'a'go siláo miilgo bee hóhólníihgo áhoolaa, áko diné binááł ch'ééjídááh áádóó ninájiidááh. 
9:18:014:0	David ádaa hojíyą́ągo t'áá ałtsojį' hojíyą́ągo ájoonííł, háálá Bóhólníihii hoł hólǫ́. 
9:18:015:0	David t'áá íiyisí ádaa hojíyą́ągo ájooníłígíí Saul yoo'į́įgo hak'ee bił yéé'. 
9:18:016:0	Nidi Ízrel dine'é áádóó Júdah dine'é t'áá ałtso David ayóó'ádayó'ní; jó, dabinááł ch'ééjídááh áádóó ninájiidááh. 
9:18:017:0	Ákohgo Saul éí David áyidííniid, Jó, doo shá nináhinílyéésgóó Bóhólníihii bá anaa' áníł'į́įgo t'éiyá shitsi' alą́ąjį'ígíí Míírab ne'asdzą́ą́ dooleeł biniyé naa deeshtééł, háálá Saul kwíizniizį́į́', Shí éí doo atíhodeeshłíił da, nidi háni'dii Filístiya dine'é éí atídahodoolííł. 
9:18:018:0	Áko David éí Saul áyidííniid, Shíshą', éí ha'át'íí nishłį́? Haash yit'éego hinishná? Áádóó Ízrel dine'é bitahgi shizhé'é bighandóó danilíinii ha'át'íísh danilį́įgo aláahgo naat'áanii baadaaní yishłeeh doo? 
9:18:019:0	Nidi ákwii hoolzhish yę́ędą́ą́' Saul bitsi' Míírab éí David baa yílteeh nít'éé' yę́ę; jó, Éídriyal wolyéii Miihólath dine'é nilį́įgo baa yíltį́. 
9:18:020:0	Áko Máíkal éí Saul bitsi' nilį́įgo David ayóó'áyó'ní, áko Saul yił dahoolne'go yaa bił hóózhǫǫd. 
9:18:021:0	Áko Saul ádííniid, David éí tsístł'azhdoogááł biniyé Máíkal haa deeshtééł, áko Filístiya dine'é hach'į' nidahwiiłnáa doo. Éí bąą naakidi aleeh góne' Saul éí David ánááyidoo'niid, K'ad lą́ índa shaadaaní dííleeł ni. 
9:18:022:0	Áko Saul éí bá nidaal'a'ígíí yich' į' haadzíi'go ání, T'áá nant'inee hazhó'ó David bił ahił dahodoołnihgo ádabididoohniił, Aláahgo naat'áanii naa bił nihoozhǫǫh, áádóó bá nidaal'a'í t'áá ałtso ayóó'ádanó'ní, éí bąą k'ad aláahgo naat'áanii baadaaní dííleeł. 
9:18:023:0	Áádóó Saul bá nidaal'a'í éí David yich'į' yee hadaasdzíí'. Áádóó David ádííniid, Aláahgo naat'áanii baadaaní yishłeehgo t'įįhdígo haniih át'éii át'éego shaa nitsóhkees? Jó, diné hojooba' át'éii áádóó doo aláahgo ch'íbi'dit'áahii yee' nishłį́. 
9:18:024:0	Saul há nidaal'a'í éí David yee hahaasdzí' ígíí yee hoł nídahoolne'. 
