12:19:001:1	Júdah dine'é éí Senákerib bits'ą́ąjį' yisdáánil
12:19:001:0	Nít'éé' aláahgo naat'áanii Heziikáíyah éí yidiizts'ą́ą'go bi'éé' ák'inayooldláadgo tł'oh yishbizh ák'íísti'go Bóhólníihii bikin bii' sohodizin góne' yah ííyá. 
12:19:002:0	Áádóó haghan yinanit'a'í nilíinii Iiláíyakim áádóó naaltsoos ííł'íní Shébna índa alą́ąjį' nááda'iiłniihii éí tł'oh yishbizh bik'ídaasti'go Éímaz biye' Aizéíyah Diyin God yá halne'ii nilíinii bich'į' ajiis'a'. 
12:19:003:0	Áko ádahałní, Heziikáíyah kóní, Díí jį́ éí ach'į' nahwii'náajį' ayííłką́, aditeeh áádóó baa'ihgo ha'oodzíí' bainíłką́, háálá áłchíní bida'niichį́įgo bi'niiłchíinii be'adziilii bee ádaadin. 
12:19:004:0	Bóhólníihii niDiyin God daats'í Rábshakeh bizaad t'áá át'é yididoots'į́į́ł; éí binanit'a'í Asíriya dine'é aláahgo binant'á bííł'aadgo Diyin God hináanii yá nahast'i', áko Bóhólníihii niDiyin God éí saad yidiizts'ą́'ígíí biniinaa yididooteh; éí bąą Ízrel dine'é daadziihígíí bá sodílzin. 
12:19:005:0	Kót'éego aláahgo naat'áanii Heziikáíyah bá nidaal'a'í Aizéíyah yaa yíkai. 
12:19:006:0	Áko Aizéíyah áhodííniid, Nihinanit'a'í kódabididoohniił, Bóhólníihii kóní, Asíriya dine'é aláahgo binanit'a'í bá nidaal'a'í baa'ihgo shá hadaasdzíi'go disíníts'ą́'ígíí t'áadoo bik'ee nił yé'í. 
12:19:007:0	Jó, níłch'i hwiih deesh'aałgo aseezį́ yididoots'į́įłgo t'áá bí bikéyahgóó dah nídidoodááł, áádóó t'áá bí bikéyahdi diltłish bee bidi'yoolyééł. 
12:19:008:0	Áko Rábshakeh t'ą́ą́' nádzáago Asíriya dine'é aláahgo binanit'a'í Líbnah kin haal'áii yik'ijį' naabaah lá; jó, aláahgo naat'áanii Léíkish kin haal'áádóó dah nídiidzáago jíínii'. 
12:19:009:0	Nít'éé' Iithiyópiya dine'é aláahgo binanit'a'í Túrhakah baa hane'go yidiizts'ą́ą'go, Jó, nik'ijį' nidoobah biniyé yigááł, ha'níigo baa hojíínii'go Heziikáíyah yich'į' anáá'ííł'a' kóníigo, 
12:19:010:0	Júdah dine'é aláahgo binanit'a'í Heziikáíyah bich'į' hadíídzih kóbidiníigo, NiDiyin God baadzíínílíhígíí t'ááká ni'dóleeh lágo, kóníigo, Asíriya dine'é aláahgo binanit'a'í éí Jerúsalem kin haal'áii doo baa didoot'áał da. 
12:19:011:0	Jó, Asíriya dine'é aláahgo binanit'a'í danilíinii kéyah t'áá át'é ádayííł'įįdígíí índa ałtso dahóółchxǫ'ígíí baa hodisíníts'ą́ą́'; ákoósh yisdáshidi'dooltéé ł nínízin? 
12:19:012:0	Da' shizhé'é yę́ę ał'ąą dine'é bidiyin danilíinii ádeisdįįdígíí, éí Gózan áádóó Héíran índa Ríízef kin hadaas'áhígíí áádóó Ííden dine'é éí Thiiléísergi kéédahat'į́į́ nít'ée'ii bidiyin danilíiniísh yisdádahwiiznil? 
12:19:013:0	Héímath kin haal'áádóó aláahgo naat'áaniishą', Árpad kin haal'áádóó aláahgo naat'áaniishą', Séfarvéíyim kin haal'áádóó aláahgo naat'áanii áádóó Híína kin haal'áádóó índa Áívah kin haal'áádóó aláahgo naat'áaniishą', éísh daaháájí? 
