19:49:001:1	T'áá bí deit'íinii yaa dadzólíii éí doo áháyą' át'é
19:49:001:0	Dadine'é danohłíinii, t'áá ninánooł'ą́ąjį' t'áá ánółtso díí dadoohts'į́į́h. Nihokáá' dine'é nohłíinii, t'áá ánółtso da'íísółts'ą́ą́', 
19:49:002:0	a'ohgo áádóó aláahgo ádanoht'éii, da'oht'íinii índa nihadahojoobá'ígíí t'áá ánółtso da'íísółts'ą́ą́'. 
19:49:003:0	Hódzą́ bee yáshti' doo. Áádóó shijéí biyi'di bik'i'diitáanii éí nabik'ítséskees doo. 
19:49:004:0	Hódzą́ągo yáti' yínísts'ą́ą' doo; tsin tł'óół bąąh daneelzhee'go bee nida'a'néii bee na'a'néego saad doo bééhózinii hazhó'ó bee nihił hodeeshnih. 
19:49:005:0	Shich'į' nidahwiiłnáanii doo ákwii ádaat'íinii shinínálzhishgo doo yá'áshǫ́ǫ́góó yoołkáałgo, ha'át'íísh biniyé shił yéé' náhádleeh doo? 
19:49:006:0	Éí t'áá bí deit'íinii yaa dadzólí índa ts'ídíkohgo asht'į́ daaníigo yee ádaa daha'niih. 
19:49:007:0	T'áá háiida doo ła' hak'is bik'é ninázh'doodléeł da, índa hak'is bą́ą́h ílį́ bíighahgo Diyin God doo baa jónííł át'ée da, 
19:49:008:0	háálá bii' naazíinii ayóo ílį́. Áko hool'áágóó ts'ídá doo ałtso bik'é nizh'dooléeł da. 
19:49:009:0	Áko hináago ahool'áa doo, índa doo yóó'ábidi'doolníił da, ch'ééh jinízin. 
19:49:010:0	Háálá dahóyáanii daninéego áádóó doo áhályáanii índa naaldlooshii nahalingo doo nitsíkeesii ałdó' áádįįłgo binaalye'é yits'ą́ą́' ahikáahgo náánáła' bíí' nidahaleehgo baa ákoznízin. 
19:49:011:0	T'áá biyi'ídi ádeinízin, Hool'áágóó shighan si'ą́ą doo, áádóó kééhasht'į́įgi náás oochííłgóó daabíí' dooleeł; shikédaayah t'áá shízhi' yee dayózhíi doo, danízin. 
19:49:012:0	Diné at'į́įgo baa yáhásinii doo hool'áágóó hináa da; naaldlooshii áádįįłii nahalingo hó ałdó' dazdootsaał. 
19:49:013:0	Díí diné doo ádahalyáanii áádóó yee hadahaasdzíi'ii éí ba'áłchíní náás ahoolchíiłii bił t'áá da'ákoígíí ákódaanííł. Síilah. 
19:49:014:0	Dibé yah anoolkaad nahalingo jishcháa'di jizhjée' doo; dibé yaa áhályáanii nahalingo anoonééł haa áhályą́ą doo; abíínígo t'áá ákogi ádaat'éii hondant'áa doo, áádóó dahats'íís danizhónígíí jishcháá' góne' dadidoołdził, áko doo kénáádahojit'į́į da doo. 
19:49:015:0	Nidi jishcháá' bibee adziilii bits'ąą Diyin God éí shii' sizíinii néidiyoołnih, háálá nááshididoodlééł. Síilah. 
19:49:016:0	Diné ła'da at'į́ ábi'diil'įįhgo bighan góne' naalye'é haleehgo t'áadoo bik'ee nił yé'í. 
19:49:017:0	Háálá daaztsą́ągo t'áadoo dah yididooléłí da. Hanaalye'é doo t'áá hakéé' dooleeł da. 
19:49:018:0	Azhą́ hináago, Shii' sizíinii bił hózhǫ́, nízin nidi, áádóó azhą́ náás ooléełgo bee baa ha'niih nidi, 
19:49:019:0	dahazhé'é yę́ę adahaazlį́į́'góó jidooleeł. Áko adinídíín ts'ídá doo deizhdoołtséeł da. 
19:49:020:0	Diné at'į́įgo baa yáhásinii doo ak'i'diitįįhgóó, éí naaldlooshii áádįįłii nahalingo dazdootsaał.
