1:44:001:1	Bee adlání bóhohya'
1:44:001:0	Áádóó hakin yaa áhályáanii ábizhdííniid, Hééł t'áá yídaneel'ánígi diné t'áá ałtso bida'azis bii' ch'iyáán hadadidííłbį́į́ł, índa dabibéeso bida'azis biih náhidíí'nił. 
1:44:002:0	Áádóó béésh łigaii shibee adlání índa béeso yee tł'oh naadą́ą́' nayiis'nii'ígíí ałdó' akéédę́ę́' nilínígíí be'azis biih díínił. Áko Jóseph áhodííniidígíí bi'jiilaa. 
1:44:003:0	Áko hoos'įįdgo diné áádóó dabitélii bił bééda'iisnii'. 
1:44:004:0	Áko kin haal'áádę́ę́' ch'íjíkaigo t'áá áhánígóó jookahgo Jóseph bikin yaa áhályáanii áyidííniid, Nílááh, diné bikéé' dínááh, áko bíínísáago ábididííniił, Ha'át'éegoshą' yá'át'éhígi ánihiishłaa nidi nihí éí bąąhági ádashooł'įįd? 
1:44:005:0	Díí shinanit'a'í yee adlánígíí át'é; éí yee náásgóó áhodooníiłii bił bééhózin. Kódaohdzaaígíí bee doo yá'áshónígi ádaohdzaa, yidííniid. 
1:44:006:0	Áko bízhnísáago díí saad bee bich'į' hadzoodzíí'. 
1:44:007:0	Áko ádahodííniid, Ha'át'éegoshą' nihinanit'a'í díí saad yee haadzíí'. Ná nidaal'a'í t'áá íiyisí doo ákódaone' át'ée da. 
1:44:008:0	Shoo, nihe'azis bii' béeso nídadii'nilígíí Kéínan kéyahdę́ę́' nídashiijaa', ákoshą' ha'át'íí biniyé ninanit'a'í bighandę́ę́' béésh łigaii áádóó óolada dadíníit'į́į́ł? 
1:44:009:0	Ná nidaal'a'í t'áá háí shį́į́ nei'áhígíí háni'dii bidi'yoolyééł; nihí ałdó' nihinanit'a'í yá nidaalte' dadiidleeł. 
1:44:010:0	Áko ádííniid, T'áá ádadohnínígi át'ée doo; t'áá nei'áhígíí éí shinaalte' doo; nihí éí doo nihik'íhát'áah da doo. 
