3:24:001:1	Bee hool'iní baa áháyą́ągi
3:24:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní, 
3:24:002:0	Ízrel dine'é bee bá hooł'aah áliv tsin naazkaadii bineest'ą' ník'íbí'neeshtłishgo bik'ahígíí bee hool'in doo biniyé naa deidiyookááł; éí diltłi'go bee hool'ingo néílkáah doo. 
3:24:003:0	Níbaal bii' dahozdísinii bii' neeznáago bik'eh ó'oo'níiłii bee bééhániihii sinilígíí bidááhjí dáádiníbaalídóó tł'óo'jigo haz'ání góne' e'e'ááhdóó abíníjį' Éran éí Bóhólníihii binááł t'ááłáhígi át'éego bee hool'iní yaa áhályą́ą doo; díí bee nihoní'áanii ahóyéel'áágóó Ízrel dine'é náás da'ahíínółchíihii nihá át'ée doo. 
3:24:002:1	Bááh nááhániihii
3:24:004:0	Áádóó bee hool'iní bá yadaa'áii nizhóníii bílátahdi dah naaznilígíí Bóhólníihii binááł t'áá áłahjį' hasht'eyósin doo. 
3:24:005:0	Áádóó ak'áán dibahí bee bááh naakits'áadahgo ádíílííł; éí ómer bee í'neel'ąąhí bee ak'áán dibahí naakidi haaką́ągo bááh bik'eh níką́ą doo. 
3:24:006:0	Éí ałts'ą́ą́hjí hastą́ągo naakigo hadiit'i'go bikáá' adání nizhóníii bikáa'gi Bóhólníihii binááł nidíínił. 
3:24:007:0	Áádóó tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii éí naakigo ał'ąą bááh hadiit'i'ígíí bik'i nináhíjihgo bee ééhániihii át'ée doo; éí Bóhólníihii bich'į' didlidgo nááhániihii át'ée doo. 
3:24:008:0	T'áá háá'áyį́į́h jį́ ná'ádleeh bik'eh éí Bóhólníihii binááł t'áá áłahjį' hasht'ééjiil'įįh doo; éí Ízrel dine'é bá hool'áágóó bee aha'deet'áanii át'ée doo. 
3:24:003:1	Dadiyinii doo dílzingóó baa yájíłti'ii áádóó atíhodi'doolníiłgo bee haz'áanii
3:24:009:0	Áko éidí Éran áádóó biye'ké daabí dooleeł, áko éí hodiyingo haz'ání góne' nídeidį́įh doo; jó, éí aláahgo dílzinii át'éego nááyiiłniihii Bóhólníihii bich'į' didlidgo náádahaniihii ádaat'éego éí ła' ahóyéel'áágóó bee nihoní'áanii át'é. 
3:24:010:0	Asdzání éí Ízrel dine'é nilíinii ła' biyáázh éí bizhé'é Ííjip dine'é nilį́įgo Ízrel dine'é yitahgi níyá. Díí asdzání biyáázh éí níbaal haal'áagi Ízrel dine'é ła' yił ałk'iilwod. 
3:24:011:0	Áko díí asdzání biyáázh éí Bóhólníihii bízhi' doo yidísingóó yá haadzíi'go yiyíídzíí'. Éí Mózes yich'į' yił daaskai. Bimá éí Shílomith wolyé; Dan dine'é nilíinii Díbri yitsi' nilį́. 
3:24:012:0	Áko yah adadzist'e'; haash yit'éego Bóhólníihii baa nitsíkeesígíí hoł ííshją́ą́ ádooleeł biniyé. 
3:24:013:0	Áádóó Bóhólníihii éí Mózes kót'éego yich'į' haadzíí', 
3:24:014:0	Éí diné éédzíi'ii níbaal haal'á bits'áhwiiní'ą́ądi nidanohłóosgo t'áá ałtso dahodiizts'ą́ą'ii éí hatsii'káa'gi dah dadidoolnihgo t'áá dah oonééł nít'éé' hoł nidazdoołniił. 
3:24:015:0	Áko Ízrel dine'é kót'éego bich'į' handziihgo ábididííniił, T'áá háiida haDiyin God jíídzíi'go éí bee ádił ajisiihígíí bee hohodiit'i'go nijigháa doo. 
3:24:016:0	Áádóó ła'da Bóhólníihii bízhi' doo jidísingóó bá hadzoodzíi'go éí t'áá aaníí hodi'yoolyééł; dah oonééł t'áá át'é t'áádóo nídí hoł nidazdoołniił; dé'éyóní índa kéyah bii' ho'dizhchíinii éí Bóhólníihii bízhi' doo jidísingóó bá hadzoodzíi'go hodi'yoolyééł. 
3:24:017:0	Ła'da diné náánáła' diné jiisxíinii t'áá aaníí hodi'yoolyééł. 
3:24:018:0	Áádóó ła'da alį́į́' ła' jiisxį́įgo t'áá alį́į́' ła' ninázh'doodlééł. 
3:24:019:0	Índa diné t'áá háiida bił kééhojit'íinii ła' atíjiilaago hó ałdó' t'áá ákónáhodi'doolnííł. 
3:24:020:0	Bits'in k'íizhníti'go hats'in k'ínídootih; bináá' atíjiilaago hanáá' atínídoolnííł; biwoo' atíjiilaago hawoo' atínídoolnííł; diné ła' hadabizdees'nihgo hó ałdó' t'áá ákót'éego k' ééhodi'doolnííł. 
3:24:021:0	Áádóó ła'da alį́į́' jiisxį́įgo t'áá alį́į́' ła' ninázh'doodlééł, índa t'áá háiida diné jiisxį́įgo hó ałdó' hodi'yoolyééł. 
3:24:022:0	Bee haz'áanii t'ááłá'í nihee hólǫ́ǫ dooleeł; dé'éyóní áádóó nihikéyahgi nidaho'diizhchíinii há át'ée doo; jó, shí Bóhólníihii nihiDiyin God nishłį́. 
3:24:023:0	Áádóó Mózes éí Ízrel dine'é yich'į' haadzíí', áko éí diné éédzí'ígíí níbaal haal'á bits'áhwiiní'ą́ądi nideizlóozgo yił nidadzisne'. Áko Ízrel dine'é ákódaadzaa; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yida'iilaa.
