40:11:001:1	John Tó Yee Asį́įhii bits'ą́ą́dę́ę́' naal'a'í
40:11:001:0	Áko Jesus éí naakits'áadah bídahooł'aahii ałtso neineeztą́ą'go, Jew dine'é bikin hadaas'áágóó nidí'nóotįįł áádóó nahodoolnih biniyé dah diiyá. 
40:11:002:0	Nít'éé' John awáalyaa góne' dzizdáago éí Christ binaanish baa hozdiizts'ą́ą'go, bich'į' hane' ájiilaago hódahooł'aahii ła' bił ajííł'a'go 
40:11:003:0	Jesus ábijiní, Da' niísh, Doogááł, hodoo'niidę́ę ánít'į́, éí doodago náánáła' daats'í bíká dadíit'į́į' doo? 
40:11:004:0	Áko Jesus hach'į' haadzíi'go áhodííniid, Nihílááh nídóhkááh, áádóó dadoohts'a'ígíí índa daah'ínígíí bee John bił dahodoołnih, 
40:11:005:0	doo da' oo'ínígíí da'oo'į́ áńdaalne', áádóó nida'niłhodígíí nidaakai áńdaalne', łóód ats'íís yiyáanii naałdzidii bee bąąh dah nidahaz'ánígíí hadaałt'é áńdaalne', áádóó bijédaakałígíí da'diits'a' áńdaalne', áádóó daneeznánígíí nááhidiiljeeh, índa badahojoobá'ígíí hane' yá'át'éehii bee bił dahane', dabidohní. 
40:11:006:0	Áádóó t'áá háiida doo bił naaki danilį́į́góó shaa nitsídaakeesígíí bik'idahojidlí. 
40:11:007:0	Áko éidí dah diikaigo, Jesus éí diné yíl'áhígíí bich'į' John baa ayázh'niiłti'go ájíní, Ha'át'íishą' dadínóoł'įįłgo honoojíígóó nidasoohkai? Lók'aa' níyol bighádígíí daats'í? 
40:11:008:0	Nidi ha'át'íishą' deidoołtséełgo ákǫ́ǫ́ nidasoohkai? Éé' daalzhólíii yee hadít'éii daats'í? Jó'akon, diné éé' daalzhólíii yee hadadít'éii éí aláahgo naat'áanii dabinághangóó kéédahat'į́. 
40:11:009:0	Áko ha'át'íishą' deidoołtséełgo ákǫ́ǫ́ nidasoohkai? Diyin God yá halne'ii daats'í? Éí lą́ą, áádóó Diyin God yá halne'ii yiláahgo át'éii nilíinii nihidishní. 
40:11:010:0	Jó, éí kót'éego bee ak'e'ashchínígíí át'į́:Jó'akon, shá halne'ii nilą́ąjį' deesh'aał,éí ná honít'i'ii nilą́ąjį' ná hasht'eidoolííł.  
40:11:011:0	T'áá aaníí ánihidishní, Oochííł bitahdóó John Tó Yee Asį́įhii yiláahgo át'éii t'ah doo ła' nídiidáah da, nidi t'áá háiida yá'ąąshii bee bóhólníihgo bił haz'áanii biyi' a'ohgo ájít'éii nidi éí John biláahgo ájít'é. 
40:11:012:0	Áádóó John Tó Yee Asį́įhii bíyoołkááł yę́ędóó díísh jį́įjį', yá'ąąshii bee bóhólníihgo bił haz'áanii t'áá bizááká nishódayoołt'eeh áádóó t'áá bizááká yiih hikááh. 
40:11:013:0	Háálá Diyin God yá dahalne'ii índa bee haz'áanii Mózes baa deet'ánígíí t'áá ałtso John níyá bijį́įjį' Diyin God yá dahoolne', 
40:11:014:0	áko baa hóóne'ígíí deinohdlą́ą doogo, Iiláíjah doogááł hodoo'niid yę́ę éí John bí át'į́. 
40:11:015:0	T'áá hajaa' hólǫ́ǫgo azdiits'a'ígíí háni' ajíists'ą́ą́'. 
40:11:016:0	Nidi ha'át'íí lá díí oochíłígíí bił ahąąh nideeshniłgo binahjį' baa hodeeshnih lá? Jó, éí nida'iiniihgóó áłchíní nidaháaztą́ągo yił nidaanéhígíí kót'éego yich'į' ádaanínígíí nahalin, 
40:11:017:0	Tsin bee í'dílzoołí bee nihá nidasii'ne', nidi doo da'oołzhiizh da;nihich'į' atídadiniidlį́į́', nidi nihí t'áadoo atídasidinoohdlį́į' da. 
40:11:018:0	Háálá John éí ch'iyáán índa daadláanii doo yíchą́ yídéelni'go níyáa da, áko diné ádaaní, Níłch'i bi'iiníziinii bii' hólǫ́ǫ́ lá. 
40:11:002:1	Kin hadaas'áagi bąąhági ádaat'éii yaa deíkáahii doo hojooba' ájíníi da
40:11:019:0	Diné Silį́į'ii éí doodį́įłii áádóó doodlį́įłii yiyą́ągo níyá, áko diné ádaaní, Jó'akon, diné dibidii áádóó adláanii nilį́į́ lá, tax nahalyéhígíí yiniyé naazdáii índa bąąhági ádaaníiłii yich'ooní nilį́į́ lá! Ákondi hódzą́ éí yee ááníiłii binahjį' ts'ídá t'áá ákogi át'éego bee bééhózin. 
40:11:020:0	Ákohgo kin hadaas'áágóó, ádahooníił ii ayóó ádaat'éii lą'í yaa naayá yę́ęgóó kéédahat'íinii doo łahgo át'éego Diyin God yich'į' tsíńdadikeesgo yada'ooliihígíí biniinaa yik'íhá'áahgo yaa nídiidzá. 
40:11:021:0	Koréízingi kéédahoht'íinii, doo hojooba' ájíníi da! Bethséyida kéédahoht'íinii, doo hojooba' ájíníi da! háálá aají nihitahgi ádahooníiłii ayóó ádaat'éii baa nida'asdee'ii éí Táir índa Sáidan kin haal'áagi baa nida'asdee' nít'ée'go, ákwii kéédahat'íinii ałk'idą́ą́' aghaashzhiin yistł'óonii yee hadadiidzaago łeeshch'iihtahgi dineezbingo łahgo át'éego Diyin God yich'į' tsíńdadeezkéezgo yada'oozlíi' doo nít'éé'. 
40:11:022:0	Nidi ánihidishní, Ánihwiit'aah beiníłką́ądi Táir índa Sáídan kin haal'áagi kéédahat'į́į́ nít'éé' yę́ę biláahdi át'éego atídanihidi'doolnííł. 
40:11:023:0	Áádóó nihí, Kapérniyam dine'é nohłíinii, da' yá'ąąsh ánízahgoósh nihaa dahodoo'nih? Nihíyee' hool'áágóó ti'hoo'nííh góyaa dadoohłeeł. Háálá nihitahgi ádahooníiłii ayóó ádaat'éii baa nida'asdee'ii éí Sádam kin haal'á yę́ęgi baa nida'asdee' nít'ée'go, éí t'ahdii díísh jį́į́góó hólǫ́ǫ doo nít'éé'. 
40:11:003:1	Shaa hohkáahgo háádaałyį́į́h
40:11:024:0	Nidi ánihidishní, Kéyah éí Sádam binaagóó ánihwiit'aah beiníłką́ądi atídabidi'doolníłígíí biláahdi át'éego atínihidi'doolnííł.  
40:11:025:0	Áko íídą́ą́' Jesus haadzíi'go ádííniid, ShiTaa', yá'ąąsh índa nahasdzáán bee Nóhólníihii, nich'į' ahééh nisin, háálá díidí dahóyáanii áádóó ídahooł'ą́ą'ii bits'ąą nídíníł'į́į́', nidi áłchínígi ádaat'éii t'éí bił ííshją́ą́ ádeinilaa; 
40:11:026:0	t'áá aaníí, shiTaa', háálá éí nił yá'át'éehgo bee íinínízinígíí át'é. 
40:11:027:0	ShiTaa' t'áá ałtsoní sheidiní'ą́, áko t'áadoo ła' aYe' nilíinii yééhósiní da, t'áá hazhó'ó aTaa' t'éiyá, índa t'áadoo ła' aTaa' yééhósiní da, t'áá hazhó'ó aYe' t'éiyá áádóó éí aYe' t'áá háiida aTaa' bééhodzísingo áhodoolíłígíí t'éiyá. 
