44:3:001:1	Kin bii' sohodizin bił haz'ą́ągi dáádílkałgi naaljį́į́d náábi'diilzá
44:3:001:0	Łah yaa adeez'ą́ągo sohodizin baa hoolzhiizhgo Peter áádóó John éí kin bii' sohodizin bił haz'ą́ą́ góde joo'ash. 
44:3:002:0	Nít'éé' diné léi', t'áá bi'dizhchį́į́dę́ę́' naaljį́į́d nilį́įgo t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ągi diné yah ahikáhígíí béeso bíjókeed biniyé dáádílkał Ayóó'ánóolnin hoolyéegi ninábi'diltééh. 
44:3:003:0	Áko Peter áádóó John k'adę́ę kin bii' sohodizin bił haz'ą́ą́ góne' yah ii'aashgo jiiłtsą́ągo, bí'jííkeed. 
44:3:004:0	Áko Peter áádóó John yéego honíł'į́įgo áháłní, Nihiníníł'į́. 
44:3:005:0	Áko jiníł'į́įgo t'áadoo le'é sheidoolééł jiniizį́į́'. 
44:3:006:0	Nít'éé' Peter áhodííniid, Béésh łigaii índa óola shee ádin, nidi t'áá shee hólónígíí naa nishłé; Názarethdóó Jesus Christ bízhi' bee, [nídii'néehgo] dah diinááh. 
44:3:007:0	Áko bíla' nish'náájí jiiłtsoodgo nízdiidzį́į́z, nít'éé' t'ahaa'go bikee' áádóó bikétsíín niłdzil silį́į́'. 
44:3:008:0	Ákohgo náhidiitahgo yiizį'go dah diiyá, dah náníljį́įhgo yigááł, índa Diyin God yaa haniihgo kin bii' sohodizin bił haz'ą́ą́ góne' bił yah ajookai. 
44:3:009:0	Áko joogáałgo Diyin God baa hojiniihgo diné t'áá ałtso dahoołtsą́, 
44:3:002:1	Sálaman bichaha'oh hoolyéegi Peter yáłti'
44:3:010:0	áádóó kin bii' sohodizin bił haz'ą́ągi dáádílkał Ayóó'ánóolnin hoolyéegi azhdókeedgo dzizdáá nít'é'ígíí ájít'į́įgo bił béédahoozin, índa ákóho'diilyaaígíí bąą t'óó bił daahaada áádóó t'óó bił adahayóí. 
44:3:011:0	Áádóó diné naaljį́į́d nilį́įgo náábi'diilzáhígíí Peter índa John yąąh dah sitį́įgo, diné t'áá ałtso t'áá íiyisí t'óó bił daahaadago, kin bii' sohodizin bił haz'ą́ągi Sálaman bichaha'oh hoolyéejį' ahaneheezhjée'go haa áłah silį́į́'. 
44:3:012:0	Áko Peter éí yiyiiłtsą́ągo diné yich'į' haadzíi'go ání, Ízrel dine'é danohłíinii, ha'át'íishą' biniyé díí bik'ee t'óó nihił adahayóí? Ha'át'íishą' biniyé t'áá hó habee adziilii bee, éí doodaléi' hozdísinígíí bee, diné naagháago ájiilaa danihíínóh'níigo ayóogo danihinół'į́? 
44:3:013:0	Éíbraham biDiyin God, t'áá éí Áízak índa Jéíkab biDiyin God, danihizhé'é yę́ę biDiyin God, éí bá Naal'a'í Jesus ayóó át'éii nilį́įgo áyiilaa, éí nidahosoolóóz, áádóó Páílat hwéédideeshchił niizį́į'go, t'áá binááł doo nihízhdéét'i'góó há hadasoohdzíí'. 
44:3:014:0	Nidi Ts'ídá T'áá Ákogi Ájít'éii Diyin Jílíinii doo nihízhdéét'i'góó há hadasoohdzíi'go diné yiyiisxíiniida nihaa nídooltéełgo dayínóokeed, 
44:3:015:0	áádóó iiná Hayííłt'i'ii dasoołhį́įgo daaztsą́ą́dę́ę́' Diyin God náábidiisá. Díí nihí éí dabíínáałii daniidlį́. 
44:3:016:0	Áko díí diné danół'ínígíí áádóó béédahonohsinígíí Jesus bízhi' bee adziilii bee bidziilgo ánábi'diilyaa, áko t'áá ánółtso nihinááł Jesus woodlą́ągo baa dzódlíhígíí bee díí diné doo bąąh tééhgóó ánábi'diilyaa. 
44:3:017:0	Áko k'ad shik'isóó, nihinanit'a'í doo bił béédahózingóó ádáát'įįdígi át'éego, nihí ałdó' doo nihił béédahózingóó ádaot'įįdgo shił bééhózin. 
44:3:018:0	Nidi Christ ti'hwiidoonihgo, Diyin God yá dahalne'ii t'áá ałtso t'áá átséedi yaa dahoolne'ígíí, t'áá ákót'éego yi'iilaa. 
44:3:019:0	Éí bąą nihibąąhági ádaat'éii nihá k'ééda'doolchǫǫł biniyé łahgo át'éego tsíńdahidohkeesgo Diyin God bich'į' dah nídahidoohkááh, áko Bóhólníihii bits'ą́ą́dóó bee ák'ééhwiitáadii nihee náhoodleeł doo. 
44:3:020:0	Áádóó Christ bee nihił hóóne'ii nihaidooł'aał, éí Jesus nilį́, 
44:3:021:0	éí ałk'idą́ą́' Diyin God yá dahalne'ii dadiyinii yaa dahoolne'ígi át'éego, t'áá ałtsoní hasht'éédoo'nííł baa hoolzhiizhjį' yá'ąąshdi hólǫ́ǫ doo. 
44:3:022:0	Mózes t'áá aaníígóó [danihizhé'é yę́ę] áyidííniid,Bóhólníihii Diyin God shiisį'ígi át'éego nihik'isóó bitahdę́ę́' bá halne'í ła' yiidoosįįł.Éí nihich'į' yee hahidoodzihii t'áá át'é dadidoohts'į́įłgo bik'ehgo ádanoht'ée doo.  
44:3:023:0	Áko Diyin God yá halne'ii doo dajíists'ą́'ígíí t'áá ádzíłtso Ízrel dine'é bits'áhizhdookahgo ádahodi'dooldįįł.  
44:3:024:0	T'áá aaníí Sámuel hiná yę́ędą́ą́' áádóó wóshdę́ę́', Diyin God yá dahalne'ii danilį́įgo hadahaasdzíi'ii t'áá ałtso, díí jį́į́góó ááníłígíí t'áá bítséedi yaa dahoolne'. 
44:3:025:0	Nihí Diyin God yá dahalne'ii ba'áłchíní danohłį́, áko Diyin God éí Éíbraham áyidííniid, Nahasdzáán bikáa'gi nits'ą́ą́dóó yichíiłii bee ał'ąą dine'é t'áá ałtso bik'ihozhdoodliił, yiłníigo danihizhé'é yę́ę bee aha'deet'áanii yee yił hasht'eyiilaii, ałdó' ba'áłchíní danohłį́. 
44:3:026:0	Diyin God éí bá naal'a'í [Jesus] néidiisáago, áko t'ááłá'í nootínígo nihibąąhági át'éii áts'ádahidot'aahgo ánihidoolíiłgo yee nihik'ijidlíi dooleeł.
