44:6:001:1	Hastóí tsosts'id yilt'éego nídii'nil
44:6:001:0	Áko íídą́ą́' yoołkáłígíí biyi' ídahooł'aahii lą'í yileełgo, Jew dine'é danilíinii Gríik bizaad yee yádaałti'ii saad dahasłį́į'go Hííbrew dine'é yaa nídaast'įįd, háálá bitahdóó asdzání bąąh ádahasdįįdígíí t'áá ákwíí jį́ bitaa nída'a'nihii doo baa ádahayą́ą da hazlį́į́'. 
44:6:002:0	Ákohgo naakits'áadahígíí éí ídahooł'aahii t'áá át'é áłah ádayiilaago ádeidííniid, Ch'iyáán nidei'niih doo biniyé Diyin God bizaad nahjį' nidadidiit'áłígíí doo bohónéedzą́ą da. 
44:6:003:0	Éí bąą, nihik'isóó, hastóí tsosts'id yilt'éego yá'át'éehgo ch'ídabi'dit'áahii, áádóó Níłch'i Diyinii bii' hadadeezbinii índa t'áá íiyisí dahóyáanii nihitahdóó bits'ánóhníiłgo díí naanish bich'į' nidadii'nił. 
44:6:004:0	Nidi nihí t'éiyá t'áadoo hodiniitłóhí sodizin índa Diyin God bizaad bee nida'niitinígíí doo bik'i didiikah da. 
44:6:005:0	Éí ha'oodzí'ígíí diné áłah silį́'ígíí t'áá ałtso bił yá'ádaat'ééh, áko Stephen éí diné bi'oodlą' bidziilii índa Níłch'i Diyinii bii' hadeezbinii nídeidiiłtį́, áádóó Philip, áádóó Prákorus, áádóó Naikéínor, áádóó Táíman, áádóó Pármiinas nídeidiinil, índa Ántiyakdę́ę́' Nikoléíyas, Jew dine'é binahagha' yidiiyáá nít'é'ígíí ałdó' nídeidiiłtį́. 
44:6:006:0	Díí daal'aadii yidááhdóó yił nidaaskai, áko éí sodadilzingo yik'i dah dahideesnii'. 
44:6:002:1	Stephen bi'diiltsood
44:6:007:0	Áko Diyin God bizaad k'ee'ąą dínéesą́, áádóó Jerúsalemgi ídahooł'aahii t'áá íiyisí k'ee'ąą deeshzhiizh índa nááda'iiłniihii t'óó ahayóí na'nitin woodláanii yik'eh dahół'íinii daazlį́į́'. 
44:6:008:0	Áádóó Stephen, oodlą' bee aa hodzódlí índa adziil bee bik'ihodzisdli'go, bik'ee t'óó ił ahayóigo ádahooníiłii áádóó Diyin God bibee adziilii bee béédahózinii diné bitahgóó yaa naayá. 
44:6:009:0	Nidi diné Béédadeeshchidii yolyéhígíí áłah nádleehdóó ła', áádóó Sairíinii hoolyéédę́ę́' dine'é índa Alezáandriya hoolyéédę́ę́' dine'é, Silíshiya índa Éízha hoolyéédę́ę́' dine'é ałdó' ła', nidahaaskaigo Stephen yił ałghada'dit'áahgo yaa nídiikai. 
44:6:010:0	Nidi bee hódzáanii áádóó Níłch'i Diyinii hahoyiisdzí'ígíí doo yik'eh dadódle' át'ée da. 
44:6:011:0	Áko t'áá nant'inee t'áá ádzaagóó diné hak'i dahodidoo'áałii ła' shódayoost'e', áádóó éí ádaaní, Saad doo adaaníinii éí Mózes índa Diyin God bee bik'ijį' hadziidziihgo dahosidiits'ą́ą́'. 
44:6:012:0	Diné áádóó diné yá aląąjį' naazíinii índa bee haz'áanii yínda'niłtinii yádahóółchįįdgo, hach'į' dah diijée'go dahasił, áádóó diné ándaha'áii bidááhdóó nidahazlóóz, 
44:6:013:0	áádóó t'áá ádzaagóó hak'i dahodidoo'áałii ákwii yił daaskai, éí ádaaní, Díí diné t'áadoo áhodiilzéhí díí hodiyingo haz'ą́ągi índa bee haz'áanii yik'ijį' yáłti', 
44:6:014:0	háálá, Díí Jesus Názarethdóóígíí éí díí hodiyingo haz'ánígíí íidoołdįįł, áádóó Ízrel dine'é bi'é'él'į', Mózes nihaidiní'áanii łahgo át'éego ánéídoodlííł, jiníigo dahosidiits'ą́ą́'. 
44:6:015:0	Áko diné ándaha'áii yił naháaztánígíí t'áá ałtso dahodiniilgęęzhgo, hanii'jį' diyingo naal'a'í binii' nahalin silį́į'go dayiiłtsą́.
