66:16:001:1	Diyin God yee hashké nídzinii łeets'aa' bii' hólóonii
66:16:001:0	Nít'éé' kin bii' sohodizin biyi'dę́ę́' iinéé' ayóó íits'a'go diyingo nidaal'a'í tsosts'idígíí kwííłníigo diséts'ą́ą́', Nihílááh, Diyin God t'óó báhádzidgo bibee até'él'íinii tsosts'idgo łeets'aa' biyi'ígíí nahasdzáán bikáá'góó yadaahkaah. 
66:16:002:0	Áko diyingo naal'a'í átséhígíí dah diiyáago bileets'aa' biyi'ígíí nahasdzáán bikáá'góó yayiiką́, áko diné éí naaldlooshii naayéé' nilíinii bibee í'diidlííd bee bída'diidlidii áádóó t'áá éí be'elyaago yich'į' nidahałáii łóód dííłdzidii áádóó báhádzidii baa níłnii'. 
66:16:003:0	Diyingo naal'a'í naaki góne'ígíí bileets'aa' biyi'ígíí tónteel biyi'jį' yayiiką́, áko diné daaztsáanii bidił nahalin silį́į'go tónteel biyi'di dahináanii ałtso daneezná. 
66:16:004:0	Diyingo naal'a'í táá' góne'ígíí bileets'aa' biyi'ígíí tooh danílíinii áádóó tó hadaazlíinii biyi'jį' yayiiką́, áko dił nídaasdlį́į́'. 
66:16:005:0	Áádóó diyingo naal'a'í tó bee bóhólnííh nilíinii kóníigo diséts'ą́ą́', Diyin nílíinii, honílóonii índa hool'áádę́ę́' honílóonii, ts'ídá t'áá ákogi ánít'éego díí bee ánihwiyí'aah. 
66:16:006:0	Éí Diyin God bidiyį́į́' índa Diyin God yá dahalne'ii yę́ę dabidił bąąh hadaazlį́įgo ádajile'go dazníłtseed, áko dił dazhdoodlį́į́ł biniyé haa dííní'ą́. Háálá éí bíká ádajíít'įįd! 
66:16:007:0	Áádóó bikáá' náá'iiniihí biyi'dę́ę́' kóníigo diséts'ą́ą́', Bóhólníihii Diyin God Aláahgo Ayóó'ánóodziilii, t'áá aaníígóó índa ts'ídá t'áá ákogi át'éego bee ánihwiyí'aah! 
66:16:008:0	Diyingo naal'a'í dį́į́' góne'ígíí bileets'aa' biyi'ígíí jį́honaa'éí bikáa'jį' yayiiką́, áko kǫ' yee diné yizées doogo baa deet'ą́. 
66:16:009:0	Áko t'áá íiyisí honiigaígíí bee diné daach'ilgo Diyin God díí bee ach'į' nidahwiiłnáanii bee hóhólníihii házhi' dayíídzíí', áádóó t'áadoo łahgo át'éego Diyin God yich'į' tsíńdadeezkéezgo yaa dahaznih da. 
66:16:010:0	Diyingo naal'a'í ashdla' góne'ígíí bileets'aa' biyi'ígíí naaldlooshii naayéé' nilíinii bibikáá'dóó nahat'áii bikáa'jį' yayiiką́, áko bee bóhólníihgo bił haz'ą́ągi bił chahóółhéél. Diné t'áá íiyisí bił dahoneezgaigo bitsoo' dei'aał, 
66:16:011:0	áádóó bił dahoneezgaígíí áádóó dabilódígíí biniinaa Diyin God yá'ąąshdi hólóonii dayíídzíí', índa yaa nidaaskaii t'áadoo łahgo át'éego tsíńdadeezkéezgo Diyin God yich'į' ninákai da. 
66:16:012:0	Diyingo naal'a'í hastą́ą́h góne'ígíí bileets'aa' biyi'ígíí Yufréítiiz wolyéego tooh ayóó át'é nílínígíí biyi'jį' yayiiką́, áko ha'a'aahdę́ę́' aláahgo naat'áanii danilíinii biba' atiin hasht'ehodoolníłígíí biniyé tooh nílį́į́ nít'é'ígi náhooltsei. 
66:16:013:0	Nít'éé' na'ashǫ́'iitsoh bizéé'dę́ę́' áádóó naaldlooshii naayéé' nilíinii bizéé'dę́ę́' índa t'óó áhodil'į́įgo halne'ii bizéé'dę́ę́' níłch'i danchxǫ́'ígíí táa'go ch'ał nahalingo hadahazle'go yiiłtsą́. 
66:16:014:0	Éidí níłch'i bida'iiníziinii álílee k'ehgo bee éédahózinii ádayoolíiłii ádaat'é. Nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó aláahgo naat'áanii danilíinii éí Diyin God Aláahgo Ayóó'ábóodziilii ayóó át'éego bik'eh ha'doo'áałdi ałk'i iidoojahgo áłah ádahodoolííł biniyé yaa hakááh. 
66:16:015:0	Jó'akon, ani'įįhiigi át'éego nishááh! Doo ałhoshii áádóó bi'éé' yaa áhályáanii éí bik'ihojidlí, áko doo t'áá łichí'ígo naagháa da índa doo t'óó baa yáhodoosįįł da. 
66:16:016:0	Áko Hííbrew bizaad k'ehjí Armagédan hoolyéegi áłah ádahoolaa. 
66:16:017:0	Diyingo naal'a'í tsosts'id góne'ígíí bileets'aa' biyi'ígíí níłch'i bił ahiidziihígíí bitahgóó yayiiką́, áko kin bii' sohodizin bii' bikáá'dóó nahat'áii bits'ą́ą́dóó iinéé' ayóó íits'a'go, K'ad ałtso ádzaa! níigo haadzíí'. 
66:16:018:0	Áko atsiniltł'ish anídahata' nít'éé', áádóó ayóó íits'a'go dahodiists'ą́ą́', áádóó da'di'ní índa ayóó át'éego ni' nahaasnáá'. Nahasdzáán bikáa'gi diné hazlį́į́'dóó wóshdę́ę́' t'ah doo ákóhánéeh da nít'éé'. Ayóó át'éego ni' nahaasnáá'. 
