10:8:001:1	David bee bóhólníihgo bił haz'áanii hótsaago áyiilaa
10:8:001:0	Áádóó díí bik'ijį' David éí Filístiya dine'é yik'eh deesdlį́į'go yee ádíhoos'níí' índa David éí Míítheg-ámah hoolyéego Filístiya dine'é bikin haal'áhígíí yighaideet'ą́ .
10:8:002:0	Áádóó Mó'ab dine'é yik'eh deesdlį́į'go tł'óół yee yí'nééł'ąądgo ni'góó yineeshjéé' , áko naaki hadiit'i'ígíí neistseed ; t'ááłá'í hadiit'i'ígíí ánéísįįdgo t'áá dahináago áyiilaa . Áádóó Mó'ab dine'é éí David yá nidaal'a'í daazlį́į́' , áko yich'į' nida'iilé .
10:8:003:0	Kót'éego David éí Rííhob biye' Hadadíízer bik'eh jideesdlį́į́' ; éí Zóbah kéyahgi aláahgo naat'áanii nilį́į́ nít'éé' ; hasiláo bił joonéełgo Yufréítiiz tooh nílíníjį' chánahgo bee ádíhwííníshníih doo jinízin .
10:8:004:0	Áko David éí Hadadíízer bitsindaabąąs bijáád naakiígíí t'ááłáhídi mííl áádóó siláo łį́į́' yee nidaabaahígíí tsosts'idi neeznádiin índa siláo t'áá ni' nidaanéhígíí naadiindi mííl yisná , áádóó łį́į́' éí tsindaabąąs bijáád naakiígíí nideiłbąąsígíí t'áá át'é bitsáts'id jiizhgizh , nidi łį́į́' neeznádiingo oołbąs bíighahgo áá jísįįd .
10:8:005:0	Áádóó Damáskas kin haal'áádóó Síriya dine'é éí Zóbah kéyahgi aláahgo naat'áanii Hadadíízer yíká iijeeh yiniyé yinéełgo David éí Síriya dine'é bisiláo naadiin naakidi mííl yinéłígíí neistseed .
10:8:006:0	Áko Síriya kéyah hahoodzogi Damáskas kin haal'áágóó David éí hasiláo hada'ídées'į́į'ii nijiiznil áádóó Síriya dine'é éí David yá nidaal'a'í daazlį́į'go yich'į' nida'iilé . Áádóó Bóhólníihii éí David t'áá hizhdighááhgóó ak'eh hizhdidleehgo áhósin .
10:8:007:0	Áádóó David éí óola naagé bine' na'adzi'ii éí Hadadíízer bá nidaal'a'í ałtso íísdįįdígíí yílák'ee hayiiznil , áádóó Jerúsalemgóó yiníjaa' .
10:8:008:0	Bíítah hoolyéego índa Biiróthai hoolyéego Hadadíízer bikin haal'áá nít'é'édę́ę́' aláahgo naat'áanii David éí béésh łitsoii t'óó ahayóí néiníjaa' .
10:8:009:0	Héímathdóó aláahgo naat'áanii Tówii wolyéii éí Hadadíízer bisiláo dah deínéhígíí ałtso David áhásdįįdgo yaa hodiizts'ą́ą́' .
10:8:010:0	Ákohgo Tówii haye' Jóram dashdiił'a' , áko aláahgo naat'áanii David k'é yididooniił áádóó nizhónígi íinidzaa yididooniił jinízin , háálá David éí Hadadíízer yił ana'ahishchį́įgo yik'eh deesdlį́į́' . Jó , Hadadíízer éí Tówii yił anaa' ahil'į́į́ nít'éé' . Jóram éí béésh łigaii áádóó óola índa béésh łitsoii bee łeets'aa' ádaalyaii yiníjaa' .
10:8:011:0	Áko aláahgo naat'áanii David éí Bóhólníihii yich'į' diyingo niidiní'áanii ał'ąą ana'í yik'eh deesdlį́'ígíí bits'ą́ą́dóó béésh łigaii índa óola t'áá íídą́ą́' diyingo niidiní'ánígíí éí yíjaa' yę́ę yíyiyiiłtsoodgo diyingo niidiní'ą́ .
10:8:012:0	Síriya dine'é , Mo'ab dine'é , Áman dine'é , Filístiya dine'é , Ámalek dine'é índa Rííhob biye' Hadadíízer éí Zóbah kéyahgi aláahgo naat'áanii yik'eh deesdlį́į́' yę́ę bindaalye'é diyingo niidiní'ą́ .
10:8:013:0	Áádóó Áshįįh Bił Honíts'aa' góyaa Síriya dine'é bisiláo bik'eh jideesdlį́'ígíí bee David ho'dójíigo ch'ího'dit'ááh dzizlį́į́' éí tseebííts'áadahdi míilgo diné ádzísdįįd .
10:8:002:1	David bá nidant'áii
10:8:014:0	Íídam kéyahgi siláo hada'ídées'į́į'ii nijiiznil ; t'áá éí Íídam kéyahgi t'áá ałtsogóó siláo hada'ídées'į́į'go ájiilaa , áko Íídamgi kéédahat'íinii t'áá ałtso David yá nidaal'a'í daazlį́į́' . Áádóó Bóhólníihii éí David t'áá hizhdighááhgóó ak'eh hizhdidleehgo áhósin .
10:8:015:0	Nít'éé' David éí Ízrel dine'é t'áá ałtso yinant'á , áko David éí ts'ídá doo haada yit' éégóó áádóó t'áá ákogi át'éego bidine'é t'áá ałtso yá hoo'ááł nít'éé' .
10:8:016:0	Áádóó Zerowáíyah biyáázh Jó'ab éí siláo dah deínéehii yinant'á , áádóó Aháílad biye' Jiiháshafat éí naat'áaniishchíín nilį́į́ nít'éé' .
10:8:017:0	Áádóó Aháítab biye' Zéídak índa Abáíyathar biye' Ahímelek éí náá'iiłniihii nilį́į́ nít'éé' , Siiréíyah éí naaltsoos ííł'íní nilį́į́ nít'éé' .
10:8:018:0	Áádóó Jiihóíyada biye' Biinéíyah éí Kéreth dine'é índa Pííleth dine'é t'áá áłah yee bóhólnííh , áádóó David biye'ké éí agháago bídahólnííh .
