12:10:001:1	Jííhu éí Éíhab ba'áłchíní ałtso íísdįįd
12:10:001:0	Samériya kin haal'áadi Éíhab éí biye'ké tsosts'idiin nít'éé' . Áko Jííhu éí naaltsoos ádayiilaago Samériyagóó bá eejaa' éí Jézriyel kin haal'áádóó naat'áanii danilíinii áádóó hastóí aląąjį' naazíinii índa Éíhab ba'áłchíní yaa ádahalyą́ą́ nít'é'ígíí kwííł ní ,
12:10:002:0	T'áá naaltsoos nídadoołtsoozí bídahwíínółníihii yę́ę biye'ké nihił dahólǫ́ǫgo áádóó tsindaabąąs bijáád naakiígíí índa łį́į́'da , kin haal'á ditą́ągo binaa ahéé'ítł'inígíí áádóó bee na'abaahii nihee dahólǫ́ǫgo ,
12:10:003:0	k'ad bídahwíínółníihii yę́ę biye' ła' bíiyisii áádóó baa dzólníinii éí nídadoołteehgo bizhé'é yę́ę bibikáá'dóó nahat'áii bikáá' dah binołdaah índa bídahwíínółníihii yę́ę ba'áłchíní bá nidaohbaah doo .
12:10:004:0	Nidi t'áá íiyisí nídaasdzíidgo ádaaní , Jó , aláahgo naat'áanii nidilt'éego nidi doo hóneel'ą́ą da , áko nihíshą' hait'éego hódadíníil'ąął ?
12:10:005:0	Aláahgo naat'áanii bikin yaa áhályánígíí áádóó kin haal'áii yaa áhályánígíí áádóó hastóí aląąjį' naazíinii índa Éíhab ba'áłchíní yaa ádahalyánígíí éí Jííhu yich'į' ada'as'a'go ádaaní , Nihí ná naal'a'í daniidlį́įgo bich'į' nihíł'áhígíí t'áá ałtso bida'diilnííł ; doo ła' aláahgo naat'áanii ádadiilníił da ; t'áá ni nił yá'át'éhígi át'éego ánínééh .
12:10:006:0	Áádóó Jííhu éí naaltsoos ánááyiidlaago ání , Shich'ijí danohłį́į́ ládą́ą́' áádóó shik'eh dahonoł'į́įgo Jézriyel kin haal'áagi yiską́ągo kóhoodzaago bídahwíínółníihii yę́ę biye'ké bitsiits'iin deínóhjáahgo shaa doohkah . Íídą́ą́' aláahgo naat'áanii yę́ę biye'ké tsosts'idiin yilt'éego kin haal'áádóó hastóí aląąjį' naazíinii baa ádahalyą́ą́ nít'éé' .
12:10:007:0	Naaltsoos haa náánálwodgo aláahgo naat'áanii yę́ę biye'ké tsosts'idiin yilt'éego dadzisiłgo nidadzistseed áádóó dabitsiits'iinígíí ts'iizis biih dadziiznilgo Jézriyelgóó aheeshjaa' .
12:10:008:0	Naal'a'í ła' Jííhu yaa níyáago yił hoolne'go ání , Aláahgo naat'áanii yę́ę biye'kéhę́ę dabitsiits'iin deizhjaa' lá . Áko ííłní , Hoos'įįdjį' yah a'atiingi naakigo ał'ąą ałk'i yanáa'áago ádaohłééh .
12:10:009:0	Nít'éé' hoos'įįdgo áajį' ch'íníyáago yiizį'go diné t'áá ałtso yich'į' haadzíí' , Doo nihada'át'e'í da ; jó , shinanit'a'í bik'ijį' sélį́į'go séłhį́ , nidi háísh díí t'áá ałtso neistseed ?
12:10:010:0	K'ad díí nihił béédahózingo Bóhólníihii yee haadzí'ígíí éí Éíhab ba'áłchíní náás ahoolchíiłii bídéét'i'go Bóhólníihii yá naal'a'í Iiláíjah haadzíi'go ánínígíí bik'ehgo doo ła' ch'ééh ádool'įįł da .
