12:9:001:1	Jííhu éí Ízrel dine'é aláahgo yinanit'a'í dooleełgo bi'doolzį́į́'
12:9:001:0	Nít'éé' Diyin God yá halne'ii Iiláísha éí Diyin God yá dahalne'ii bídahooł'aahii ła' hágo yidííniidgo ííłní , Ni'éé' nitsiist'ah náníyishgo díí tóshjeeh yázhí bee ak'ah yí'áałgo Réímath-gíliyadgóó dínááh ,
12:9:002:0	áko áadi yíníyáago Nímshai binálí Jiiháshafat biye' Jííhu hádidíí'įįł , áádóó yah adíínáałgo bik'isóó bitahdóó bił nídidíít'ashgo ná'áne'é góne' bił yah adíí'ash ,
12:9:003:0	áádóó tóshjeeh yázhí bee ak'ah yíní'ánígíí hadíí'áałgo bitsiit'áagi yeidííził , áko ábididííniił , Bóhólníihii kóní , Ízrel dine'é aláahgo binanit'a'í dííleeł biniyé ak'ah nik'i yaaziidgo ni'doolzį́į́' . Áko dáádílkał ąą didíítį́įłgo t'áadoo na'ahodílziidí dah didíílwoł .
12:9:004:0	Áko dinééh t'áá éí Diyin God yá halne'ii nilíinii Réímath-gíliyadgóó ííyá .
12:9:005:0	Áádóó áadi jiníyáago siláo dah deínéehii binanit'a'í danilíinii naháaztą́ ; áádóó ání , Siláo binanit'a'í nílíinii , hane' naa ní'ą́ . Jííhu ání , Háí lá ábidiní ? Áko ábijiní , Ni ándishní , siláo binanit'a'í nílíinii .
12:9:006:0	Áádóó nízhdii'na'go kin góne' bił yah ajíí'áazhgo éí dinééh ak'ah bitsiit'áagi yadziiziid , áko ábijiní , Bóhólníihii Ízrel biDiyin God kóní , Bóhólníihii bidine'é Ízrel dine'é aláahgo binanit'a'í dííleeł biniyé ak'ah nik'i yaaziidgo ni'doolzį́į́' .
12:9:007:0	Áko asdzání Jézebel éí shá nidaal'a'í áádóó shá dahalne'ii neistseedgo bidił dadeezna'ígíí t'áá ałtso bá k'éédideeshnííł biniyé ninanit'a'í Éíhab bik'éí danilíinii t'áá ałtso nidííłtsxił .
12:9:008:0	Jó , Éíhab bik'éí náás da'ahílchíihii t'áá ałtso ádoodįįł ; éí diné danilínígíí naalte' danilíinii índa doo naalte' danilíinii t'áá ałtso Ízrel kéyahgi dahojílónígíí áhodeeshdįįł :
12:9:009:0	Nííbat biye' Jerobówam náás da'ahílchíihii áádóó Aháíjah biye' Béíyasha náás da'ahílchíihii ádaasdįįdígi át'éego Éíhab bik'éí náás da'ahílchíihii ałtso áhodeeshdįįł .
12:9:010:0	Jézriyel kéyahdi Jézebel éí łééchąą'í dabidoolghałgo doo ła' yóó'ahodoolíił da . Áko ąązhdinítą́ągo dashdiilwod .
