14:28:001:1	Éíhaz nant'áá nít'éé'
14:28:001:0	Éíhaz naadiin binááhaigo aláahgo nant'á silį́į'go hastą́'áadah nááhaijį' Jerúsalemgi nant'áá nít'éé' , nidi t'áadoo t'áá ákogi ájít'į́įgo Bóhólníihii binááł jideeyáa da ; hazhé'é David áát'įįdígi t'áadoo ádziidzaa da .
14:28:002:0	Nidi Ízrel dine'é aláahgo binanit'a'í nídaadleełii ádáát'įįdii bik'ehgo joogááł , áádóó ałdó' doolyį́į'go Béíyalim bida'alyaago ádajiilaa .
14:28:003:0	Náá'áłdó' Hínam biye' bihoníts'aa'gi tsin bijeeh dilidgo łikání halchinii nááyiiłniih , áko Bóhólníihii éí Ízrel dine'é bits'ąą ał'ąą dine'é ch'íiniiskaadii bidoo yíldingóó bibee é'él'į' bik'ehgo ha'áłchíní nidi jidiłidgo náádziisnii' .
14:28:004:0	Áádóó ninádahał aah doo biniyé wódah nahaz'ą́ągo ádaalyaaígóó áádóó dah daask'idgóó índa tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó didlidgo nááhániihii nááyiiłniih nít'éé' índa tsin bijeeh dilidgo łikání halchinii nááhániihii dazhdiłid nít'éé' .
14:28:005:0	Éí bąą haDiyin God Bóhólníihii éí Síriya dine'é aláahgo binanit'a'í yaa hodiní'ą́ągo hak'eh hodeesdlį́į́' áádóó Júdah dine'é t'óó ahayóí yisnááh ádayiilaago Damáskas kin haal'áágóó adayiizh'eezh . Hó éí Ízrel dine'é aláahgo binanit'a'í ałdó' yaa dahodeez'ą́ ; éí Júdah dine'é t'áá íiyisí t'óó ahayóí neistseed .
14:28:006:0	Áko Remaláíyah biye' Pííkah éí Júdah dine'é dahayóii t'áá ła'óo jį́ neeznádiindóó ba'aan naadiindi mííl neistseed , háálá dahazhé'é yę́ę biDiyin God Bóhólníihii yóó'adazdeez'ą́ .
14:28:007:0	Áko Íífreiyim dine'é Zíkrai éí diné ayóó át'éé léi' nilį́įgo aláahgo naat'áanii Éíhaz biye' Méíyasíyah áádóó aláahgo naat'áanii bighan bee bóhólníhígíí Ázrikam índa aláahgo naat'áanii t'áá yikéé' góne' sizínígíí Elkéínah yił neistseed .
14:28:008:0	Áádóó Ízrel dine'é dabik'isóó Júdah dine'é naakidi neeznádiindi mííl deisná ; éí asdzánída , dabiye'da , dabitsi'da áádóó ałdó' naadeeł ádaat'éii yighadayiis'nilgo Samériya kéyahgóó adayiizyį́ .
14:28:009:0	Nidi Bóhólníihii yá halne'ii léi' áadi naagháá lá ; éí Óbed wolyéego Samériya kin haal'áajį' ooné łígíí yidááh níyáago áyidííniid , Jó , danihizhé'é yę́ę biDiyin God Bóhólníihii éí Júdah dine'é yich'į' báhóóchįįdgo biniinaa nihílák'ehodíí'ą́ , nidi t'óó báhádzidgo nihá dahazhchįįdgo nidasoołtseedígíí yá'ąąsh góde ahosoolts'ą́ą́' .
14:28:010:0	Áko k'ad , Júdah dine'é índa Jerúsalem kin haal'áagi kéédahat'íinii , diné áádóó asdzánída nihinaalte' danilį́į dooleeł danohsingo daołtsood . Áko nihí nidi nihiDiyin God Bóhólníihii bich'į' ádił nida'ayoosíi'go át'é .
14:28:011:0	Éí bąą dashíínółts'ą́ą́' , díí danihik'is yisnááh ádaołaaígíí béédadohchííd , háálá Bóhólníihii yee hashké nídzinii yee atínihilééh .
14:28:012:0	Ákohgo Íífreiyim dine'é aląąjį' naazíinii ła' Johéínan biye' Azaráíyah áádóó Miishíliimath biye' Berakáíyah áádóó Shálam biye' Jiihizkáíyah índa Hádlai biye' Améísa éí anaa'dę́ę́' siláo náá'néłígíí yidááh neheekaigo
14:28:013:0	ádeidííniid , Díí dasoołnánígíí doo kwe'é nidahidooh'ish da , háálá t'áá íídą́ą́' Bóhólníihii bich'į' nida'iyeelzíí' , áko baa nídoohkaígíí t'óó yówehda bee ádił nááda'diilzih áádóó doo ákǫ́ǫ́ ánáádadii'níił da ; jó , ayóó át'éego doo ákǫ́ǫ́ ádeit'įįd da , áko Ízrel dine'é bik'ijį' t'áá íiyisí atí'él'į́ bee hashké hwiidínóodzįįł .
14:28:014:0	Áko siláo nidaabaahígíí éí diné índa naadeełí deisnáanii naat'áanii danilíinii áádóó dine'é t'áá ałtso yá t'áá ákǫ́ǫ́ nideiznil .
14:28:015:0	Áádóó diné dabidééji'ígíí dah diikaigo yisnááh ádabi'diilyaaígíí éí éé' yisnááh ádaalyaa yę́ę bi'éé' ádaadinígíí t'áá ałtso yee hadeidiilaa áádóó ké yaa dayiiznilgo ch'iyáán áádóó tó yił yada'astsood índa ak'ah yee deistłahgo dayíísį́į'go doo dabidziilígíí t'áá ałtso télii yikáá' dah deidineesbingo éí páam naazkaadii kin haal'á Jériko hoolyéégóó dabik'isóó yich'į' yił ná'ná , ákohgo bí éí Samériya kéyahgóó anáákai .
14:28:016:0	Íídą́ą́' aláahgo naat'áanii Éíhaz éí Asíriya dine'é aláahgo binanit'a'í , Shíká adíílwoł , yiłníigo yich'į' i'ííł'a' .
14:28:017:0	Háálá Íídam dine'é nááná'náago Júdah dine'é atídayiilaago deisnáago adayiizh'eezh .
14:28:018:0	Filístiya dine'é éí ałdó' kéyah ayeídi áádóó Júdah shádi'ááhjígo kin hadaas'áhígíí Beth-shíímesh áádóó Éíjalan áádóó Gédiirath áádóó Sóko áádóó Tímnah índa Gímzo , éí binaagóó bikin dah naazhjaa'ígíí ałdó' t'áá bił yaatįįh yikai , áko t'áá ákwii kéédahat'į́ .
14:28:019:0	Áko Bóhólníihii éí Júdah dine'é a'ohgo áyiilaa , háálá Ízrel dine'é aláahgo binanit'a'í Éíhaz éí Júdah dine'é t'ą́ą́' áda'dólzingo ádzósin índa Bóhólníihii bibee haz'áanii bich' į' ni'jiisíí' .
14:28:020:0	Áko Asíriya dine'é aláahgo binanit'a'í Tíglath-pilíízer haa níyáago hach'į' hodiisnáá' , nidi t'áadoo hadziilgo áhoolaa da .
14:28:021:0	Jó , Éíhaz éí Bóhólníihii bikin bii' sohodizindę́ę́' áádóó aláahgo naat'áanii bighandę́ę́' índa naat'áanii danilíinii dabighandę́ę́' da'ílíinii ch'íyiizhjaa'go Asíriya dine'é aláahgo binanit'a'í aa yílyáii át'éego baazhnínil , nidi éí t'áadoo háká eelwod da .
14:28:022:0	Áádóó t'áá íiyisí yéego hach'į' nahwii'náago t'óó yówehda Bóhólníihii bich'į' doo ákǫ́ǫ́ ájíít'įįd da ; díí aláahgo naat'áanii Éíhaz wolyéii át'į́ ni .
14:28:023:0	Damáskas dine'é hak'eh dadeesdlį́'ígíí bidiyin dabidi'níinii bich'į' nínáájiiłnihgo ájíní , Síriya dine'é aláahgo binanit'a'í bidiyin bíká aalwodgo , éí bąą bich'į' náádi'yeeshnihgo shíká adoojah . Nidi hó áádóó Ízrel dine' é t'áá ałtso t'óó bee ádazhdoolchxǫ' .
14:28:024:0	Áádóó Éíhaz éí Bóhólníihii bikin bii' sohodizin góne' ásaa' áłah áyiilaago áłts'íísígo nidayiishgizh áádóó Bóhólníihii bikin bii' sohodizin bidáádílkał da'deideeskaal índa Jerúsalem kin haal'áagi t'áá bee nídaastł'ahgóó bikáá' náá'iiniihí ádá ádayiilaa .
