18:4:001:1	Élifaz éí Job yideezteh
18:4:001:0	Áko Tííman kin haal'áádóó Élifaz wolyéii ánááhodoo'niidgo ání ,
18:4:002:0	Eii nił nabik'íyádeiilti'goósh bik'ee nídidííltał ? Nidi háísh t'áadoo hadoodzihgóó yíneel'ą́ ?
18:4:003:0	Jó , diné lą'í nanínítą́ą'go dabidziilgo áńdeindlaa .
18:4:004:0	Diné ni'iisíihii nizaad yee doo ni'iisíih da nít'éé' ; diné bitah doo dahółdzilii dabidziilgo ádeinilaa .
18:4:005:0	Nidi k'ad , ninaa hoolzhiizhgo doo ha'íínílníi da ; yáadi shį́į́ nihodiiłt'i'go t'óó nide áhoot'é .
18:4:006:0	Da' doósh Diyin God díínísinígíí bee baa dzíínílíi da ? Da' doósh t'áá ákóne' ánít'éhígíí bee nił chohoo'į́į da ?
18:4:007:0	K'ad díí béénílniih , nánooshkąąh : háí diné shį́įshą' doo ádihodiilt'i'góó hool'áágóó ti'hoonííh , índa háadishą' diné doo bina'adlo'góó yá'át'éehgo yigáałii ábi'disdįįd ?
18:4:008:0	T'áá yiiłtsánígi át'éego doo ákwii é'ét'éii yił nidahwiiłdlaadiiínda doo yá'áshóonii k'ideidiléii t'áá éí nídeiyizh .
18:4:009:0	Diyin God hwiiyołgo bee ájoodįįł , índa hach'į' báháchį'ígíí biyol bee ahizhdik'ą́ą́h .
18:4:010:0	Diné doo yá'ádaashóonii náshdóítsoh bitsiijį' ditł'ooii bii' nahodi'ni'ii nahalingoáádóó náshdóítsoh bitsiijį' ditł'ooii báhádzidígíí áníinii índa dabiyázhí dabiwoo' daheestǫ'go dadiiłheel .
18:4:011:0	Náshdóítsoh bitsiijį' ditł'ooii ch'ééh naashzhee'go t'óó dichin bidiyoołhééłáádóó náshdóítsa'ii bitsiijį' ditł'ooii biyázhí t'óó taidoolwoł .
18:4:012:0	Hane' ła' t'áá nahont'inee bee shił hóone' ; bee shijeeh anoot'ą́ągo diséts'ą́ą́' .
18:4:013:0	Diné t'áá íiyisí da'iiłhaazhgotł'ée'go shił ádzaaígíí baa nitséskeesgo
18:4:014:0	shił yéé' hazlį́į́' áádóó dah náshtǫǫhgoshitah hodiisnáa'go shitah hoditłid .
18:4:015:0	Ha'át'íí shį́į́ léi' bídíníshyęshgo shitáshtł'oh nídiijéé' .
18:4:016:0	Éí ha'át'íí shį́į́ t'áá ákǫ́ǫ́ yiizį' , nidi ga' ch'ééh bééhonisįįh ; t'áadoo bahat'aadí kǫ́ǫ́ shidááhgóó sizį́ , nidi ga' doo íits'a'í da , áko ła' hadzoodzíi'go ájíní ,
18:4:017:0	Diné dadootsaałiísh Diyin God yiláahgo t'áá ákogi át'ée doo ? Diné ábiilaaísh ábiilaaígíí yiláahgo ba'át'e' ádingo hináa doo ?
18:4:018:0	T'áá bá nidaal'a'í nidi doo yaa dzólíi da ; bidiyingo nidaal'a'í nidi nida'iisíihgo yik'éhá'ááh .
18:4:019:0	Hashtł'ish bee ádabi'diilyaii yee dahináanii éí łeezh bits'ą́ą́dóó ályaiich'osh ałchozhiigi át'éego łeeh béhégíiłii t'ah yówehgo doo yaa dzólíi da .
18:4:020:0	Abínídóó níléí e'e'áahjį' áho'dooldįįł ; ła'da doo haa ákonízingóó hool'áágóó ájoodįįł .
18:4:021:0	Bee dabidziilii nahjį' kódaal'įįhgot'ah hódzą́ t'áágééd daniné .
