18:40:001:0	Náá'áłdó' Bóhólníihii éí Job áyidííniidgo ání ,
18:40:002:0	Diné adiláashii éísh Aláahgo Ayóó'ábóodziilii yił ałgha'dit'áah doo ? Ákót'éego Diyin God bił ííshjání áhodeeshłííł , jinízinii háni'dii t'áá hó saad nináázhdoot'ááł .
18:40:003:0	Áko nít'éé' Job éí Bóhólníihii áyidííniidgo ání ,
18:40:004:0	Jó , t'áadoo nishłíní da . Ha'át'íísh bee nich'į' hadeesdzih ? Shizéé' t'óó dadideeshnih .
18:40:001:1	Diyin God bibee adziilii yit'íní ályaa
18:40:005:0	T'ááłáhídi haasdzíí' , nidi kodóó éí doo hanáádeesdzih da ; naakidi lá hadzódziihígi át'ée nidi , t'óó k'adí dooleeł .
18:40:006:0	Ákohgo nááts'ó'oołdísii biyi'dę́ę́' Bóhólníihii éí Job yich'į' haadzíi'go ání ,
18:40:007:0	Diné nininísáanii nahalingo k'ad áká nílzisnanídídéeshkiłgo shił hodíílnih .
18:40:008:0	Doo ákǫ́ǫ́ ájíít'įįd da , diníigoósh shá hadíídzih ? T'áá ákogi ánít'éego ádá hahídziih dooísh biniyé shaa nídíít'įįł ?
18:40:009:0	Diyin God bigaan nahalingoósh nigaan hólǫ́ ? Adi'ní nahalingo biinéé' diits'a'ígi át'éegoósh yáníłti' ?
18:40:010:0	K'ad ayóó é'ét'éii índa ił ídlį́ bee hadínééh ; a'oh adidilyééh índa ayóó ánóolninii bee hadínééh .
18:40:011:0	Ayóó át'éego náháchį'ígíí bidíchííd ; t'ááłá'í nítínígo ádaa daha'niihii níníł'į́ , áádóó a'ohgo ádanile' .
18:40:012:0	T'ááł á'í nítínígo ádaa daha'niihii níníł'į́įgo a'ohgo át'é ádanile' , áádóó diné doo yá'ádaashóonii bił nahaz'ą́ą́góó t'óó bik'i nidíínaał .
18:40:013:0	T'áá ałtso t'áá łahjį' łeezh dibahí bik'iizíidgo nídíł'įįh ; łeeyi'di binii' bik'ída'deesdizgo bik'i hoogééd .
18:40:014:0	Áko índída , Nigaan nish'náájí bee yisdá'ádííníltį́ bííníghah , nidideeshniił .
18:40:015:0	K'ad ániishłaaígi át'éego Bihíímath wolyéii íishłaaígíí níníł'į́ ; éí béégashii nahalingo ch'il yiłchozh .
18:40:016:0	Shoo , biníí' gónaa yee bitsxe' , bibid gónaa bidoh dah naazhóódígíí yee bidziil .
18:40:017:0	Gad nahalingo bitsee' yiwod , bitsosk'id gónaa bits'id ahíishghahgo neelzhee' .
18:40:018:0	Béésh łitsoii níyizgo biih hoodzánígíí nidahalingo bits'in át'éhígíí dabidziil ; bijáád éí béésh dantł'izii daníyizígíí nidahalin .
18:40:019:0	Díí lą́ą nihokáa'gi agháago Diyin God ábiilaa , áko bíni'dii ábiilaii diltłish bich'į' yiditsééh .
18:40:020:0	Jó , dziłdi ch'iyáán bá náhoodleeł ; áadi naaldlooshii nidaajeehii t'áá ałtso nidaané .
18:40:021:0	Tábąąhgi t'iis bichaha'ohgóóáádóó lók'aa' deíl'áágóó nahalghalgo na'ádinil'in .
18:40:022:0	T'iis bichaha'ohjį' iigháahgo t'iis bit'ąą' bich'ą́ą́h yíl'áa łeh . Tooh nílį́įgi tábąąhgóó k'ai' yíl'áago ákóne' iigháahgo k'ai' bich'ą́ą́h yíl'áa łeh .
18:40:023:0	Jó , tooh nílínígíí wó'ądaanah nidi , doo bik'ee bił yée' da ; azhą́ bizée'jį' Jórdan tooh bínízdeełhałgo nílį́į nidi , doo ya'ólíi da .
18:40:024:0	Ha'ídées'į́į'go ła'da daats'í jidooloh . Bíníí' jidooshahgo bee nízdidoolóós .
