19:148:001:1	Ádabi'diilyaii t'áá ałtso Bóhólníihii yaa dahaniih doo bee biyahoniidlįįh
19:148:001:0	Bóhólníihii baa dahohniih ! Yá'ąąshiidę́ę́' Bóhólníihii baa dahohniih ! Aghanídahaz'áágóó baa dahohniih !
19:148:002:0	Bidiyingo naal'a'í danohłíinii t'áá ánółtso , baa dahohniih ; yá'ąąshdi hinooláii t'áá ánółtso , baa dahohniih !
19:148:003:0	Jį́honaa'éí índa ooljéé' , sǫ' nihídazdilidii t'áá ánółtso , baa dahohniih !
19:148:004:0	Yá'ąąsh aghá'ánízáadii áádóó biláahdi tó honohłóonii , Bóhólníihii baa hohniih !
19:148:005:0	Bíni'dii Bóhólníihii bízhi' yaa dahaniih ! Háálá haadzíi'go ha'át'íhída t'áá ádaadindę́ę́' dahazlį́į́' .
19:148:006:0	Áádóó hool'áádę́ę́' ahóyéel'áágóó hasht'eyiilaa ; bee haz'áanii ts'ídá doo bił yóó'ahodoogáałii áyiilaa .
19:148:007:0	Nahasdzáán bikáá'dóó Bóhólníihii baa dahohniih ; tónteel biyi'góó ayóó ádaníldíilgo nidaaldeehii índa tó daditáanii t'áá ánółtso , baa dahohniih .
19:148:008:0	Kǫ' áádóó níló , áádóó yas índa siil , áádóó níyol náádǫ́ǫsii danohłíinii , Bóhólníihii bizaad bohoolníiłii baa dahohniih !
19:148:009:0	Dził naaznilii índa deílk'idii t'áá ánółtso , áádóó tsin nihineest'ą' nihąąh nídahoodleełii índa gad t'áá ánółtso ,
19:148:010:0	nidaaldlooshii índa alį́į́' t'áá ánółtso , nidaah'na'ii índa tsídii nidaaht'a'ii t'áá ánółtso Bóhólníihii baa dahohniih !
19:148:011:0	Nahasdzáán bikáá'góó aláahgo naat'áanii danohłíinii índa dadine'é t'áá ánółtso , naat'áanii danohłíinii índa nahasdzáán bikáá'góó ánihwii'aahii danohłíinii t'áá ánółtso ,
19:148:012:0	tsíłkéí índa ch'ikéí danohłíinii t'áá ánółtso , diné hadasoohtihii índa áłchíní nohłíinii , Bóhólníihii baa dahohniih !
19:148:013:0	Bíni'dii Bóhólníihii bízhi' yaa dahaniih , háálá bí bízhi' t'éiyá ts'ídá aláahgo át'éii át'é ; nahasdzáán índa yádiłhił biláahgo Bóhólníihii ayóó át'éii nilį́ .
19:148:014:0	Bidine'é dabidziilgo áyiilaa ; bidiyį́į́' danilíinii t'áá ałtso baa dahaniih ; éí Bóhólníihii yit'ááhgóó naaldeehii Ízrel dine'é danilíinii baa dahaniihgo áyiilaa . Bóhólníihii baa dahohniih !
