19:31:001:1	Diyin God baa hodzódlíigo ha'iidziihii
19:31:001:0	Bóhólníihii nílíinii , niniit'a náníshchééh ; ts'ídá t'ááká t' óó baa yáhásinígi áshi'dólnééh yíila' ; t'áá ákogi ánít'éhígíí binahjį' yisdáshíłteeh !
19:31:002:0	Shich'į' dah díníit'aahgo shidiits'į́į́h , tsį́įłgo yisdáshíłteeh ! Tsé bine' na'adzi'ii bidziilii shá nílį́į le' , bine' adziihii shá nílį́į le' !
19:31:003:0	Háálá tsé índa bine' na'adzi'ii shá nílį́ ; éí bąą nízhi' binahjį' shíílóós áádóó shá hwííní'į́ ;
19:31:004:0	t'áá nahont'inee shiniyé łoh niit'áanii biyi'dę́ę́' hááshíłteeh , háálá niniit'a hinishchéehii nílį́įgo ni t'éí nee shidziil .
19:31:005:0	Níłch'i shii' sizíinii nílák'e dish'aah ; Bóhólníihii Diyin God t'áá aaníinii nílíinii , shik'éniná'íínídlá .
19:31:006:0	T'áadoo biniyéhígóó eda'alyaii yich'į' nidahałáii jooshłá , nidi Bóhólníihii baa jííníshłí .
19:31:007:0	Aa a'ááh nínízinii baa shił hózhǫ́ áádóó baa shił nihoozhǫǫh doo , háálá bik'ee ti'hoosh'níihii yiniłtsą́ągo shii' sizíinii bich'į' nahwii'náanii nił bééhózin ,
19:31:008:0	áádóó shi'ana'í danilíinii t'áadoo bílák'ee shidííní'ą́ą da ; hóteelgi nishidííníł'eezgo sézį́įgo áshiinilaa .
19:31:009:0	Bóhólníihii nílíinii , shaa jiiníbaah , háálá shich'į' nahwii'ná ; yínííł bik'ee shináá' nídínéesht'áázh ; shii' sizíinii índa shits'íís ałdó' nídínéesdzá .
19:31:010:0	Háálá yínííł bąąh niníyá , áádóó ádił hahasdzoołgo shee nináháhááh ; doo ákwii áát'įįdii biniinaa doo shidziil da yishłeeł , áádóó shits'in deízháásh .
19:31:011:0	Shida'ana'í t'áá ałtso biniinaa t'óó shá nahat'i' ; t'áá aaníí bił kééhasht'íinii agháago ákódashił'į́ , áádóó bił ahéédahoniszinii shéédaaldzid daazlį́į́' ; bitahgóó hidisháahgo dashiiłtséehgo shits'ą́ąjį' hidijeeh .
19:31:012:0	Diné daaztsą́ągo baa hoyoos'nahii nahonishłin ; łeets'aa' sits'ilii nahonishłin .
19:31:013:0	Háálá shinaagóó t'óó hóyé'ígi ádaaníigo t'óó ahayóí ałjeeh nídanilniihgo diits'a' ; shindahagizgo áádóó t'áá nahont'inee shizéé' nideii'áago ahínéikah .
19:31:014:0	Nidi ni , Bóhólníihii nílíinii , naa jiisélíí' , Ni éí shiDiyin God nílį́ , nidishní .
19:31:015:0	T'áá áłahjį' shaa áhólyą́ ; shi'ana'í danilíinii áádóó atídashił'íinii bílák'eedę́ę́' yisdáshíłteeh !
19:31:016:0	Ná naal'a'í nishłį́įgo shaa a'ááh niizįįhgo shik'i di'niłdíín ; aa a'ááh nínízinii bee yisdáshíłteeh !
19:31:017:0	Bóhólníihii nílíinii , doo t'óó shaa yáhásinígi áshidi'doolníił da , háálá nánooshkąąhgo sodeeszin ; bíni' doo yá'ádaashóonii t'óó baa yáhásinígi ádabi'dilnééh ; bíni'dii t'áadoo yee hadaodziihígóó daneeznánígíí bitahgi łeeyi' shijée' le' .
19:31:018:0	Dabiyooch'íidii ádaa daha'niihgo diné t'áá ákogi ádaaníiłii doo bił danilį́į́góó dei'į́įgo nayíyádaałti'ii bíni'dii dadéesxéelgo ánílééh .
19:31:019:0	Diné dandósinii ne'ajooba' bá hasht'e'nííníláii éí diné dabinááł naa dadzólíii bá binishínílnishii dooládó' ayóó ánéelą́ą' da .
19:31:020:0	Diné yee indaha'áii bits'ąą nahont'inee honílǫ́ǫgi nidahoníł'in ; saad bee ak'éhát'áahii bits'ąą hasih haz'ą́ągi nidahoníł'in .
19:31:021:0	Bóhólníihii baa ha'niih le' , háálá kin haal'áii ana'í bináshzhiizhii bii' góne' yee aa a'ááh nízinii ayóó ánóolninígíí shich'į' ííshjání áyiilaa .
19:31:022:0	Háálá ádił náhodishchił yę́ędą́ą́' ádííniid , Nits' ą́ąjį' kóshi'diilyaa . Ákondi , Shíká anilyeed , nidishníigo nániisiskango shidisíníts'ą́ą́' .
19:31:023:0	Bidiyį́į́' danohłíinii , t'áá ánółtso Bóhólníihii ayóó'ádeínóh'ní ! Baa hodzódlíii Bóhólníihii baa áhályą́ , nidi diné ádaa ha'niihgo naagháii éí Bóhólníihii lą'í yee k'ééhodidoodlííł .
19:31:024:0	Chánah danohłį́ , t'áá ánółtso Bóhólníihii bee nihił chodahoo'íinii , nihijéí dabidziilgo ádanihidoolííł .
