19:57:001:1	Até'éł'íinii bits'ąą yisdá'iildééh bíká sohodizin
19:57:001:0	Shaa jiiníbaah , Diyin God nílíinii , shaa jiiníbaah , háálá díí báádahadzidgo ádahooníłígíí ałtso eeldojį' shii' sizíinii t'áá aaníí naa dzólíigo nit'a' biyaagi nehesdzíih doo .
19:57:002:0	Diyin God Aláahgo Ayóó'át'éii nilíinii , Diyin God t'áá ałtsoní shá ła'yoolíiłii néideeshkąął .
19:57:003:0	Shá nahałt'i'go t'áá ashółneehgo shaa nitsíkeesii bits'ąą yisdáshidoołtééł biniyé yá'ąąshdę́ę́' shaa'dool'aał . Síilah . Diyin God yee aa a'ááh nízinii índa bit'áá aaníinii shich'į' ch'íididoo'ááł .
19:57:004:0	Náshdóítsoh bitsiijį' daditł'ooii nidahojílinii hatahgi shii' sizíinii hólǫ́ . Éí bizéé'dę́ę́' kǫ' hadadino' nidahalingo nídadidzihii bitahgi sétį́ . Éí nihokáá' diné danilíinii dabiwoo' tsiidétáán áádóó k'aa' nidahalin . Dabitsoo' éí diltł ish deeníinii nidahalin .
19:57:005:0	Diyin God nílíinii , yá'ąąsh biláahgo ayóó ánít'ée le' ! Bee ayóó ánít'éii nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' biláahgo baa ha'niih le' .
19:57:006:0	Yishááłgóó łoh shiniyé ninádei'ááh . Shii' sizíinii bąąh nááháka' . Shidáahdi shá hadahwiizgeed , nidi t'áá bí yiih náníídee' . Síilah .
19:57:007:0	Shijéí bohoníłdzil , Diyin God nílíinii , shijéí bohoníłdzil . Naa hashniihgo nich'į' hashtaał doo .
19:57:008:0	Shii' sizíinii ch'éénídzííd ! Tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii nohłíinii , ch'éénóhdzííd ! T'óó hoos'įįdą́ą́' ch'éédeesdził .
19:57:009:0	Bóhólníihii nílíinii , diné bitahgóó naa hashniih doo . Ał'ąą dine'é bitahgóó naa hashniihgo nich'į' hashtaał doo .
19:57:010:0	Háálá aa a'ááh nínízinii yá'ąąsh bilááh át'é áádóó nit'áá aaníinii k'os bíneel'ą́ .
19:57:011:0	Diyin God nílíinii , yá'ąąsh biláahgo ayóó ánít'ée le' ! Bee ayóó ánít'éii nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' biláahgo baa ha'niih le' !
