19:78:001:1	Diyin God éí bidine'é doo bada'ahódlíii bich'į' ba'ahódlí
19:78:001:0	Shidine'é danohłíinii , shina'nitinii bee nihich'į' yáshti'go deísółts'ą́ą́' ! Saad bee hahasdziihígíí hazhó'ó deísółts'ą́ą́' !
19:78:002:0	Hane' bee ak'idi'dootį́įłii bee hahideesdzih ; ałk'idą́ą́' bee nida'nitinii doo bééhózin da yę́ę bee hadeesdzih ;
19:78:003:0	danihizhé'é yee nihił dahoolne' áádóó dasidiits'ą́ą'go nihił béédahózin yę́ę bee hadeesdzih .
19:78:004:0	Bada'áłchíní doo bits'ąą dadíníil'į́įł da , nidi Bóhólníihii bee baa ha'niihii áádóó bibee adziilii índa naanish ayóó ádaat'éii yaa naayáhígíí akéédę́ę́' hanínááhinoot'į́įłii bee bił nidahodiilnih .
19:78:005:0	Háálá Jéíkab dine'é bitahgi bee bééhániihii hasht'eyiilaa , áádóó Ízrel dine'é bitahgi bee haz'áanii niinílá . Éí danihizhé'é yę́ę bada'áłchíní bił béédahózingo ádayoolíił doo , yiłníigo yich'į' haadzíí' .
19:78:006:0	Áko hanínáánoot'áanii bił béédahózin doo áádóó áłchíní náádadoochíiłii náádaneeyą́ągo ba'áłchíní éí yee yił nínáádahodoolnih .
19:78:007:0	Áko Diyin God binahjį' bił chodahoo'į́į doo áádóó Diyin God binaanish nilíinii doo yaa deidiyoonah da , nidi bibik'eh ó'oo'níiłii yik'eh dahół'į́į doo .
19:78:008:0	Áádóó ałk'idą́ą́' dahazhé'é ádaat'éé nít'éé' yę́ęgi doo ákódajít'ée da doo ; jó , éí nidaachxǫ' áádóó nidaastee' nít'éé' áádóó éí oochíiłii Diyin God yich'į' doo bijéí hasht'edayósin da nít'éé' índa Diyin God yich'į' bii' naazíinii yee doo bada'ahódlíi da nít'éé' .
19:78:009:0	Íífreiyim dine'é ałtį́į́' yee anaa' dayiichįįhii ałk'iijée'go t'ą́ą́' dah nídiijéé' .
19:78:010:0	Diyin God bibee aha'deet'áanii doo yik'eh dahóół'įįd da , áádóó bibee haz'áanii yik'eh deíkáah dooleełígíí doo deiniizį́į' da .
19:78:011:0	Áát'įįdii áádóó t'óó bik'eda'ayóii bich'į' yit'íní áyiilaii yaa dayooznah .
19:78:012:0	Dabizhé'é yę́ę binááł , Ííjip kéyahdi Zówan hoolyéegi Diyin God t'óó bik'eda'ayóii áyiilaa .
19:78:013:0	Tónteel aháíyííłk'olgo ákóne' tsé'naa ho'níłnii' , áádóó tó ałts'ą́ą́hjí ní'áago áyiilaa .
19:78:014:0	Jį́įgo k'os yee honí'eezh ; tł'ée'go kǫ' bee hool'ingo yee honí'eezh .
19:78:015:0	Honoojíidi tsé deisk'isgo áádę́ę́' tó dazhdoodlį́įłii tónteelgi át'éego t'óó ahayóí haidiní'ą́ .
19:78:016:0	Tsé biyi'dę́ę́' tó dadeezlį́įgo áádóó tooh danílínígi át'éego áyiilaa .
19:78:017:0	Ákondi honoojíidi Aláahgo Ayóó'át'éii t'óó tsé'édinda yich'į' ádił nida'iisíihgo nidaalteeh .
19:78:018:0	Ch'iyáán t'áá íiyisí jóyą́ą́' danízingo dayííkeedígíí yee dabijéí biyi'di Diyin God yídaneeztą́ą́' .
19:78:019:0	Diyin God yidadiilkaalgo hadahaasdzíi'go ádaaní , Honoojíidiísh Diyin God éí ch'iyáán nihá áłdįįłt'éego íidoolíiłgo yíneel'ą́ ?
19:78:020:0	Tsé néidííłhaalgo tó hadzííłhaal , áádóó tó danílį́ daazlį́'ígíí wó'ądaazna' . Da' bááhásh ałdó' a'doołtsołgo yíneel'ą́ , índa bidine'ésh atsį' t'áá ííłdįįdgo yá áyósin doo ?
19:78:021:0	Éí bąą díí Bóhólníihii yidiizts'ą́ą'go t'áá íiyisí báhóóchįįdgo didooljé'ígi át'éego Jéíkab dine'é yich'į' hashké niidzį́į́' áádóó t'óó yówehda Ízrel dine'é yich'į' báhóóchįįd .
19:78:022:0	Háálá Diyin God doo dayoodlą́ą da , índa dziil yee yisdá'iiníiłii doo yaa dadzólíi da nít'éé' .
19:78:023:0	Azhą́ wót'áahdi k'os yich'į' haadzíí' nidi , áádóó yádiłhił bidáádadilkał ąą ádayiilaa nidi , bich'į' ákódajíít'įįd .
19:78:024:0	Bááh mána wolyéii dazhdooyį́į́ł biniyé hak'ijį' nináłtį́įhgo áyiilaa índa yá'ąąshdę́ę́' bááh ha'níłtsood .
19:78:025:0	Diné éí diyingo nidaal'a'í bich'iyą' dayííyą́ą́' . Ch'iyáán t'óó ahayóí hach'į' ííł'į́į́ nít'éé' .
19:78:026:0	Ha'a'aahdę́ę́' wót'áahdi níyolgo ííł'į́į́ nít'éé' , áádóó bidziil yee shádi'ááhdę́ę́' níyolgo áyiilaa .
19:78:027:0	Łeezh łibáhígi át'éego hak'ijį' atsį' ayóó ánéelą́ą́' nayííłtą́ . Tónteel bibąąhgóó séí ánéelą́'ígi át'éego hak'ijį' tsídii nidaat'a'ígíí nayííłtą́ .
19:78:028:0	Nidadziiznánígi dahatahgóó áádóó dahaníbaal binaagóó hadah ahineezdee' .
19:78:029:0	Áádóó da'joolghalgo hwiih dadzizlį́į́' áádóó jóyą́ą́' danízinígíí baazhdiní'ą́ .
19:78:030:0	Nidi t'ah doo hwiih dajileehgóó ch'iyáán t'ahdii hazéé' nidajił'aałgo ,
19:78:031:0	Diyin God hach'į' báhóóchįįdgo , agháago dahóóyisii nahastseed áádóó Ízrel dine'é bitah haasdlá'ígíí neistseed .
19:78:032:0	Azhą́ kóhóót'įįd nidi , t'áá ádił da'ílzííh nít'éé' ; azhą́ t'óó bik'eda'ayóii áyiilaa nidi , t'áadoo dahoosdląąd da .
19:78:033:0	Éí bąą bídayéełkaahii t'áadoo nánídlínígóó áádįįłgo áyiilaa , áádóó bee ninádahaháhígíí bik'eda'íyée'go yił áádįįłgo áyiilaa .
19:78:034:0	Ła' nidzistseed nidi , daadzíi'ii háká daat'į́įgo t'ą́ą́' ninákaigo Diyin God t'áá íiyisí há daat'į́į́ nít'éé' .
19:78:035:0	Diyin God éí tsé bine' na'adzi'ii há nilį́įgo áádóó Diyin God Aláahgo Ayóó'át'éii náádabiisnii'ii yéédaasnii' .
19:78:036:0	Ákót'ée nidi , t'áá bizábąąhídóó t'éí łikango hach'į' yádaałti'go dahoníí'aa' .
19:78:037:0	Dabijéí yee doo hódadínéelnáágóó habee aha'deet'áanii doo ts'ídá yik'eh dahóół'įįd da .
19:78:038:0	Nidi hó baa a'ááh jinízingo doo ákwii ádáát'įįdii bits'ádahizdeez'ą́ áádóó t'áadoo ádzísdįįd da ; háháchį'ígíí t'áá ahą́ą́h t'ą́ą́' kóníjiil'įįh nít'éé' áádóó hashkéznídzinígíí t'ah yówehgo t'áadoo hashké náázniidzį́į' da .
19:78:039:0	Háálá t'óó ats'íís ádaat'é índa níyol iiyołgo doo t'ą́ą́' náyóoł daígi át'éego bééjoolnii' .
19:78:040:0	Dooládó' honoojíidi t'áá ahą́ą́h hach'į' nidaalteeh da nít'éé' áádóó halgaidi háni' nídayiił'aah nít'éé' !
19:78:041:0	Ízrel dine'é yóó'anáhákáahgo biDiyin God nilíinii nayínídantah nít'éé' áádóó Ízrel dine'é biDiyin nilíinii t'áadoo yá dahooł'a' da .
19:78:042:0	Diyin God bigaan yee ana'í yighááhó'nilii t'áadoo béédajoolnii' da .
19:78:043:0	Éí Ííjip kéyahdi bee éédahózinii áyiilaa índa Zówan hoolyéedi t'óó bik'eda'ayóii yaa naayá .
19:78:044:0	Dabitooh diłgo áyiilaa , áko doo dayódlą́ą́' át'ée da nít'éé' .
19:78:045:0	Náá'ákóne' tsé'édǫ́'ii hatah yiníłnii'go hoł dinííyił áádóó ch'ał ałdó' hatahjį' yi'níłnii'go bik'ee ti'dahodzooznii' .
