19:83:001:1	Ízrel dine'é bida'ana'í ádooldįįł biniyé sohodizin
19:83:001:0	Diyin God nílíinii , t'áadoo t'óó ádíínílká'í . Diyin God nílíinii , t'áadoo t'óó dííníłhélí áádóó t'áadoo t'óó áhodíínílzé'é !
19:83:002:0	Háálá shoo , ni'ana'í danilíinii hahóół'á ; nik'ee dadiniihii dah dadíníit'ą́ .
19:83:003:0	Binda'adlo'go nidine'é yindaha'á ; níí' danilíinii ayóó'ííní'nínígíí yiniyé ahéédadiikahgo yaa nídaat'į́ .
19:83:004:0	Kódaaní , Sołtį' , haa'íshą' Ízrel dine'é t'áá jíl'áá nít'éé' ádahodiildįįł , áko bízhi' doo bééhániih da doo .
19:83:005:0	Jó , yee łá'í daazlį́į'go nidahaz'ą́ ; nik'ijį' danilį́įgo ahada'deet'aah :
19:83:006:0	níbaal yii' kéédahat'íinii éí Íídam dine'é áádóó Íshmeiyel dine'é , Mó'ab dine'é índa Héígar dine'é ;
19:83:007:0	Gííbal áádóó Áman índa Ámalek dine'é ; Táir kin haal'áagi kéédahat'íinii éí Filístiya dine'é yił ałch'odaos'ne' ;
19:83:008:0	Áshar dine'é ałdó' yił ałch'odaos'ne' ; éí Lat ba'áłchíní ahoolchíiłii yíká anájah nít'éé' . Síilah .
19:83:009:0	Mídiyan dine'é íinilaa yę́ęgi ánílééh áádóó Kíshan tooh nílį́įgi Sísera áádóó Jéíbin íinilaa yę́ęgi ánílééh ,
19:83:010:0	éí Éndor kin shijaa'gi ádabi'disdįįdgo ákwe'é dabits'íís éí nanise' bich'iyą' silį́į́' .
19:83:011:0	Bá aghádahideezíinii Óreb áádóó Zííyeb íinilaa yę́ęgi ánílééh , índa binanit'a'í danilíinii Zííbah áádóó Zalmóna íinilaa yę́ęgi ánílééh .
19:83:012:0	Éí kódaaní , Haa'íshą' Diyin God bihootso nihíí' ádadiilníí ł .
19:83:013:0	ShiDiyin God nílíinii , ch'il deeníní bił naanááyołígi ádaat'éego ánílééh , ehégod bił níyolígi ádaat'éego ánílééh .
19:83:014:0	Tsiyi'di hodook'ą́łígíí nahalingo , dził bąąh hodiiltłahígíí nahalingo ,
19:83:015:0	yéego niníyol ó'oołdįįłii bee naanaajeeh , áádóó niníyoltsoh bee tsídabidíłhéés .
19:83:016:0	Bóhólníihii nílíinii , nízhi' hádaat'į́į doo biniyé binii'jį' t'óó baa yádahasingo ádanile' .
19:83:017:0	Háni'dii hool'áágóó t'óó bił dahazkéehgo ádabi'dólne' áádóó tsídabi'dólyéés ; háni'dii t'óó baa yádahasinígi át'éego ádabi'dólne'go ádaadįįh .
19:83:018:0	Áko nahasdzáán bikáá'góó t'áá níłtéél nít'éé' t'áá ni t'éiyá , Bóhólníihii yinílyéhígíí , Aláahgo Ayóó'át'éii nílį́įgo diné bił béédahózin le' .
