19:92:001:1	Bóhólníihii yá'át'éehgo ó'oolíiłii baa ha'niih
19:92:001:0	Bóhólníihii bich'į' ahééh jinízingo yá'át'ééh . Aláahgo Ayóó'ánít'éii nílíinii , nízhi' baa hojiniihgo hojitaałgo yá'át'ééh .
19:92:002:0	Aa a'ááh nínízinii abínígo baa hojilne'go áádóó na'ahódlíhígíí tł'ée'go baa hojilne'go yá'át'ééh .
19:92:003:0	Tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół bąąh daneelzhee'go bee nida'a'néii índa tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii bee Bóhólníihii baa hojiniihgo yá'át'ééh .
19:92:004:0	Háálá , Bóhólníihii nílíinii , ninaanish bee shił hózhǫ́ǫgo áshiinilaa . Níla' bee íinilaaígíí baa shił hózhǫ́ǫgo hashtaał .
19:92:005:0	Bóhólníihii nílíinii , dooládó' ninaanish ayóó ádaat'ée da ! Nintsíkees t'áadoo yééhoníyąądí da !
19:92:006:0	Diné doo hózhǫ́ nitsíkeesii t'áadoo bił bééhóziní da , índa diné doo áhályáanii díí doo yik'i'diitįįh da .
19:92:007:0	Tł'oh łitsooí háánít'į́hígíí nahalingo diné doo yá'ádaashóonii k'ee'ąą dínít'į́įhgo , áádóó diné doo ákwii ádaaníiłii k'ee'ąą dilzhishgo , éí hool'áágóó ábidi'dooldįįłgo át'é .
19:92:008:0	Nidi , ni Bóhólníihii nílíinii , aláahgo ayóó ánít'éego ahool'á .
19:92:009:0	Háálá shoo , Bóhólníihii nílíinii , ni'ana'í ádadoodįįł ; diné doo ákwii ádaaníiłii t'áá ałtso tabidí'nóolkał .
19:92:010:0	Nidi béégashii ałchinii bidziilígi át'éego shidziilgo áshiinilaa . Ak'ah ániidíii shik'i yaadziidgo shi'doolzį́į́' .
19:92:011:0	Shaa háashjée'ii ádabidi'dooldįįłígíí yiiłtsą́ ; diné doo yá'ádaashóonii shich'į' nidaabaahii bik'eh hodidoodleełii diséts'ą́ą́' .
19:92:012:0	Diné t'áá ákogi át'éii páam sikaadii nooséłígi át'éego nanise' , áádóó Lébanan kéyahdi gadtsoh nahalingo nanise' .
19:92:013:0	Bóhólníihii bikin góne' k'edadeesyáhígíí nihiDiyin God bikin bii' sohodizin haz'ánígi nizhónígo danéeséeh doo .
19:92:014:0	Hadaastih nidi t'ahdii bineest'ą' bąąh nídahadleeh ; t'áá áłahjį' bitoo' dahólǫ́ áádóó daditłéé' ,
19:92:015:0	áko Bóhólníihii éí t'áá ákogi át'éego bééhózin doo . Bí éí tsé shá nilį́ áádóó doo ákogi é'ét'éii bii' ádin .
