1:22:001:1	Éíbraham éí Áízak nááhidííłnih bi'doo'niid
1:22:001:0	Áádóó ákódzaadóó bik'ijį' Diyin God éí Éíbraham yíneeztą́ą'go áyidííniid , Éíbraham ! Áko ázhdííniid , Kǫ́ǫ́ sédá .
1:22:002:0	Áko áhodííniid , T'ááłá'í niye'ígíí , ayóó'ííní'níinii Áízak wolyéii , kéyah Moráíyahgóó bił dí'aashgo áadi hodíłidgo nááhodiyííłnih ; ííshją́ą́ díí dził ghą́ą'gi kwe'é nidideesh'niił .
1:22:003:0	Áádóó Éíbraham t'áá íiyisí abínígo nízhdii'na'go hatélii bik'i dah adziznil áádóó hatsíłkéí naaki ádíjii'nil ; haye' Áízak ałdó' bił bee adidlidgo náá'iiniih biniyé chizh ahizhdííłkaal . Diyin God doohkah hałnínę́ęgóó dashdiikai .
1:22:004:0	Áádóó dashdiikaidóó tágí jį́ aleeh góne' Éíbraham náás ajííghalgo dzideeskaijį' éí nízaadgo dziiłtsą́ .
1:22:005:0	Áko Éíbraham hatsíłkéí ábizhdííniid , T'áá kwe'é télii bísoołké ; shí índa shiye' bił níláahjį' diit'ash ; áadi sodidiilzįįłgo índa nihaa nídiit'ash .
1:22:006:0	Áádóó Éíbraham chizh bee adidlidgo bee náázhdi'yoołnihígíí haye' Áízak bina'ízhdéénilgo nihiiníłjid , áádóó kǫ' índa béésh bił dashdiijaa' , áko t'áá ájíłah ákǫ́ǫ́ joo'ashgo
1:22:007:0	Áízak hazhé'é Éíbraham ábizhdííniid , Shizhé'é ! Áko ázhdííniid , Kǫ́ǫ́ yishááł , shiye' . Nít'éé' ánááhodoo'niid , Shoo , kǫ' áádóó chizh nihee hólǫ́ , ákoshą' dibé yázhí didlidgo nááhidoonihígíí éí háadi ?
1:22:008:0	Áádóó Éíbraham ádííniid , Shiye' , Diyin God lá dibé yázhí didlidgo nááhidoonihígíí t'áá bí néididoołtéeł ni . Áádóó t'áá ájíłah t'áá ła' joo'ash .
1:22:009:0	Diyin God , Kwe'é nidideeshniił , hodííniidígi jiní'áazhgo ákwe'é Éíbraham éí bikáá' náá'iiniihí ájiilaago bikáa'jį' chizh dah jizhjaa' , áko haye' Áízak be'dziztł'ǫ́ǫgo bikáá' náá'iiniihí bikáa'gi chizh bik'i nizhníłtį́ .
1:22:010:0	Áko Éíbraham béésh néidii'ą́ągo biye' yi'niił hį́įgo yich'į' béésh yił k'ídeeshchid .
1:22:011:0	Nít'éé' Bóhólníihii bidiyingo naal'a'í yá'ąąsh biyi'dę́ę́' hózhíigo áháłní , Éíbraham , Éíbraham ! Áko ázhdííniid , Kǫ́ǫ́ sézį́ .
1:22:012:0	Áko ání , Ashkii atíhólééh lágo , doo nidi haada díílíił da , Diyin God t'áá íiyisí bóhoníłnííh lá k'ad shił bééhoozin , háálá t'ááłá'í niye'ígíí nidi doo shąąh síní'įįd da .
1:22:013:0	Áko Éíbraham hajííghalgo nidzizghal , nít'éé' hane'jígo deenásts'aa' bidee' yee tsin yiih dinoolne' lá , áádóó Éíbraham éí deenásts'aa' néidiiłtį́įgo haye' bitsásk'ehgi didlidgo náádziisnii' .
1:22:014:0	Áko Éíbraham ákwe'é Jiihóvah-jáíreh bee hojíízhi' ; díigi át'éego díí jį́įjį' t'ah nidi bee ádajiní , Bóhólníihii bidził bighą́ą'gi yee aa áhodoolyąął .
1:22:015:0	Áko díí bił naakidi aleeh góne' Bóhólníihii bidiyingo naal'a'í yá'ąąsh biyi'dę́ę́' Éíbraham nááyooji'go ání ,
1:22:016:0	T'áá shí kódíshníigo ádee hadeesdzíí' , ní Bóhólníihii , háálá díí baa nisíníyá : t'ááłá'í niye'ígíí doo shąąh síní'įįdgóó bąą
1:22:017:0	nik'ijishdlíigo éí t'áá íiyisí nik'ijishdlíi doo , áko na'áłchíní éí k'ee'ąą dínéesht'į́įłgo yádiłhił biyi'di sǫ'ígi ánéelą́ą'go índa tónteel bibąąhgóó séíígi ánéelą́ą'go na'áłchíní nídínéesht'į́į́ł áádóó na'áłchíní náás da'ahílchíihii bida'ana'í yik'eh dadidlį́į doo .
1:22:018:0	Áádóó nits'ą́ą́dóó yichíiłii bee ał'ąą dine'é t'áá ałtso bik'ihozhdoodliił , háálá shizaad bik'eh honíł'į́ .
1:22:002:1	Néíhor bits'ą́ą́dóó adideezhchíinii
1:22:019:0	Ákohgo Éíbraham hatsíłkéí baa níjít'áazhgo t'áá ła' Bíyer-shííba hoolyéégóó dah nízhdiikai , áádóó Éíbraham éí Bíyer-shííbagi kééhojit'į́ .
1:22:020:0	Áádóó náás nááhodeeshzhiizhgo Éíbraham bił hóóne' , Jó , Mílkah ałdó' , nitsilí Néíhor yá ni'iishchį́į́ lá , ho'doo'niid .
1:22:021:0	Haz alą́ąjį' há yizhchį́ , áádóó bitsilí Baz áádóó Kémyu'el éí Áram
1:22:022:0	áádóó Késed áádóó Héízo áádóó Píldash áádóó Jídlaf índa Biithúwel yizhé'é nilį́ .
1:22:023:0	Biithúwel há yizhchíinii éí Rebékah wolyé : díí tseebíigo Mílkah éí Éíbraham bitsilí Néíhor yá niyiishchį́ .
1:22:024:0	Áádóó Néíhor be'asdzą́ą́ yíł'íní Rúmah yolyéhígíí éí Tííba áádóó Géíham áádóó Téíhash índa Méí'akah ałdó' há niyiishchį́ .
