1:32:001:1	Jéíkab éí Íísa yidááh doogáałgo hasht'e'ádiilyaa
1:32:001:0	Áádóó Jéíkab dah náázhdii'náago joonééł nít'éé' ; Diyin God bidiyingo nidaal'a'í hadááh yíkai ,
1:32:002:0	áko Jéíkab yiyiiłtsą́ągo ádííniid , Dííyee' Diyin God bits'ą́ą́dóó dah oonéełii át'éé lá ! Áko ákwe'é Meihanéíyim hoolyée doo , jidííniid .
1:32:003:0	Áko Jéíkab éí Síyer nahós'a'jį' t'áá éí kéyah Íídam hoolyéejį' hánaaí Íísa bich'į' hane' nidei'áhí alą́ąjį' adziis'a' .
1:32:004:0	Hane' nidei'áhí ábizhdííniid , Shinanit'a'í Íísa kódabididoohniił , Ná naal'a'í Jéíkab kóní , Léíban bił tádíshnééh nít'éé' , índa ákwe'é sédáago kojį' ahoolzhiizh ,
1:32:005:0	áko béégashii áádóó télii áádóó dibé áádóó diné nidaal'a'í índa asdzání nidaal'a'í shee hólǫ́ , áko ajooba' bee shich'oha'néego shąąh tsídookos biniyé shinanit'a'í bił hodoonihgo i'ííł'a' .
1:32:006:0	Áko hane' nidei'áhí nát'ą́ą́' Jéíkab yaa nákaigo ádaaní , Nínaaí Íísa baa niikai , áko bí ałdó' áádę́ę́' diné dį́įdi neeznádiingo yił nidáahjį' deeskai .
1:32:007:0	Ákohgo Jéíkab ayóó át'éego nídzísdzíidgo ádił nisidzídzá , áko diné bił joonéłígíí áádóó dibé áádóó béégashii índa ghą́ą́'ask'idii naakijį' ałts'ádadziznilgo
1:32:008:0	ázhdííniid , Íísa t'ááłá'í dah oonééł neistseedgo ła'ígíí éí dadoodzih .
1:32:009:0	Áko Jéíkab ádííniid , Shizhé'é Éíbraham biDiyin God nílíinii , shizhé'é Áízak biDiyin God nílíinii Bóhólníihii , shą́ą́' áshidiní , Nikéyahgóó nik'éí bich'į' nídídááh , áko yá'át'éehgo naa nitsískees doo ,
1:32:010:0	bee a'ááh nínízinii áádóó nit'áá aaníinii t'áá át'é kóníshéhí nidi ná naal'a'í nishłíinii bił bééhosínísįįdígíí nádį́'ídi doo bą́ą́h anishłį́į da , háálá shigish t'éiyá hólǫ́ǫgo díí Jórdan tooh tsé'naa niníyá , áko k'ad yisht'ínígíí naakigo dah oonééł silį́į́' .
1:32:011:0	Nánooshkąąh , shínaaí Íísa bits'ą́ąjį' yisdáshíłteeh , háálá binásdzid ; shaa doogáałgo shidiyoołhééł , índa amá danilíinii ba'áłchíní t'áá yił ałdó' neidoołtsił .
1:32:012:0	Áádóó ádííníniid ni' , T'áá aaníí nik'ijishdlíi doo , índa na'áłchíní náás da'ahílchíihii tónteel bibąąhgi séiigi át'éego doo wóolta' ánéelą́ą' da dooleeł .
1:32:013:0	Áko éí bitł'éé' t'áá ákǫ́ǫ́ hwiiską́ , áádóó t'áá ákǫ́ǫ́ bił dah joonéłígíí hánaaí Íísa baazhdooniłígíí bá ats'ázhnínil ;
1:32:014:0	tł'ízí dabi'ádígíí naakidi neeznádiingo áádóó tł'ízíką' naadiingo áádóó dibé dabi'ádígíí naakidi neeznádiingo índa deenásts'aa' naadiingo ,
1:32:015:0	ghą́ą́'ask'idiitsa'ii tádiingo dabiyázhí t'áá bił , béégashii dabi'ádígíí dízdiingo , dóola neeznáá áádóó téliitsa'ii naadiingo índa dabiyázhí ałdó' neeznáá bóóltą'go bá ats'ázhnínil .
1:32:016:0	Áko t'áá da'ał'ąą dah naazhjaa'go há nidaal'a'í bá ats'á'dziiznil , áádóó há nidaal'a'í ábizhdííniid , Shilą́ąjį' tsé'naa nihohnééh ; nihita' honí'ą́ągo danóołkaad .
