1:38:001:1	Júdah áádóó Téímar
1:38:001:0	Ákódzaago íídą́ą́' Júdah bik'isóó yits'ą́ą́' dah diiyáago Adálam dine'é léi' ła' Háírah yolyéego yaa níyá .
1:38:002:0	Ákwe'é Júdah éí Kéínan dine'é léi' Shúwah wolyéii bitsi' jiiłtsą́ . Áko éí yił ahaa yít'áazhgo
1:38:003:0	i'niiltsąądgo ashkii yishchį́ ; éí Er bee jíízhi' .
1:38:004:0	Áádóó anáá'niiltsąądgo ashkii náánéíshchį́ ; éí Ónan bee jíízhi' .
1:38:005:0	Áádóó anáá'niiltsąądgo ashkii ła' náánéíshchį́ ; éí Shíílah bee jíízhi' ; Júdah éí Kíízib hoolyéegi nijigháago há ashchį́ .
1:38:006:0	Áko Júdah bá alą́ąjį' yizhchíinii Er wolyé ; éí Téímar wolyéii be'asdzą́ą́ dooleeł biniyé yá néidiiłtį́ .
1:38:007:0	Áko Júdah bá alą́ąjį' yizhchíinii Er wolyéego Bóhólníihii binááł doo yá'áshóonii yaa yigáałgo Bóhólníihii biisxį́ .
1:38:008:0	Áko Júdah éí Ónan áyidííniid , Nínaaí yę́ę be'asdzą́ą́ bił yah anináahgo bá'dííyeh , áko nínaaí yę́ę bá áłchíní hodooleeł .
1:38:009:0	Nidi hánaaí yę́ę bá áłchíní doo hodooleeł da biniyé hánaaí yę́ę be'asdzą́ą́ bił yah ajííyáago t'óó ni'jį' hwíígąsh hadziistł'ííd .
1:38:010:0	Áko ájíít'įįdígíí Bóhólníihii doo bił yá'át'ééhgóó biniinaa nááhwiisxį́ .
1:38:011:0	Ákohgo Júdah hazháá'áád Téímar ábizhdííniid , Haa'íshą' , nahastiin t'áá ádingo nizhé'é bighandi sínídáa doo , shiye' Shíílah neiyą́ągo índa . Háálá ájíní , Éí doodago éí ałdó' dadootsaał sha'shin . Áko Téímar dashdiiyáago bizhé'é bighandi kééhat'į́ .
1:38:012:0	Áko náás hodeeshzhiizhgo Shúwah bitsi' Júdah be'asdzą́ą́ daaztsą́ , áko Júdah habi'doosni'go bí áádóó bik'is Háírah ; éí Adálam dine'é nilíinii Tímnathgóó halį́į́' há tándeidigishii bich'į' ajíí'áázh .
1:38:013:0	Áko Téímar bił hóóne'go ábi'doo'niid , Shoo , bizháá'áád nílíinii Tímnathgóó bilį́į́' táididoogish yiniyé yigááł .
1:38:014:0	Áko ahastiin daaztsą́ągo éé' bee bééhózinii hazhdii'nilgo anii' bik'ínáltihí hanii' bik'ídzísti' , áádóó náánáła' éé' biih jííyáago Tímnathgóó atiin bąąhgi náhoot'ínígi dzineezdá ; jó , Shíílah neeyą́ą nidi be'asdzą́ą́ jidooleeł biniyé t'ah doo baa ho'deelteehígíí bąą ájít'į́ .
1:38:015:0	Áko Júdah hoołtsą́ągo ałjiłnii át'į́ , hó'ní , háálá hanii' bik'é'ésti' .
1:38:016:0	Atiin bąąhgóó dzizdáago haa níyáago áhodííniid , Tį' , nił yah adeeshááł ; hazháá'áád át'į́įgo éí doo hoł bééhózin da , áko Téímar ání , Ha'át'íishą' shaa dííleełgo bik'é shił yah adíínááł ?
1:38:017:0	Áádóó ázhdííniid , Dibé shijéé'dę́ę́' tł'ízí yázhí ła' nánídooltééł . Áko Téímar ádííniid , Éí shaa yíltį́įjį' t'áadoo le'é shaa nílé .
1:38:018:0	Áko ázhdííniid , Ha'át'íishą' naa deeshłééł ? Áádóó ábizhdííniid , Niyoostsah lą́ą , áádóó nílátsíní índa nigish nílák'ee sitánígíí . Áko éí hainínil áádóó t'áá áko hoł yah ííyáago bá izh'niiltsąąd .
1:38:019:0	Áádóó asdzání nízhdii'na'go anídzoodzá ; anii' bik'ínáltihí hazhdiiltsoozgo ahastiin daaztsą́ą́jí éé' bee ééhózinii hazhdii'nil yę́ę biih nídzoodzá .
1:38:020:0	Áko Júdah hach'ooní Adálam dine'é nilíinii yódí há néidoojih biniyé ákǫ́ǫ́ tł'ízí yázhí há ayííłtį́ ; nít'éé' t'áadoo yik'íníyáa da .
1:38:021:0	Ákohgo diné ákwe'é kéédahat'ínígíí kójíníigo nabízhdééłkid , Háájíshą' ałjiłnii atiin bąąhgóó náhoot'ínígi sidáá nít'éé' yę́ę ? Áko ádahodííniid , Kwe'éga' ałjiłnii doo ła' hólǫ́ǫ da .
1:38:022:0	Júdah baa nídzídzáago ázhdííniid , Ch'ééh hanétą́ą́' ; ákwe'é kéédahat'ínígíí ałdó' , Kwe'é ałjiłnii doo hólǫ́ǫ da , daaní .
1:38:023:0	Áko Júdah ádííniid , Doo nihaa yáhodoosįįłígíí biniyé bíni' yódí t'áá bí dooleeł . Jó'akon , díí tł'ízí yázhí nisíníłtį́į nidi t'áadoo hak'ííníyáa da .
1:38:024:0	Ákódzaadóó bik'ijį' táá' nídeezidgo , Téímar nizháá'áád ałjiłnii yéé'iidlaa , áádóó jó'akon , ajił bee izh'niiltsąąd , ha'níigo Júdah bił hóóne' . Áádóó Júdah ádííniid , Aadę́ę́' bił ch'ínóhkááh , áko bíni'dii azhdidook'ą́ą́ł .
