20:1:001:1	Saad bee hódzą́ ílį́
20:1:001:0	David biye' Sálaman éí Ízrel binanit'a'í bizaad bee hodoodząąłii .
20:1:002:0	Áko hódzą́ áádóó na'nitin bił béédahodoozįįł áádóó saad bik'idi'dootį́įłii yaa ákodadínóozįįł .
20:1:003:0	Dahozhdooyąąłii áádóó t'áá ákogi ádajit'į́į doogo áádóó doo haada yit'éii índa aheełt'éego dajiináa doo biniyé bínahodi'neestą́ą'ii nídazhdidoolééł .
20:1:004:0	Doo dahóyáanii dahóyą́ągo ádabidoolííł , áádóó ániid nidaakaii bił éédahodoozįįł índa yá'át'éehii nideidiyii'aahgo ádabidoolííł .
20:1:005:0	Diné hóyáanii íists'ą́ą' doo , áádóó náásgóó óhooł'aah doo ; diné bił ééhózinii hódzą́ągo yáti' t'éí hát'į́į doo ,
20:1:006:0	áko saad bee hodoodząąłii , áádóó ááhyiłníinii yik'idi'yiitįįh doo ; diné dahóyáanii bizaad índa saad doo bééhózingóó yee hadahadziihii bik'izhdi'yiitįįh doo .
20:1:002:1	Dinééh bá kót'é ha'níinii
20:1:007:0	Bóhólníihii jidósin jileehdóó hoł ni'ééhwiizįįhgo hahalzhish , nidi diné doo ádahalyáanii hódzą́ índa na'nitin ąąh dayiiłkóóh .
20:1:008:0	Shiye' , nizhé'é bina'nitin yísíníłts'ą́ą́' áádóó nimá yee naninitinii yóó'adóó'ááł lágo .
20:1:009:0	Éí bee ajooba' nitsiinázt'i' doo áádóó yoo' nizhóníii hayo' áhojiilaa nahonílin doo .
20:1:010:0	Shiye' , bąąhági ádaaníiłii , Hágo nahgóó diikah , daniłníigo bikéé' dah doóya' lágo .
20:1:011:0	Hágo nahgóó diikah , daaníigo , níláahdi diné dadiyiilyéełgo dił bits'ánílį́įgo ádadiilníiłii biba' naháatą́ą doo . Diné t'áadoo át'éhígóó naagháii t'áadoo biniinaaní da nidi baa nihidiikah :
20:1:012:0	jishcháa'gi át'éego t'áá dahináago adahidiilnah ; łeehwii'nííł góyaa ahi'níłígíí nahalingo t'áá naazį́į́ nít'éé' adahidiilnah :
20:1:013:0	binaalye'é da'ílíinii shódeidiilt'eeł áádóó naalye'é ałtso dadiilnéełgo nihighan góne' hadadidiilbį́į́ł :
20:1:014:0	nihidiináahgo t'áá áníiltso nihidah na'ayizii t'ááłá'í ádadiilnííł .
20:1:015:0	Shiye' nílíinii , ákódaaníinii dadeeskaigóó bikéé' dah doóya' lágo ; t'ááká bikék'edóoya' lágo .
20:1:016:0	Háálá doo yá'át'éehii t'éiyá yíkadadilts'i' áádóó haneetehee diné nideiłtseedgo bidił bits'ádaazlį́įgo ádeile' .
20:1:017:0	Tsídii binááł łoh bá niit'áahgo doo áajį' digháah da łeh .
20:1:018:0	T'áá bí nidabidi'dootsiłgo bidił bits'ádaazlį́į doo yiniyé naháaztą́ , t'áá bí nidabidi'dootsił yiniyé aa nidahaakai .
20:1:003:1	Hódzą́ ná'ookąąh
20:1:019:0	T'áá ádzíłtso t'áá áchą́hwíídéeni'go naalye'é aghadajii'níiłii éí t'áá hó hwe'iina' haa néididoodlééł .
20:1:020:0	Hódzą́ tł'óo'di nihidilgháásh ; kintah da'nítiingóó biinéé' diits'a' .
20:1:021:0	Áłah da'ílį́į́góó nidilghaash , yah ada'iiztiingóó índa diné t'áá ałtso bitahgóó biinéé' diits'a'go
20:1:022:0	kóní , Doo dahonohsáanii haa nízáágóoshą' doo nihidahódzą' ayóó'ádeínóh'níi doo ? Haa nízáágóoshą' diné yąąh nidayiiłhaałii ąąh nidayiiłhaałgo bąą bił nidahoozhǫǫh doo ? Haa nízáágóoshą' diné doo ádahalyáanii ił ééhózin deijoołxáa doo ?
20:1:023:0	Hódzą́ ání , Biniinaa nihich'ahoshishkéii bits'ą́ąjį' naanáhkááh . Shoo , shiníłch'i nihaa dideesh'ááł ; shizaad béédahodoosįįłii nihich'į' bééhózínígo ádadeeshłííł .
20:1:024:0	Hágo nihidííniid nít'éé' ; dooda danoozį́į́' ; éí bąą nihich'į' dah didiishnii' nít'éé' ; doo ła' shaa ná'áhodéélt'į́'í da .
20:1:025:0	Bee nanihinishtinii t'áadoo nánídlínígóó baa nitsídasookééz , áádóó nihich'ahoshishkéhígíí doo danoozį́į' da .
20:1:026:0	Éí bąą shí ałdó' bááhádzidgo áhooníiłii bee nihił hodeeshzhiizhgo nihaa anáshdloh doo . Nídasoołdzíidgo nihá nahasht'i' doo .
20:1:027:0	T'óó báhádzidígi át'éego nídasoołdzíidgo áádóó bee atínihi'dilnéehii nááts'ó'oołdísii nahalingo nihich'į' yiyołgo índa ach'į' nahwii'ná áádóó yínííł nihik'iildogo nihaa anáshdlohgo nihá nahasht'i'go ,
20:1:028:0	áadi índa shich'į' sodadilzin doo , nidi doo bich'į' hadeesdzih da . T'áá niná'deet'įįdjį' shíkadadínóotaał , nidi doo shik'ídadookah da .
20:1:029:0	Háálá ił ééhózin dajijoołáá nít'éé' áádóó Bóhólníihii dólzin t'áadoo nidazdeez'ą́ą da .
20:1:030:0	Shina'nitin t'ááłá'í nidi t'áadoo ła' dazniizį́į' da ; hoshishkéhígíí nidi t'óó bá dazdoos'nih .
20:1:031:0	Éí bąą t'áá hó ádajíít'įįdii bineest'ą' nídazhdoodį́į́ł áádóó t'áá hó bindahodzizgizii bee hwiih dadzizlį́į'go ti'nídahodiyoołnih .
