22:2:001:0	Shéran nahós'a'dóó chǫǫh áádóó dahoníteelgóó tł'éé' iigahí nishłį́ .
22:2:002:0	Ch'il dadeeníinii bitahgi tł'éé' iigahí sikaadígi át'éego ch'ikéí danilíinii bitahgi ayóó'óósh'níinii hólǫ́ .
22:2:003:0	Tsintahgi bilasáanii sikaadígíí nahalingo ayóó'óósh'níinii tsíłkéí yitahgi naaghá . T'áá íiyisí shił hózhǫ́ǫgo bichaha'oh biyaagi nédá áádóó bineest'ą' shił ayóó áhálniih .
22:2:004:0	Ída'azįįd néit'aahgi shił ní'áázh áádóó bibee ayóó'ó'ó'ni' éí bidah na'at'a'í nahalingo shik'ijį' yideesbaal .
22:2:005:0	Ch'il na'atł'o'ii t'áá bízhání łees'áán ályaii áádóó bilasáana shá ná'íltso'go shik'i hółta' , háálá ayóó'ó'ó'ní bídin shi'niitsą́ .
22:2:006:0	Bíla' nishtł'ají yee shitsiiyah déesnii' áádóó bigaan nish'náájí yee shináznii' .
22:2:007:0	Jerúsalemdóó ch'ikéí danohłíinii , jádí , doodaii' bįįhtsa'ii ádaat'éhígíí bee ádee hadadidoohdzihígíí baa nánihooshkąąh . Ayóó'óósh'níinii t'áadoo binaagóó nida'ołch'ízhí índa ch'éédaosííd yíila' ; bíni' ałhosh .
22:2:008:0	Ge' , ayóó'óósh'níinii biinéé' hoyoolts'į́į́ł ! Shoo , dziłghą́ą́'dę́ę́' dah náníljį́įhgo yigááł áádóó dah daask'idę́ę́' hoot'eeł .
22:2:009:0	Ayóó'óósh'níinii éí jádí , doodaii' bįįhką' nahalin , jó'akon . Tsé yítł'inígíí bine'dę́ę'go sizį́įgo tsésǫ'gi tsin yistł'ǫ́ǫgo dádiníbaalígíí yiníká déez'į́į́' .
22:2:010:0	Ayóó'óósh'níinii shich'į' haadzíi'go áshidííniid , Ayóó'ánósh'níinii , shił ayóó áníínílninii , nídiidáahgo nahgóó shił dí'aash .
22:2:011:0	Háálá ałtso yíhai ; ałtso ahóółtą́ .
22:2:012:0	Nihokáá'góó ch'ilátah hózhóón hanáánoot'ą́ ; tsídii ádaaníijį' anáhoolzhiizh áádóó nihikéyah bikáá'góó hasbídí ádaaní yits'a' .
22:2:013:0	Tsin fig sikaadii bineest'ą' bąąh dahazlį́į́' áádóó ch'il na'atł'o'ii bílátah da'iigaigo łikání bits'áhoní'á . Ayóó'ánósh'níinii , shił ayóó áníínílninii , nídiidáahgo nahgóó shił dí'aash .
22:2:014:0	Shihasbídí nílíinii , tsé daak'izgóó , tsé nída'deezbaalgóó honílóonii , haa'íyee' ninii' nísh'į́ , haa'íyee' niinéé' dideests'į́į́ł , háálá niinéé' nizhóní yee' áádóó ninii' nizhóní yee' .
22:2:015:0	Mą'ii dootł'izhí yázhí éí ch'il na'atł'o'ii deíl'áágóó nidahwiiłchxǫǫhii bił nidahidiidił , háálá nihich'il na'atł'o'ii bílátah da'iigai .
22:2:016:0	Ayóó'óósh'níinii shíí' nilį́ áádóó bíí' nishłį́ ; tł'éé' iigahí bitahgóó bidibé yá naagháago nida'ałchozh .
22:2:017:0	T'ah doo e'e'aahgóó , t'ah doo chaha'oh iildóóhgóó shich'į'go náníyisgo shaa nínááh , ayóó'ánósh'níinii . Bííther dził daní'áágóó jádí , doodaii' bįįhką' naagháhígíigi ánít'ée doo .
