23:21:001:1	Tónteel bibąąhgóó honoojíigi áhoot'ée dooleełii
23:21:001:0	Tónteel bibąąhgóó honoojíigi áhoot'ée dooleełii ch'ét'ą́ . Shádi'ááhdę́ę́' nááts'ó'oołdísii hadiilwodígi át'éego honoojíídóó kéyah báhádzidgo haz'áanii bits'ą́ą́dę́ę́' ayóó áhodoonííł .
23:21:002:0	Diné nináda'dii'aahii binda'adlo'go áádóó ída'oołdįįłii ída'oołdįįłgo díí t'óó bąąh yínínígi át'éego shił ádzaa . Íílam nílíinii , ákóde dínááh ; Míídiya nílíinii , kin haal'á bizéénílzhíísh ; ádił hadahadzoołgo dadi'níigo áyiilaa yę́ę ałtso ni'íishłaa .
23:21:003:0	Éí bąą shijéí t'óó báhádzidgo yínííł nilį́ ; asdzání i'niiłchíihgo bił náhodíníigahígi át'éego doo chohoo'į́į́góó shił nahonigaah ; doo adzółts'ą́ą' le' át'éégóó t'óó yaa íisdzaa ; doo nijighal le' át'éégóó ádił hosisyéé' .
23:21:004:0	Shijéí nisináltłi'go t'óó báhádzidgo shił hóółyéé' ; hiłiijį́įhgo shił hózhǫ́ǫ́ nít'éé' yę́ę éí shił hóółyée'go áshiilaa .
23:21:005:0	Bikáá' adání yikáá' nida'iikaah ; ni'góó nida'azkaadgo da'ayą́ áádóó da'adlą́ ; naat'áanii danohłíinii , nídoohjeehgo naagé nídaałtłah .
23:21:006:0	Jó , Bóhólníihii kóshidííniid , Nílááh , ha'ídées'į́'í ła' niníłteeh ; bíni'dii yoo'ínígíí yaa halne' doo .
23:21:007:0	Łį́į́' yee nidaabaahii naaki níláago áádóó bił deíjeehgo dzaanééz dabíyeehgo índa ghą́ą́'ask'idii dabíyeehgo yiyiiłtsą́ągo ts'ídá t'áá íiyisí hazhó'ó yíídóołts'į́į́ł ,
23:21:008:0	áádóó náshdóítsoh bitsiijį' ditł'ooígíí yéego ádííniidígi át'éego hadoolghaazh , Shibóhólníihii nílíinii , bighą́ą́'dóó ha'alzíidii bikáa'gi shá bíighah t'ááłáhígi át'éego dah sézį́ índa tł'éé' bíighah ha'ídíínísh'į́'ígi dah sédáa łeh ,
23:21:009:0	áádóó łį́į́' yee nidaabaahii naaki níláago bił deíjeeh , jó'akon . Áádóó ła' ájíní , Bábilan kin haal'á yę́ę naa'ííłdááz , naa'ííłdááz áádóó bidiyin bida'alyaii yę́ę t'áá ałtso ni'jį' nidahastǫ' .
23:21:002:1	Dúmah át'ée dooleełii
23:21:010:0	Ąąh yishíłch'íi'ii áádóó ats'áii shíłch'íi'ii bá haz'ánígi bide áhólzinii danohłíinii , Ízrel biDiyin God t'áá ałtsoní bee Bóhólníihii bits'ą́ą́dóó diséts'ą́ą'ii bee nihił hweeshne' .
23:21:011:0	Dúmah hoolyéegi át'ée dooleełii ch'ét'ą́ . Síyer kéyahdóó ła' shich'į' ázhdííniid , Ha'asíidii nílíinii , haa nízáágóó ayííłką́ ? Ha'asíidii nílíinii , haa nízáágóó ayííłką́ ?
23:21:003:1	Aréíbiya át'ée dooleełii
23:21:012:0	Ha'asíidii ádííniid , Ahbíní baa hodoolzhish , áádóó tł'éé' ałdó' baa hodoolzhish ; na'ídídéeshkił nínízingo na'ídíłkid ; áádę́ę́' náádíídááł .
23:21:013:0	Aréíbiya kéyahgi át'ée dooleełii ch'ét'ą́ . Díídan dine'é tádadohnéehii , Aréíbiyagi tsintahdi danohjah dooleeł .
23:21:014:0	Tííma kéyahgi kéédahoht'ínígíí dibáá' nilínígíí tó baa dasooką́ . Yóó'adahineezhchą́ą'ii yada'astsood .
23:21:015:0	Háálá diltłish nideijaahii áádóó be'ełtį́į́' nídeidiłts'ǫ'ii índa anaa' bik'ee ti'hoo'níhígíí yits'ąą yóó'adahineezhchą́ą́' .
23:21:016:0	Jó , Bóhólníihii áshidííniid , Adeenáago naalnishii bináháháhígíí bik'ehgo t'áadoo náháhí Kíídar dine'é yee ayóó át'éii bąąh nahodookał ,
23:21:017:0	áádóó da'diłt'ohii yidziihígíí éí Kíídar dine'é dahayóii ánéelt'e'ígíí bi'oh ádadoolnííł , háálá Ízrel dine'é biDiyin God Bóhólníihii yee haadzíí' .
