23:31:001:1	Ííjip dine'é éí bíla' ashdla'ii danilį́ ; doo éí Diyin God danilį́į da
23:31:002:1	Ííjip dine'é éí bíla' ashdla'ii danilį́ ; doo éí Diyin God danilį́į da
23:31:001:0	Ííjip kéyah góyaa bíká i'doolwoł yiniyé ałnáádaakahgo áadi łį́į́' índa tsindaabąąs bijáád naakiígíí t'óó ahayóígíí biniinaa yaa dadzólíii áádóó łį́į́' yee nidaabaahii ayóo dabidziil biniinaa yaa dadzólíii doo hojooba' ájíníi da ! Éí Ízrel dine'é biDiyin nilíinii doo yich'į' choda'ooł'į́į da índa Bóhólníihii doo hádaat'į́į da .
23:31:002:0	Azhą́ ákódajít'ée nidi , bí éí hóyą́ągo doo yá'át'éhígi áhodooníiłgo íidoolííł áádóó bizaadígíí doo łahgo ánéidoodlíił da , áko doo yá'áshóonii yaa nidaakaii bighan haz'ą́ą́dóóígíí áádóó doo ákwii át'éii yaa nidaakaigo háká anájahii yik'ijį' dooldził .
23:31:003:0	Áko Ííjip dine'é éí bíla' ashdla'ii danilį́ ; doo éí Diyin God danilį́į da áádóó bilį́į́' éí atsį' ádaat'é ; doo éí níłch'i át'ée da . Áko Bóhólníihii k'ídeeshchidgo áká ajilyeedii áádóó háká o'oolwodii t'áá ájíłah na'azhdínóodah índa t'áá ádzíłtso ádazhdoodįįł .
23:31:004:0	Jó , Bóhólníihii éí shich'į' haadzíí' , Náshdóítsoh bitsiijį' ditł'ooígíí áádóó biyázhí yił yidoolghałii shóyoost'e'go biyi' nahodi'ni'go éí bik'ijį' na'niłkaadii t'óó ahayóí dadoobah biniyé hágo dabi'doo'niidgo dabiiné'ígíí doo yináldzidígi át'éego índa hahóół'áhígíí doo yik'ee dínóolyisígi át'éego t'áá ałtsoní bee Bóhólníihii éí Dził Záíyan áádóó deílk'idii yik'ijį' doobah biniyé hadahodooleeł .
23:31:005:0	Tsídii akáá' dah naat'a'ígi át'éego t'áá ałtsoní bee Bóhólníihii éí Jerúsalem yá dooba ; ákót'į́įgo yisdéidoojih , índa yikáá'góó ch'íhoníle'go yaa áhályą́ą doo .
23:31:006:0	Ízrel dine'é yéego hak'ijį' nidaalteehii hach'į' ninádookah .
23:31:007:0	Jó , éí yoołkáałdi diné t'ááłá'í nítínígo ída'alyaii béésh łigaii áádóó óola bee ádaalyaii , éí nihíla' bee ádaah łaago bee ádił da'soohsiihii yóó'ádeidiyoołkał .
23:31:008:0	Áko índa Asíriya dine'é éí doo diné bidiltłish yik'ee naa'adínóodah da ; t'áá éí diltłish doo diné bíhígíí ábidoołdįįł , nidi diltłish yits'ą́ąjį' dah dínóochééł , áádóó bitsíłkéí éí t'óó naalte' dadooleeł .
23:31:009:0	Áádóó tsé bine' a'niichéehii yóó'adoolmas índa binanit'a'í danilíinii nídaaldzidgo bidah na'at'a'í yits'ą́ąjį' dah didoojah , ní Bóhólníihii ; bikǫ' éí Dził Záíyandi áádóó bidéédíljahii éí Jerúsalemgi hólǫ́ .
