23:35:001:1	Diyin God bidine'é hasht'éédadoolnííł
23:35:001:0	Honoojí áádóó kéyah hóółtseii yę́ę bił hodoozhǫǫł , índa halgaii éí bił hózhǫ́ǫgo bikáá'góó ch'ilátah hózhóón hadínóot'į́į́ł .
23:35:002:0	Áko lą'ígo bílátah da'iidoogahgo t'áá bił hózhónígíí yee hataałgo bił nihoozhǫǫh doo ; Lébanan kéyah yee ayóó ánóolninii áádóó Dził Kármel índa Shéran honíteel yee aláahdi hózhónígo bił haz'ánígíí éí baa didoot'ááł ; Bóhólníihii yee ayóó ánóolninii áádóó nihiDiyin God yee aláahdi át'éii yidooltsééł .
23:35:003:0	Bíla' doo dabidziilígíí bidziilgo ádaahłééh áádóó bigodta' doo dahółdzilígíí bidziilgo ádaahłééh .
23:35:004:0	Yéé' bik'ee bijéí nitséédaaltłi'ígíí ádabidohní , Danihidziil le' , t'áadoo nihił daayé'í ; jó , nihiDiyin God nihá k'éédidoo'níiłgo nihaa hodooleeł ; Diyin God t'áá bí k'éédidoo'nííł ; yisdánihidoonił biniyé nihaa hodooleeł .
23:35:005:0	Áko doo da'oo'íinii éí da'oo'į́į dooleeł áádóó bijédaahkałii da'didoots'į́į́ł .
23:35:006:0	Áádóó diné naaljį́į́d nilíinii bįįh nahalingo dah náníljį́įh doo , índa doo yádaałti'ii dahataał doo , háálá honoojíidi tó hadaazlį́į doo , áádóó tó ádingo haz'ánígi tó danílį́į doo .
23:35:007:0	Áádóó ni' ahidooltálígi tó siką́ą doo índa kéyah hóółtseiigi tó hadaazlį́į doo ; mą'ii danjahgóó tł'oh áádóó lók'aa' índa tł'ohtsoh hadínóot'į́į́ł .
23:35:008:0	Áádóó ákwii azdoolkǫ'go atiin doo , áko ákǫ́ǫ́ atiin dooleeł ; éí Diyingo Honít'i'ii hoolyée doo ; t'óó baa'ihii bee jiinánígíí doo ákǫ́ǫ́ ch'ízhdoogáał da ; Diyin God yee nihoní'áanii yik'ehgo deíkáhígíí bá át'ée doo ; doo ádahalyánígíí doo ákǫ́ǫ́ tádadikáah da doo .
23:35:009:0	Áadi náshdóítsoh bitsiijį' ditł'ooígíí , doodaii' naaldlooshii dahashkéii doo áadi hadoogáałgo yidooltséeł da , nidi bik'é niná'ílyáii áadi naaldeeh doo ,
23:35:010:0	áádóó Bóhólníihii yik'é niná'ídláii nináhidookah , índa hool'áágóó ił hózhǫ́ bitsiit'áagi dahólǫ́ǫgo dahataałgo Záíyanjį' nidookah ; ił hózhǫ́ áádóó baa ił hózhóonii bíí' daazlį́į' doo índa yínííł áádóó cha hasin bits'ádooldoh .
