23:47:001:1	Bábilan dine'é baa nahódóot'įįł
23:47:001:0	Bábilan bich'é'é bízháán naagháii nílíinii , wóshdę́ę́' hadanináahgo ni'dóó łeezh dibahí bii' nídaah ; Kaldíya dine'é bich'é'é nílíinii , bikáá'dóó nahat'áii ná ádin , áko yilzhólí áádóó ayóó ánóolninígíí doo nándi'níi da doo .
23:47:002:0	Tsé bee ik'ahí nitsaaígíí nídii'níiłgo bee ík'á ; ák'i'díltsóós ; ni'éé' niníi'jį' neel'ą́ągo tooh biyi'góó ch'ínínááh .
23:47:003:0	T'áá łiníchí'ígo t'áá aaníí t'óó naa yáhásin doo ; k'éndideeshdlíiłgo diné doo ła' doodzih da .
23:47:004:0	Nihik'é niná'ídláii nilíinii , éí t'áá ałtsoní bee Bóhólníihii áádóó Ízrel biDiyin nilíinii bee wójí .
23:47:005:0	Kaldíya dine'é bich'é'é nílíinii , chahałheeł bii'jį' dah diináahgo díníłhéelgo sínídáa doo , áko bee ídahólníihgo bił nidahaz'ą́ą́dóó asdzą́ą́ naat'ááh doo nándi'níi da doo .
23:47:006:0	Shidine'é t'áá íiyisí bich'į' sháhóóchįįdgo shíí' dooleełii yíłchǫ'go nílák'edíí'ą́ ; doo aa a'ááh nínízingóó t'áá shiidą́ą'dii hadaatihii danilínígíí yéego bich'į' nahoyíłnáá nít'éé' .
23:47:007:0	Áádóó ádíní , Hool'áágóó ahool'áágóó asdzą́ą́ naat'ááh nishłį́į doo . Áko díí doo nijéí biyi'di baa nitsísíníkéez da , doo nidi bee nidoot'ihígíí béénílniih da nít'éé' .
23:47:008:0	Éí bąą ni nił honeełnigo baa ádíínít'ánígíí , t'áá na'níle'dii hinínáago nijéí biyi'di ádíní , Shí honishłǫ́ áádóó doo ła' nááhódlǫ́ǫ da ; asdzání bąąh áhásdįįdii doo nishłį́į da doo , áádóó sha'áłchíní doo ła' shits'ą́ą́' ádoodįįł da .
23:47:009:0	Nidi t'áadoo hooyání ła'a jį́ díí naakigo haz'ą́ bił naa hodoolzhish ; éí na'áłchíní nits'ą́ą́' ádoodįįł índa bąąh áhásdįįdii dííleeł ; azhą́ álílee k'ehgo lą'ígóó nił ééhózin nidi , índa ninahagha' t'óó ahayóí nidi , éí bee atíndi'doolníiłii t'áá át'é nik'i hwiidooleeł .
23:47:010:0	Háálá doo yá'áshǫ́ǫ́góó ááníiłii baa jíínílíigo ádííníniid , Doo ła' shoo'íní da . Nibee hódzáanii áádóó nił ééhózinii éí nił náhásxizgo nijéí biyi'di ádííníniid , Shí honishłǫ́ áádóó doo ła' nááhódlǫ́ǫ da .
23:47:011:0	Éí bąą doo yá'ádaashóonii nik'i hwiidooleeł , áko bee bił yóó'ahodííłáałii doo nił bééhózin da doo , áádóó báhádzidii nik'ijį' dooleełgo nahjį' kodíílíłígíí doo bíninil'ą́ą da doo índa atíndoolíiłii doo nił bééhózinii t'áadoo hooyání nik'i hwiidooleeł .
23:47:012:0	Ániid nanináádą́ą́' ninahagha' nilíinii índa álílee k'ehgo nił ééhózinii bee nishínílnishii k'ad bee yiizįįh ; t'áá aaníígóó át'éego bee ná ína'iidoodił , índa t'áá aaníígóó át'éego bee ił yéé' áhodíílííł .
23:47:013:0	Lą'ígóó kót'é nidi'níigo bąą ch'ééh díníyá . Bíni'dii déést'į́į́' ádeił'íinii áádóó sǫ' deiníł'íinii áádóó dah néitį́į́h bik'ehgo áhodooníiłii yaa dahalne'ii deizįįh , áádóó díí t'áadoo le'é baa dahodiyoolzhishígíí bits'ą́ąjį' yisdádaniłteeh .
23:47:014:0	Jó , ehégod nidahalin doo ; kǫ' adabididoołk'ą́ą́ł ; kǫ' dah nídíno'ii bidziilii bits'ą́ąjį' doo yisdá'ádadidoo'nił da , áádóó tsííd yee nída'iidoodziłii ádin doo , doo nidi kǫ' diltłi'go yich'į' naháaztą́ą da doo .
23:47:015:0	T'áá ákót'éego ániid nanináádą́ą́' bił nidashínílnishii t'áá éí ná nida'iiłniih nít'éé' yę́ę t'áá bá nahaz'ą́ą́góó nídadoodleełgo doo ła' yisdándoołtéeł da .
