24:13:001:1	Sis niteelí yíchxǫ'ii binahjį' na'nitinii
24:13:001:0	Bóhólníihii kóshidííniid , Nílááh , sis niteelí na'at'ą́hí łigaii dits'idígíí bee ályaii ła' shóiníłt'eeh , áádóó áká nílzis , índa doo taah dííléeł da .
24:13:002:0	Áko Bóhólníihii bizaad k'ehgo sis niteelí ła' shóisíłt'e'go ádiníséłt'i' .
24:13:003:0	Áádóó naakidi aleeh góne' Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
24:13:004:0	Nídiidáahgo sis niteelí shóisíníłt'e'go ninázt'i'ígíí éí Yufréítiiz tooh nílínígóó dínáahgo áadi tsék'iz góne' nídíł'įįh .
24:13:005:0	Áko Bóhólníihii t'áá yee shich'į' haadzí'ígi át'éego dah diiyáago Yufréítiiz tooh nílínígíí bíighahdi nídíł'į́į́' .
24:13:006:0	Áádóó lą'í yiską́ą́dóó bik'ijį' Bóhólníihii áshidííniid , Nídiidáahgo Yufréítiiz tooh nílínígóó dínááh , áadi sis niteelí nídíł'įįh nidishníinii nídidíílééł .
24:13:007:0	Áádóó Yufréítiiz tooh nílínígóó níyá , áadi sis niteelí nídéł'į́į́' yę́ędóó hanéígeedgo nídiilá . Nít'éé' , sis niteelí yę́ę doo chonáánáot'įįh át'éégóó yíchxǫ' lá , jó'akon .
24:13:008:0	Ákohgo Bóhólníihii shich'į' haadzíi'go ání ,
24:13:009:0	Bóhólníihii kóní , Ákót'éego Júdah dine'é bibee áshohódli' índa Jerúsalem dine'é bibee áshohódli' yíchxǫ'go ádeeshłííł .
24:13:010:0	Díí doo yá'áshóonii dine'é shizaad doo t'áá k'ad deidiizts'ą́ą'ii , doo ádidahól'áágóó yildahii áádóó diyin dabidi'níinii yá nidaal'a'í áádóó yich'į' nidahałáii éí t'áadoo bee chonáádajoot'įįhígóó díí sis yíchxǫ'ígi ádajít'ée doo .
24:13:002:1	Tó abid hadadeezbinii binahjį' na'nitinii
24:13:011:0	Diné biníí' gónaa sis niteelí bineestihgo binázt'i'ígi át'éego Ízrel dine'é índa Júdah dine'é shidine'é danilį́įgo éí binahjį' ch'íshidit'áah doo , áádóó shaa ha'niih doo , índa ayóó át'éego bee shaa ha'niih dooleeł biniyé shąąh dah jizhjée'go áhooshłaa , ní Bóhólníihii , nidi doo da'íists'ą́ą' da .
24:13:012:0	Éí bąą díí saad bee bich'į' hadíídzih , Ízrel dine'é biDiyin God Bóhólníihii kóní , Tó abid t'áá át'é wáin bee hadadidoolbį́į́ł , áádóó ádandidooniiłgo , Tó abid ts'ídá t'áá át'é wáin bee hadadidoolbį́įłgo t'áá aaníí nihił béédahózin .
24:13:013:0	Áko índa ádahodidííniił , Bóhólníihii kóní , Shoo , díí kéyahgi kéédahojit'ínígíí ts'ídá t'áá ádzíłtso éí aláahgo naat'áanii David bibikáá'dóó nahat'áii yikáá' dah nídahidinoobįįłii áádóó nááda'iiłniihii áádóó áhodoonííł yaa dahalne'ii índa Jerúsalem kin haal'áagi kéédahat'íinii ts'ídá t'áá ałtso bił nidahondoohgo ádeeshłííł .
24:13:003:1	Júdah doo łahgo át'éégóó tsíńdíkeesgóó bąą yisnááh bee bił yéé' áhoolyaa
24:13:014:0	Áádóó azhé'é danilíinii índa aye' danilíinii bił ahínídahodiistsxis doo . Doo hak'édí deeshłeeł da áádóó ła' doo ááhodeesįįł da índa doo haa a'ááh dínéesįįł da , nidi ałtso atíhodeeshłííł , ní Bóhólníihii .
24:13:015:0	Da'íísółts'ą́ą́' , nihijaa' dadóoł'á áádóó t'áadoo ádaa dahoh'niihí , háálá Bóhólníihii haadzíí' .
24:13:016:0	Bóhólníihii nihiDiyin God t'ah doo chahałheeł áhálééhdą́ą́' índa dziłghą́ą́'góó chahałheełdi t'ah doo dadohgeehdą́ą́' , áádóó adinídíín há dasídóo'į́į'go adinídínígíí t'ah doo anoonééł bichaha'oh yileehdą́ą́' , t'ah doo t'áá íiyisí bee chahałheełgo áhálééhdą́ą́' baa dahohniih .
24:13:017:0	Nidi doo dadoohts'į́į́hgóogo nihi'áshodahódli'ígíí biniinaa shii' sizíinii nidahont'ingóó yicha doo , áádóó Bóhólníihii bidibé naakaii bidisnáago yóó'abidoojaa'ígíí biniinaa shinák'eeshto' t'áá íiyisí náálį́įgo yishcha doo .
24:13:018:0	Aláahgo naat'áanii índa bimá asdzą́ą́ naat'ááh nilíinii ábidiní , Nihinaat'á ch'ah nahjį' nihits'ą́ą́' kólyaa biniinaa ádaa hojiinołbá'í , í'dółnééh áádóó noohkeeh .
24:13:019:0	Shádi'áahjigo kin hadaas'áii bidáda'deeskaal . Doo ła'da ąą áńdeidoodlíił da . Júdah dine'é t'áá ałtso bidisná ; ts'ídá t'áá yíl'áá nít'éé' bidisná .
24:13:020:0	Náhookǫsjigo anighaałgo nich'į' yinéełii níníł'į́ . Dibé shijée'go naa deet'áanii éí nidibé ayóó ádanóolninii éíshą' háájí ?
