24:39:001:1	Jerúsalem kin haal'á bik'eh hodeesdlį́į́'
24:39:001:0	Zedekáíyah éí Júdah dine'é aláahgo yinant'áago náhást'éí náhááh góne' áádóó neeznáá nídízííd binih Bábilan dine'é aláahgo yinanit'a'í Nébukadnézzar áádóó bisiláo t'áá dah yinééł nít'éé' yił nínáago Jerúsalem yaatįįh yikaigo yináshzhiizh .
24:39:002:0	Zedekáíyah nant'áago ła'ts'áadah náhááh góne' áádóó dį́į́' nídízííd binih índa náhást'éí jį́į́ góne' kin haal'áago tsé binaago ahénátł'inii łahgo yigháda'aznil .
24:39:003:0	Bábilan dine'é aláahgo binanit'a'í éí naat'áanii biyaa sinilígíí yah aakaigo ata' gi dań'dítį́hígi dineezbin ; éí kódaolyé : Néíyergal-sharíízer áádóó Sámgar-nííbo , Sársiikim , Rábsaris nilíinii , Néíyergal-sharíízer , éí Rábmag nilíinii áádóó ałdó' Bábilan dine'é aláahgo binanit'a'í naat'áanii biyaa sinilígíí náádaała' yił dineezbin .
24:39:004:0	Ákohgo Júdah dine'é aláahgo binanit'a'í Zedekáíyah áádóó diné nidaabaahii t'áá ałtso díí dayiiłtsą́ągo tł'ée'go kin haal'áádóó dah díníidzood . Aláahgo naat'áanii bidá'ák'eh hayázhí bíighahgóó áádóó naaki t'áá áyídígóó ahąąh ítł'ingo bidáń'dítį́į́h góne' índa dzígai bich'į'go nídiijéé' .
24:39:005:0	Nidi Kaldíya dine'é bisiláo dabidínéeshchą́ą'go Jériko binaagi dzígaidi Zedekáíyah yił dadeezdéél , áko dahoołtsoodgo Héímath kéyahdi Ríblah kin haal'áagi Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar yaa dahazlóozgo ákwii há nihoní'ą́ .
24:39:006:0	Ákohgo Ríblahdi Bábilan dine'é aláahgo binanit'a'í éí Zedekáíyah hanááł haye'ké dayííghą́ą́' , áádóó Bábilan dine'é aláahgo binanit'a'í ałdó' Júdah dine'é naat'áanii danilíinii t'áá ałtso neistseed .
24:39:007:0	Áádóó ałdó' Zedekáíyah bináá' hayí'ííshiizhgo Bábilan kéyahgóó doodlóós biniyé béésh da'ahólzha'í yee ye'eztł'ǫ́ .
24:39:008:0	Kaldíya dine'é éí aláahgo naat'áanii bighan índa bidine'é t'áá ałtso dabighan adeideesk'ą́ą́' áádóó Jerúsalem binaa ahééda'astł'inii éí ts'ídá ałtso naa'adayiiskaad .
24:39:009:0	Siláo binanit'a'í nilíinii Nébuzar'éídan éí kin haal'áagi diné t'áá ákǫ́ǫ́ daadziihii áádóó diné áádahoost'įįdgo baa dahaaskai yę́ę t'áá óóltą'go yisnááh danilį́įgo Bábilangóó iinííłkaad .
24:39:002:1	Nébukadnézzar éí Jeremáíyah yaa áhályą́
24:39:010:0	Siláo binanit'a'í Nébuzar'éídan éí diné badahojoobá'íii t'áadoo le'é bee ádaadinígíí Júdah kéyahgi t'áá ákǫ́ǫ́ kéédahat'į́įgo áyiilaa áádóó ch'il na'atł'o'ii deíl'áii índa dáda'ak'eh yitaideez'ą́ .
24:39:011:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Jeremáíyah kódadoohłííł , níigo siláo binanit'a'í Nébuzar'éídan yich'į' haadzíí' ,
24:39:012:0	Nídadidohłóosgo yá'át'éehgo baa ádahołyą́ą doo áádóó doo haada dadoohłíił da . Kót'éego shá ádaohłééh , nihiłníigo t'áá ákót'éego bá ádadoohłííł .
24:39:013:0	Áko siláo binanit'a'í Nébuzar'éídan áádóó Nébushásban , Rábsaris nilíinii índa Néíyergal-sharíízar , Rábmag nilíinii áádóó Bábilan dine'é aláahgo binanit'a'í naat'áanii biyaa sinilígíí t'áá ałtso
24:39:003:1	Ííbed-míílek yisdándi'dooltééł bi'doo'niid
24:39:014:0	éí ákǫ́ǫ́ siláo dayííł'aadgo Jeremáíyah awáalyaadę́ę́' yił ch'éédaaskaigo Shéífan biye' Aháíkam biye' Gedaláíyah éí hooghangóó hoł nídoot'ashgo baa ho'diszįįd , áko diné bitahgi kééhojit'į́į́ nít'éé' .
24:39:015:0	Jeremáíyah awáalyaa dzizdá yę́ędą́ą́' Bóhólníihii hach' į' haadzíi'go kóní ,
24:39:016:0	Nílááh , Iithiyópiya dine'é nilíinii Ííbed-míílek bich'į' dínáahgo kóbidiní , Ízrel dine'é biDiyin God t'áá ałtsoní bee Bóhólníihii kóní , Jó , díí kin haal'á bik'ijį' haasdzíi'ii éí doo yá'áshónígi ádoolníiłii éí jínígíí biyi' t'áá ninááł bohodoolnííł . Yá'át'éhígi ádoolníiłii éí doo bohodoolníił da .
24:39:017:0	Bóhólníihii kóní , Nidi éí jínígíí biyi' nił yisdádeesh'ash áádóó diné béédanildzidii doo baa nidideesh'áał da .
24:39:018:0	Ts'ídá t'áá aaníí nił yisdádeesh'ash áádóó diltłish doo bee nidi'yoolyéeł da , nidi , Shaa jiisíníli'ígíí bee ne'iina' doodzih , ní Bóhólníihii .
