26:23:001:1	Asdzání t'áá ła' háá'áázh
26:23:001:0	Bóhólníihii shich'į' haadzíi'go kóní ,
26:23:002:0	Diné nílíinii , asdzání t'áá ła' háá'áazhgo t'ááłá'íígíí bimá ;
26:23:003:0	éí Ííjip kéyahdi ałjiłnii nilį́į́ nít'éé' ; t'áá ániid naa'aashdą́ą́' ałjiłnii nilį́į́ nít'éé' ; áadi lą́ą diné habe' há nídeineeznii' ni ; áadi lą́ą bízháán naagháii jílį́įgo diné habe' há nideizhch'id ni .
26:23:004:0	Alą́ąjį' naagháhígíí éí Ahólah wolyé ; bideezhí éí Ahólibah wolyé ; éí t'áá áłah shíí' silį́į́' , áko bich'é'éké índa biyáázhké niyiishchį́ . Ahólah éí Samériya ááhyiłní , áádóó Ahólibah éí Jerúsalem ááhyiłní .
26:23:005:0	Ahólah éí shíí' jílį́įgo ałjiłnii jílį́į́ nít'éé' ; hanaashiijí Asíriya dine'é kééhat'íinii bich'į' ajiłjił nít'éé' ;
26:23:006:0	nidaabaahígíí éé' tsídídééh nahalingo łichí'ígíí yii' naazhjéé' ; agháago naat'áanii danilíinii índa hashkééjí naat' ááh danilíinii éí t'áá ałtso dinééh bíká laanaa hwiindzinii danilį́ ; łį́į́' yee nidaakaii łį́į́' dabíyeeh .
26:23:007:0	Asíriya dine'é bitahdóó diné danilíinii t'áá ałtso yaa ádeet'ą́ągo t'áá bí nízinígi ádabííł'įįd ; bi'eda'alyaii t'áá ałtso bich'į' diné bił ałch'į' dah dajilwo'ii bee ázhdoolchxǫ' .
26:23:008:0	Ííjip kéyahdi hóyoołkááł yę́ędą́ą́' ajiłjiłgo baa hajííyáii éí t'áadoo nahjį' nizhdiní'ą́ą da , háálá ch'ikę́ę́h bízháán naagháii jílį́į́dą́ą́' diné éí habe' nideich'idgo áádóó yídin danilíinii yee haa naakaigo hoł nídabiilkááh nít'éé' .
26:23:009:0	Éí bąą Asíriya dine'é bił ałch'į' dah dajilwo'ii baa hodiní'ą́ .
26:23:010:0	Díí lą́ą bił da'ahizhdoolyá ni ; hayáázhké índa hach'é'éké haghadayiis'nil , áko diltłish yee dahwiisxį́ ; kót'éego haa hwiiníst'įįdgo éí áádóó bik'ijį' kó'óolyéenii yę́ę ha'ní hazlį́į́' .
26:23:011:0	Azhą́ hadeezhí Ahólibah díí t'áá ałtso bił bééhoozin nidi , éí haláahgo diné yił ałch'į' dah daalwo' nít'éé' , índa haláahgo ałjił nít'éé' , áko éí bádí yiláahgo tsi'naayá .
26:23:012:0	Asíriya dine'é agháago naat'áanii danilíinii , índa hashkééjí naat'ááh danilíinii , nidaabaahii éí éé' ayóó ádanoolningo yee hadadít'éego łį́į́' yee nidaabaahii łį́į́' dabíyeehgo éí t'áá ałtso dinééh bíká laanaa hwiindzinii ádaat'éego yich'į' dah yilwo' nít'éé' .
26:23:013:0	Áko jííchxǫ'go shił bééhoozin ; éí asdzání t'áá áłah t'ááłáhí góne' ałkéé' íí'áázh .
26:23:014:0	Áko tsé yistł'ingo ahééní'áhígíí éí bąąhjį' Kaldíya dine'é bida'alyaago áádóó bi'éé' daalchíi'go yiyiiłtsą́ , áko t'óó yówehda ałjiłnii nilį́įgo tádííyá ;
26:23:015:0	éí diné sis binídaazt'i' , bitsii' nídaazt'i'ígíí éí dah nidaasaał , t'áá ałtso naat'áanii nidahalin , Kaldíya kéyahdi nidahaazhchį́įgo Bábilan dine'é danilį́įgo bida'alyaa .
26:23:016:0	Éí yiyiiłtsą́ą́ nít'éé' yich'į' dah yilwo'go yaa nídiidzá , áko Kaldíya kéyahgóó hane' nidei'áii ayiis'a' .
26:23:017:0	Nít'éé' Bábilan dine'é haa yíkaigo tsásk'eh bikáa'gi yidádanoolníinii yee haa naaskaigo dahóółchxǫ' , áko t'óó haa'ih ádahoolaago bich'į' doo ákójít'éégóó bits'ą́ąjį' dashdiiyá .
26:23:018:0	T'áadoo bahat'aadí ałjiłnii nilį́įgo áádóó t'áá łichí'ígo naagháago , t'áá hádí doo niizį́'ígi át'éego hó ałdó' doo honiizį́į' da .
26:23:019:0	Azhą́ bich'į' ákósdzaa nidi , ániid naagháádą́ą́' Ííjip kéyahdi ałjiłnii nilį́ yę́ędą́ą́' yénáálnii'go t'óó tsé'édinda ałjiłnii yileeł nít'éé' .
26:23:020:0	Jó , bił ałch'į' dah danilwo'ii éí télii yee alizhii nitsxaazgo bee dahólónígi át'éego áádóó łį́į́' nahalingo bíígąsh dahólóonii bich'į' yóó'i'joolcha' .
26:23:021:0	Kót'éego ániid nanináádą́ą́' Ííjip dine'é éí nibe' nándeizhch'idii áádóó nibe' nánídeineeznii'ii bídin nílį́ .
26:23:022:0	Éí bąą Bóhólníihii Diyin God kóní , Ahólibah yinílyéii , diné bił ałch'į' ádant'íinii doo nił aaníígóó bits'ą́ąjį' dah diniyáii éí nich'į' nábidideeshkah , áádóó t'áá ałtsodę́ę́' ninídoolzhish .
26:23:023:0	Bábilan dine'é áádóó Kaldíya dine'é t'áá ałtso áádóó Pííkad dine'é áádóó Shówa dine'é áádóó Kówa dine'é índa Asíriya dine'é t'áá ałtso éí tsíłkéí bídin hóyée'ii , agháago naat'áanii danilíinii índa hashkééjí naat'ááh danilíinii , t'áá ałtso bídahólníihii áádóó łį́į́' yee nidaabaahii éí t'áá ałtso łį́į́' bił nihidoojah .
26:23:024:0	Yee nidaabaahii áádóó tsindaabąąs bijáád naakiígíí áádóó tsindaabąąs índa diné ayóó ánéelą́ą'go yił náhookǫsdę́ę'go nihaa doonééł , áko t'áá ałtsodę́ę́' naagé áádóó naagééd dah deí'aahgo áádóó béésh ch'ah dabich'ahgo anadanihidooł'įįł . Áko yee nihaa nídadóot'įįłígíí baa dideesh'ááł áádóó t'áá bí bik'ehgo nihaa nídadóot'įįł .
26:23:025:0	Łe'nisingo t'óó hóyé'ígi át'éego nihaa nídadóot'įįłígíí biniyé t'áá íiyisí doo shił hózhónígíí nihik'ijigo nídeesxis ; nihíchį́į́h deidiyoogish , nihijaa' deidiyoogish , yisdádahastł'áhígíí éí diltłish bee nidadootsił ; nihiye'ké índa nihitsi'ké éí adeidiyoo'ish , áádóó nihitahdóó daadziihígíí éí adahididoolk'ą́ą́ł .
26:23:026:0	Nihi'éé' ałtso nihąąh deídóobeeł índa nihilátsínída , yoostsahda , yoo'da t'áá íiyisí yá'ádaat'éehii éí adeidiyoojih .
26:23:027:0	Ííjip dine'é doo bich'į' anáádadoohgałígíí áádóó doo bénínáádadoołnihígíí biniyé Ííjip kéyahdi ałjiłnii bídahooł'ą́'ígíí áádóó adáhonooníinii bídahooł'ą́'ígíí éí áádę́ę́' bił noonánígíí kót'éego nihits'ą́ą́' ádeeshdįįł .
26:23:028:0	Dine'é bik'ee dadinohniihii áádóó doo danoozį́'ígíí éí baa nihidideesh'ááł , jó'akon , ní Bóhólníihii Diyin God ;
26:23:029:0	nihik'ee dadiniihgo nihaa nídaat'į́į doo índa bindaałnishgo bee bilááh nídaasdlį́į'ii éí adeidiyoojih áádóó t'áá łichí'ígo nidaahkaigo adanihidoolííł índa t'óó baa'ihgo ááníłígíí áádóó ałjiłnii nílį́įgo t'áá łiníchí'í nits'ą́ą́' yáá'di'doołtsos .
26:23:030:0	Ał'ąą dine'é bich'į' íłjił nít'é'ígíí lą́ą áádóó bi'eda'alyaii yich'į' nidahałáhígíí atah bich'į' nahółá nít'é'ígíí biniinaa t'áá ni bidáninilníinii índa ałjiłnii nílíinii t'áá éí kót'éego nik'éidoot'ih .
26:23:031:0	Nádí naayáhą́ągóó t'áá ákǫ́ǫ́ yíníyá , áko éí bąą bibee adlání nílák'e deesh'ááł .
26:23:032:0	Bóhólníihii Diyin God kóní , Nádí bibee adlání nízaadgóó biih hodzáanii áádóó nitsaaígíí éí t'óó ahayóí bii' hólóonii bee adíídlį́į́ł ; diné t'óó naa daadloh doo , áádóó ná nidahałt'i' doo .
26:23:033:0	Nił honeezdogo t'áá íiyisí yínííł nanináa doo ; bik'ee ił nihooyeehii áádóó t'áadoo siláhígóó ádahale'ii bee adlání éí nádí Samériya bibee adlání át'é .
26:23:034:0	Éí díídlį́įłgo ałtso bii' hadííts'ǫs áádóó dííłts'iłgo ni'aał doo índa nibe' hadííłdlał ; shí Bóhólníihii Diyin God kót'éego bee haasdzíí' .
26:23:035:0	Éí bąą Bóhólníihii Diyin God kóní , Sheisínínahígíí áádóó nidinínáágóó ashiyíníłhanígíí biniinaa bidáhonooníinii baa nisíníyáii índa íłjił yę́ę bik'ee ti'hoyíníih doo .
26:23:036:0	Áádóó Bóhólníihii áshíłní , Diné nílíinii , Ahólah áádóó Ahólibahásh baa nídíít'įįł ? Áko doo yildinígi áát'įįdii bee bił hólne' ,
26:23:037:0	háálá éí t'áá áłah adíílá áádóó diné neistseedgo bíla' dił bee łichíí' ; bi'eda'alyaii yich'į' nahasáá' áádóó biyáázhké shá deizhchíinii eda'alyaii bich'iyą' biniyé yich'į' kǫ' yee náádayiisnii' .
26:23:038:0	Áádóó ałdó' kónááshijííł'įįd : shihodiyingo haz'ą́ t'áá ła'óo jį́ dajííłchxǫ' ; shiháá'áyį́į́h jį́ t'óó baa'ihgo índa doo ílį́į́góó ájiilaa .
26:23:039:0	Jó , bi'eda'alyaii yich'į' ba'áłchíní nááyiisnii'go nideistseed t'áá éí bijį́ , shikin bii' sohodizin góne' yah íí'áazhgo doo ílį́į́góó áyiilaa , áko shikin bii' sohodizin góne' kwáát'įįd , jó'akon .
26:23:040:0	Diné nidi nízaadę́ę́' dookah biniyé ákǫ́ǫ́ bíká o'ooł'a' , áádóó yíkai , jó'akon ; ákódzaago nisoobį́į́' áádóó nihinát'éézh wooshį́į́' índa bídazdilidgo bik'i nidazdidlaadii bee na'áshidoohch'ąą' ,
26:23:041:0	bikáá' adání bikáa'gi tsin bijeeh dilidgo łikání halchingo nááhániihii shíhígíí áádóó she'ak'ah nííníką́ągo éí bich'į' ił ídlį́į́jí bikáá' dah asdáhí daalcháazhgo danineezígíí si'ą́ągo áádóó dah sookéé nít'éé' .
26:23:042:0	Diné t'áadoo ádayóle'ígóó nidaakaii t'óó ahayóí haa áłah nilį́į́ nít'éé' ; diné t'áá bita'ígi ádaat'éii áádóó da'adláanii honoojíídę́ę́' nidayiizh'eezh ; éí diné látsíní hálátsíín yąąh nideiznil , índa ch'ah ayóó ánóolninii t'áá ájíłah hak'i deideeznil .
26:23:043:0	Áko ádíshní , Diné t'áá íídą́ą́' bił da'jiłjił nít'ée'go , ákoósh k'ad bił da'ahizhdilyé ?
26:23:044:0	Ałjiłnii diné bił yah anídaakah nít'é'ígi át'éego diné bił yah anídaakah nít'éé' ; kót'éego bidáhonooníinii yaa nidaakai dooleeł biniyé Ahólah índa Ahólibah , asdzání t'óó baa'ihii nilíinii , yił yah anídaakah nít'éé' .
26:23:045:0	Nidi asdzání adííláii bee bá nihwiit'aahii índa asdzání diné neiłtseedii bee bá nihwiit'aahii éí bee diné t'áá ákogi ádaaníiłii haa nídadóot'įįł , háálá éí t'áá ájíłah azhdilé áádóó diné nidziłtseedgo hála' dił bee łichíí' .
26:23:046:0	Éí bąą Bóhólníihii Diyin God kóní , Diné t'óó ahayóí haa doonéełgo ółééh , áko éí bik'ee hoł yée' doo , áádóó binaalye'é ałtso bighahidoo'niłgo ółééh .
26:23:047:0	Áko diné t'óó ahayóí haa nínáhígíí hoł nidazdiyoołniił , áádóó bidiltłish yee tadahwiidínóołkał , índa haye'ké áádóó hatsi'ké nideidoołtsił , áko haghan adeididoołk'ą́ą́ł .
26:23:048:0	T'áá ałtso bił ahaa naołdeehgo bee tsi'nisoohkaígíigi át'éego asdzání t'áá ałtso bił béédahózingo doo t'áá ałtso yił ahaa nináánáldeeh da doo biniyé kót'éego kéyah t'áá náhwiist'ą́ą́ nít'éé' bikáá'góó t'áá ałtso yił ahaa naaldeehii ádingo ádeeshłííł .
26:23:049:0	Áko t'áá ałtso bił ahaa naołdeehígíí nihik'ijį' nídoodleeł , áádóó ádił nida'ayohsíihgo bi'eda'alyaii bich'į' nidahohłáhígíí bik'ee ti'nídahwiidoohnih , áko índa shí Bóhólníihii Diyin God nishłį́įgo nihił béédahodoozįįł .
