26:33:001:1	Diné ha'ídées'į́'í binaanish dooleełii
26:33:001:0	Náá'áłdó' Bóhólníihii shich'į' haadzíi'go ání ,
26:33:002:0	Diné nílíinii , nidine'é bich'į' handziihgo ábidiní , Bóhólníihii ání , Łahgo kéyah si'ą́ągi diltłish nítą́ągo áádóó ákwii diné kéédahat'ínígíí bitahdóó diné ła' bá ha'ídées'į́į' dooleełii nideistį́įgo
26:33:003:0	hakéyahjį' diltłish bił oonéełgo éí diné há haideel'į́į'go deenásts'aa' bidee' bee í'dílzoołí yee ádidooniiłgo diné yi'doołnih ,
26:33:004:0	áko t'áá háiida deenásts'aa' bidee' bee í'dílzoołí ánínígíí yidiizts'ą́ą'go nidi bee bi'ílnii'ígíí éí t'áadoo yaa ná'áhodéest'į́į́'góogo diltłish bee ho'diisyį́įgo t'áá hó hadił bee hohodiit'i' doo .
26:33:005:0	Deenásts'aa' bidee' bee í'dílzoołí áníigo jidiizts'ą́ą́' bee ho'ílnii'ígíí éí t'áadoo bi'jiilaa da , áko ho'diisyínígíí t'áá hó hadił bee hohodiit'i' doo . Nidi bee ho'ílnii'ígíí bi'jiilaago éí jidoodzih nít'éé' .
26:33:006:0	Nidi ha'ídées'į́'í aadę́ę́' diltłish bił da'ínéehgo yiyiiłtsą́ągo áádóó deenásts'aa' bidee' bee í'dílzoołí t'áadoo yee ádííniidgóogo diné t'áadoo bida'asnii' da dooleeł . Áko diltłish bił anínáago diné t'áá háiida ła' seesyį́įgo éí diné seesyínígíí doo ákwii áát'įįdii t'áá bił seesyį́į dooleeł , nidi ha'ídées'į́'í éí diné seesyínígíí bidił bee hohodiit'i' doo .
26:33:007:0	Áko ni , diné nílíinii , Ízrel dine'é bá ha'ídées'į́į'ii ániishłaa ; t'áá ooleełee nich'į' yáshti'go nídiits'į́įhgo shá bee i'iyíłníih doo .
26:33:008:0	T'áá íiyisí doo yá'áshóonii nílíinii , Ts'ídá t'áá aaníí dadíítsaał , bidishníigo áádóó diné t'áá íiyisí doo yá'áshóonii yee át'éii yits'ádoogááł biniyé t'áadoo bi'ííníłnii'góó , áko diné t'áá íiyisí doo yá'áshóonii doo ákwii áát'įįdii t'áá yił dadootsaał , áádóó éí diné bi'diisyínígíí bidił bee nihodiit'i' doo .
26:33:002:1	Diyin God át'éii éí t'áá ákogi át'é
26:33:009:0	Nidi diné t'áá íiyisí doo yá'áshóonii , Na'át'e' yóó'adí'aah , bidiníigo bee bi'ííníłnii'go , nidi ba'át'e'ígíí t'áadoo yóó'iidíí'ą́ą́góogo éí doo ákwii áát'įįdii t'áá yił dadootsaał , nidi ni éí doo bee nik'íhodoot'ah da .
26:33:010:0	Áko ni , diné nílíinii , Ízrel dine'é kóbidiní , Kódadohníi ni' , Bee haz'áanii k'idahiitíhígíí áádóó ádił nida'ayiilzíhígíí bik'ee doo asohdadeel'įįd da ; ákoshą' haa yit'éego dahinii'náa dooleeł ?
26:33:011:0	Kóbidiní , Ts'ídá t'áá aaníí hinishná ; ákót'éego diné t'áá íiyisí doo yá'áshóonii daaztsą́ągo ts'ídá doo baa shił hózhǫ́ǫ da , ní Bóhólníihii Diyin God ; nidi diné t'áá íiyisí doo yá'ájíshóonii ha'át'e'ígíí yóó'azhdidoo'áałgo jiináago baa shił hózhǫ́ . T'áá íiyisí doo yá'áshǫ' baa naahkaígíí yóó'adahidoh'aahgo bits'ánóhkááh , bits'ánóhkááh , Ízrel dine'é nohłíinii ; ha'át'íísh biniyé dadínóohnééł ?
26:33:012:0	Áko ni , diné nílíinii , nidine'é ábidiní , Diné t'áá ákogi át'éii bee haz'áanii doo yik'eh hół'į́į da silį́į'go t'áá ákogi ájoonííł nít'éé' yę́ę doo yisdáhodoołtéeł da , áádóó diné doo yá'áshóonii bidoo yá'áshǫ' yits'áníyáago bidoo yá'áshǫ' yee doo ádił náá'doolzih da , índa diné t'áá ákogi ájít'éii ádił ni'dziilzíihgo t'áá ákogi ájoonííł nít'éé' yę́ę bee jiináago doo bízhneel'ą́ą da doo .
26:33:013:0	Diné t'áá ákogi át'éii , T'áá aaníí hinínáa doo , bidííniidgo , nidi t'áá ákogi ááníłígíí yaa dzólíigo áádóó t'áá náábíláahjį' doo ákwii áát'įįdgóogo t'áá ákwii ádziidzaa yę́ę éí doo há bééhodoonih da , nidi doo ákwii ájíít'įįdii biniinaa dazdootsaał .
26:33:014:0	Náá'áłdó' diné t'áá íiyisí doo yá'áshóonii , T'áá aaníí dadíítsaał , bidííniidgo , nidi ádił ni'dziisíi'ii yóó'azhdíí'ą́ągo áádóó bee há haz'áanii baa nijigháago t'áá ákǫ́ǫ́ ájooníiłgo ,
26:33:015:0	áádóó diné t'áá íiyisí doo yá'áshóonii bąąh niilyáii aa néídláago índa diné yigha'ídláii yaa néídláago , áádóó bee nihwiist'áanii yik'ehgo hináago índa doo ádił ni'iilzííhgóó éí diné doo dadootsaał da , nidi t'áá aaníí hináa doo .
26:33:016:0	Ádił ni'dziisíi'ii t'ááłá'í nidi doo bee hach'į' ha'doodzih da ; t'áá áho'di'nínígi ájít'éé nít'éé' áádóó t'áá ákwii ájít'éé nít'éé' , áko éí t'áá aaníí jiináa dooleeł .
26:33:017:0	Nidi nidine'é bits' ą́ą́dóó oochíiłii éí , Bóhólníihii yee át'éii doo ákǫ́ǫ́ át'ée da , daaní . Nidi t'áá bí yee ádaat'éii doo ákǫ́ǫ́ ádaat'ée da .
26:33:018:0	Diné t'áá ákogi át'éii t'áá ákǫ́ǫ́ ájooníiłii yóó'azhdíí'ą́ągo áádóó doo ákwii ádziidzaagóogo éí bik'é dazdootsaał .
26:33:019:0	Áádóó diné t'áá íiyisí doo yá'áshóonii bidoo yá'áshǫ' yóó'iidíí'ą́ągo áádóó bee bá haz'áanii yaa naagháago t'áá ákǫ́ǫ́ ááníiłgo éí diné hináa dooleeł .
