26:47:001:1	Kin bii' sohodizindóó tó hasht'éé'ádléehii ch'ínílį́
26:47:001:0	Áádóó kin bii' sohodizin bich'é'étiinjį' shił ninát'áázh , nít'éé' shoo , ch'é'étiin biyaadę́ę'go tó ła' ch'ínílį́ áádóó ha'a'aahjigo íílį́ ; kin bii' sohodizin éí ha'a'aahjigo ch'é'étiingo si'ą́ ; t'áá éí nish'náájígo biyaadę́ę́' tó ch'ínílį́įgo bikáá' náá'iiniihí si'ánígíí shádi'ááhjígo ahéénílį́ .
26:47:002:0	Náá'ákóne' náhookǫsjigo dáń'dítį́hígíí ákóne' shił ch'ínáánát'áazhgo ha'a'aahjigo tł'óo'di dáń'dítį́hígíí áajį' shił nináánát'áázh , áko dáń'dítį́hígíí biyaadi nish'náájígo tó ch'ínílį́ .
26:47:003:0	Éí áádóó tł'óół bee í' neel'ąąhí t'áá yoozǫ́ǫsgo ha'a'aahjigo t'áá tó íílį́į́góó naadiindi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan hastą́diin ké silá ákónízahjį' shił niní'áázh ; náá'ákóne' tó nílínígíí tsé'naa shił niní'áázh nít'éé' shikétsį́įgo tó néés'ąąd .
26:47:004:0	Éí áádóó tł'óół bee í'neel'ąąhí t'áá náás nááyoozǫ́ǫsgo shił dah náádiit'áázh , áko naadiindi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan hastą́diin ké silá ákónízáágóó shił nináánát'áázh ; áadi shił tsé'naa nináánát'áázh nít'éé' shigodta'go tó néés'ąąd . Éí áádóó shił dah náádiit'áazhgo tł'óół bee í'neel'ąąhí t'áá nááyoołt'ihgo , áko naadiindi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan hastą́diin ké silá ákónízáágóó shił nináánát'áázh , áádóó tsé'naa shił nináánát'áázh nít'éé' shiníi'go tó néés'ąąd .
26:47:005:0	Áádóó shił dah náádiit'áazhgo naadiindi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan hastą́diin ké silá ákónízáágóó shił nináánát'áázh nít'éé' áadi tooh nílį́į́ lá ; doo ha'naa noosha' át'ée da ; tó de adínées'ąąd ; t'áá bii' ni'jółkǫ'ígi íídéetą́ą́' ; doo ha'naa nijóya' át'ée da .
26:47:006:0	Áádóó áadi áshíłní , Diné nílíinii , díísh k'ad yiniłtsą́ ? Áadi índa t'áá tooh nílínígíí bibąąhgóó nát'ą́ą́' shił nát'áázh .
26:47:007:0	Nát'ą́ą́' nánísdzáago tooh nílínígíí ałts'ą́ą́hjígo tsin t'óó ahayóí yíl'áago yiiłtsą́ .
26:47:008:0	Áádóó áshíłní , Tó nílínígíí éí ha'a'aahjigo nahós'a'góó íílį́įgo honoojí biih yílį́į́dóó tónteel biih yílį́ , áko tónteel dík'ǫ́ǫzhii łikango ánéidoodlííł .
26:47:009:0	T'áá tooh nílį́į́góó dahináanii dah nida'asołgo kéédahat'į́į́góó éí dahináa doo áádóó łóó' t'óó ahayóí nídínóot'į́į́ł , háálá díí tooh áajį' íílį́ índa éí tónteel łikan dooleeł , áko tooh t'áá nílį́į́góó t'áá ałtsoní dahináa doo .
26:47:010:0	Engíídai Enégleiyimjį' tónteel bibąąhgóó łóó' hadayiileehígíí áádóó łóó' hadayiiłtsósígíí nízį́į doo ; ákwe'é łóó' hadahaltsóós biniyé haz'ą́ą doo , Ayóó'át'é Tónteel hoolyéii éí bii' łóó' yíl'áhígi át'éego ákwii łóó' ał'ąą ádaat'éii ayóó ánéelą́ą́' bee áda'azįįd doo .
26:47:011:0	Nidi tónteel bibąąhgóó tó hashtł'ishgo t'áá sahdii naazkánígíí éí yá'át'éehgo doo ádadoolníił da ; éí t'áá dadók'ǫ́ǫzhgo naazyį́įgo áshįįh biniyé doo baa náhódóot'įįł da .
26:47:002:1	Kéyah binídahasdzoígíí áádóó hadahwiisdzohígíí
