26:6:001:1	Ízrelgi daadził bik'ijį' náasdi áhodoonííł baa hane'
26:6:001:0	Áádóó Bóhólníihii bizaad diséts'ą́ą'go kóshíłní ,
26:6:002:0	Diné nílíinii , Ízrel dine'é bidził naaznilgóó díní'į́į'go ábidi'doolníłígíí bee bik'ijį' handziihgo
26:6:003:0	kódíní , Ízrel dine'é bidził naaznilii danoh łíinii , Bóhólníihii Diyin God áníinii deísółts'ą́ą́' : Dził naaznildi dayílk'idgóó , dabíníkoohgóó índa dahoníts'aa'góó kéédahoht'íinii , Bóhólníihii Diyin God kónihiłní , Shí , t'áá shí diltłish bee atínihideeshłíiłgo dah daask'id bighą́ą'di ádaalyaaígíí atídadeeshłííł .
26:6:004:0	Bikáá' náá'iiniihí danihíi'ii binaagóó doo siláhí da doo ; jį́honaa'éí bida'alyaago bich'į' nidahohłáhígíí ałtso dadidoolzéí áádóó nihitahdóó diné nidaaztseedii éí eda'alyaii bidáahjį' ahideeshkał .
26:6:005:0	Ízrel dine'é bits'íís daneeznáanii eda'alyaii bich'į' nidahohłáhígíí bidáahjį' ałk'ijį' ahidínóodahgo ádeeshłííł ; bikáá' náá'iiniihí nisoołnilii éí dabinaagóó danihits'in nihideideeshkał .
26:6:006:0	Nihibikáá' nááda'iiniihí dadoolchxǫǫł áádóó binaagóó doo siláhígóó ádahodoolnííł áádóó eda'alyaii bich'į' nidahohłáhígíí ahiih nídadooljishgo atídadoolnííł áádóó jį́honaa'éí bida'alyaago bich'į' nidahohłáhígíí k'ídahidootsxił índa nihinaanish k'ééda'doolchxǫǫł biniyé nihił dah nahaz'ą́ą́góó ákǫ́ǫ́ kin hadaas'áhígíí kints'iil t'éí dah naazhjaa'go ádahodoolnííł áádóó dah daask'id bighą́ą'di ádaalyaaígíí doo siláhí da doo .
26:6:007:0	T'áá nihitahgóó nidabiditseedígíí naa'ahindéeh doo , áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:6:008:0	Kéyah naaznilgóó tanihidi'nooskaadgo ła' nisoozį́ ; ana'í bidiltłish baa dahididoołwoł ; éí ákódaadzaaígíí áádeesįįł .
26:6:009:0	Nihí yisdádahinoochą́'ígíí ał'ąą dine'é bitahgóó yisnááh dasoolį́į'go shéédaołniih doo ; jó , dabijéí yee ajił k'ehgo adádanoolníigo áádóó eda'alyaii ajił k'ehgo yidádanoolníigo deiníł'íinii shits'ádahaaskaigo biniinaa yínííł naashá . Doo yildinígi át'éego ádił nida'iisí'ígíí yiniinaa ák'ee dadi'niih doo .
26:6:010:0	Ákohgo , Bóhólníihii nishłį́ áádóó doo yá'át'éhígi ánihideeshłííł , hodííniidii doo t'áadoo biniyéhígóó haasdzíi'go hoł béédahodoozįįł .
26:6:011:0	Bóhólníihii Diyin God kóní , Ízrel dine'é éí doo yildinígi át'éégóó ádił nida'iisí'ígíí t'áá ałtso biniinaa atihíláane' ! diníigo bik'ee ahínéika' áádóó nihínídiiltał , háálá diltłish bee , dichin bee índa naałniih bee atího'dilnééh .
26:6:012:0	Nízaadi nijigháii naałniih bik'ee dazhdootsaał ; t'áá áyídígóó nijigháii diltł ish bee hodi'yoolyééł ; t'áá ákwe'é nijigháii hak'i dah adishjée'go dichin hodiyoołhééł ; kót'éego t'óó báhádzidgo hach'į' hashké niisdzį́'ígíí bi'deeshłííł , ní Bóhólníihii .
26:6:013:0	Bikáá' nááda'jiiłniihígóó índa eda'alyaii bich'į' nidahojiłáhígóó , dah daask'id t' áá ałtso bighą́ą́'góó índa dziłghą́ą'di t'áá ałtsogóó , tsin dootł'izh naazkaadii t'áá át'é dabiyaagóó índa chéch'il díłch'ilgo naazkaadii t'áá ałtso biyaagóó áádóó eda'alyaii bich'į' nidahojiłáhígíí tsin bijeeh dilidgo łikání halchinii t'áá háádę́ę́' shį́į́ bich' į' nááda'jiiłniihgo nahaz'ánígóó hodine'é nidaaztseedii naazhjée'go daołtsą́ągo Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:6:014:0	Áádóó hak'ijį' k'ídideeshchiłgo hakéyahgi kéédahojit'ínígíí t'áá át'é Díblath bich'į' honoojí doo naagháhígóó haz'ánígíí biláahgo át'éego doo naagháhígóó áhodeeshłííł , áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
