27:5:001:1	Honit'ahdi ak'e'ashchínígíí
27:5:001:0	Aláahgo naat'áanii Belsházar éí hakéé'dóó bídahólníihii miil yilt'éego yá ada'íísįįd , índa miil yilt'éego dabinááł wáin yoodlą́ą́' .
27:5:002:0	Belsházar wáin dzizlįhgo hazhé'é Nébukadnézzar yę́ę Jerúsalemgi kin bii' sohodizin biyi'dóó óola łeets'aa' índa béésh łigaii łeets'aa' ch'íyiizhjaa'ii nináhidoojihgo bee hadzoodzíí' , áko aláahgo naat'áanii áádóó hakéé'dóó bídahólníihii índa hwe'asdzą́ą́ danilíinii áádóó hwe'asdzą́ą́ dajíł'ínída éí yee da'doodlį́į́ł .
27:5:003:0	Ákohgo óola łeets'aa' índa béésh łigaii łeets'aa' éí Jerúsalem kin haal'áagi Diyin God bikin bii' sohodizin biyi'dę́ę́' ch'íheeshjaa'ígíí nidahaashjaa'go éí aláahgo naat'áanii áádóó naat'áanii danilíinii , hwe'asdzą́ą́ danilíinii áádóó hwe'asdzą́ą́ dajíł'ínída éí yee da'oodlą́ą́' .
27:5:004:0	Wáin deidlą́ągo óola índa béésh łigaii , béésh łitsoii , béésh nitł'izii áádóó tsin índa tsé bee diyin bééda'alyaago yaa dahaznih .
27:5:005:0	Nít'éé' t'áadoo hooyání yílá léi' yit'íní silį́į'go aláahgo naat'áanii bee bóhólníihgo haz'ą́ągi bikin biyi'dę́ę́' yishdlézhígíí bik'ijį' bee hool'iní bá íí'áhígíí binaashiijí ak'e'ashchį́ , áádóó aláahgo naat'áanii éí yílá ak'e'ałchíigo yiyiiłtsą́ .
27:5:006:0	Áko aláahgo naat'áanii éí yik'ee tsídinoolyizgo łahgo ánoosníí' áádóó bik'ee bił yée'go tsídeezkééz ; bitah hoditłidgo bigod ahídínídahgo bitah doo hwiina' da .
27:5:007:0	Ayóó íits'a'go aláahgo naat'áanii hadoolghaazhgo ání , Déest'į́į́' ádeił'íinii , Kaldíya dine'é dahóyáanii índa náásgóó ádahodooníiłii yaa halne'ii t'áá ałtso de noh'éésh . Áko aláahgo naat'áanii éí Bábilandóó diné dahóyáanii áyidííniid , T'áá háiida díí bee ak'e'ashchínígíí yízhdóołtahgo ááhyiłníinii bee shił hojoolne'ígíí éí éé' tsídídééh nahalingo łichí'ígíí bee hahodi'doolnííł índa óola béésh da'ahólzha'í hazénázt'i'go táá' góne' aláahgo bee óhólníihgo bił haz'áanii binazh'nt'áa doo .
27:5:008:0	Áko aláahgo naat'áanii bidiné dahóyáanii t'áá ałtso yah aheeskai , nidi bee ak'e'ashchínígíí ch'ééh dayółta' áádóó ááhyiłníinii ch'ééh yik'ida'diitįįh .
27:5:009:0	Ákohgo aláahgo naat'áanii Belsházar ayóó át'éego niseedzáago łahgo ánoosníí' índa bídahólníihii ałdó' t'áá íiyisí t'óó bił dahóóląąd .
27:5:010:0	Áko aláahgo naat'áanii bimá asdzą́ą́ naat'ááh nilį́įgo éí naat'áanii índa aláahgo bídahólníihii ádaanínígíí dzidiizts'ą́ą'go ída'azįįdgo baa na'aldeehgi jiníyá , áko asdzą́ą́ naat'ááh ázhdííniid , Aláahgo naat'áanii nílíinii , hool'áágóó hinínáa le' . T'áadoo bik'ee nił yée'go nitsíníkeesí , doodaii' t'áadoo łahgo áníínílniní ;
