28:1:001:1	Hozéíya be'asdzą́ą́ doo ba'ahódlíii áádóó ba'áłchíní
28:1:001:0	Azáíyah , Jótham , Éíhaz índa Heziikáíyah éí Júdah dine'é aláahgo binanit'a'í danilį́įgo yoołkááłdą́ą́' áádóó Jó'ash biye' Jerobówam éí Ízrel dine'é aláahgo binanit'a'í jílį́įgo yoołkááłdą́ą́' Bóhólníihii éí Biyérai biye' Hozéíya yich'į' haadzíí' .
28:1:002:0	Bóhólníihii ts'ídá átsé Hozéíya yich'į' haadzíí' yę́ędą́ą́' Bóhólníihii éí Hozéíya áyidííniid , Nílááh , ałjiłnii asdzání ła' bá'iiyehgo éí nidi'yoołchíiłgo na'áłchíní ádíílííł , háálá díí kéyahgi na'ageh ayóó át'éego yee tsi'naakaigo Bóhólníihii yóó'adeideez'ą́ .
28:1:003:0	Ákohgo Hozéíya dah diiyáago Dibléíyim bitsi' Gómer wolyéii yá'ázyeh áádóó i'niiltsąądgo ashkii yishchį́ .
28:1:004:0	Áko Bóhólníihii áhodííniid , Jézriyel bee yídíízhiił , háálá Jézriyelgi kéédahat'íinii nidabi'diztseedgo bidił dadeezna' yę́ę biniinaa t'óó hodíína'ígo Jííhu bikindóóígíí atíhodeeshłííł áádóó bee óhólníihgo bił haz'áanii Ízrel bee wójíhígíí áádeesįįł .
28:1:005:0	Áko éí bijį́ áhodooníiłgo Jézriyel honíteel góyaa dine'é Ízrel bee wójíii be'ałtį́į́' k'ídeeshtih .
28:1:006:0	Gómer anáá'niiltsąądgo bich'é'é yishchį́ . Áko Bóhólníihii éí Hozéíya áyidííniid , Loruhámah bee yídíízhiił , háálá dine'é Ízrel bee wójíii doo haa a'ááh náádínéesįįł da índa ádił nida'dziisí'ígíí ts'ídá doo hats'ánídideesh'áał da .
28:1:007:0	Nidi Júdah dine'é baa a'ááh dínéesįįł . Éí Bóhólníihii biDiyin God ádayósingo biniit'aa yisdádeeshnił . Ałtį́į́' , doodaii' diltłish , doodaii' anaa' , doodaii' łį́į́' , doodaii' łį́į́' nidabiyéii doo bee yisdáhodeeshnił da .
28:1:008:0	Gómer éí Loruhámah ho'díít'óodgo anáá'niiltsąądgo biyáázh ła' náánéíshchį́ .
28:1:009:0	Áko Diyin God ádííniid , Lo'ámai bee yídíízhiił , háálá doo shidine'é danohłį́į da áádóó doo nihiDiyin God nishłį́į da doo .
28:1:010:0	Azhą́ ákót'ée nidi , Ízrel ba'áłchíní éí tónteel bibąąhjį' séí táłts'áyiił'eełígíí ts'ídá doo jóołta' ánéelą́ą' daígi át'ée doo . Doo shidine'é danohłį́į da , bi' doo'niidígi ts'ídá t'áá éí haz'ą́ągi Diyin God hináanii biye'ké danohłį́ , bi'di'níi dooleeł .
28:1:011:0	Ákohgo Júdah dine'é áádóó Ízrel dine'é t'áá áłah ahiih nídookahgo binanit'a'í t'ááłá'í ádá nideidoołtééł índa éí kéyahgi háádínóot'į́į́ł , háálá éí bijínídóó Jézriyel dine'é ayóó át'éego bíyoołkáał doo .
