2:26:001:1	Níbaal bii' hodílzinii
2:26:001:0	Náá'áłdó' níbaal bii' hodílzinii bitis hííkaad dooígíí neeznáago ádadoohłííł ; yisdizii yá nahalingo dootł'izhígíí áádóó tsídídééh nahalingo łichí'ígíí índa łichxí'ígíí éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii biyi'jį' yistł'ǫ́ǫgo , diyingo nidaal'a'í chérabim wolyéii bee nidaashch'ąą'go daohchįįhgo ádadoohłííł .
2:26:002:0	Éí t'ááłá'í níłtsoozígo dízdiindóó ba'aan naaki ké silá ádaníłnéez doo , áádóó t'ááłá'í níłtsoozígo hastą́ą́h ké silá ádaníłtéel doo ; t'áá ałtso t'áá aheedaníłtso doo .
2:26:003:0	Áko éí ashdla'go ahídahididoolchah , áádóó náá'ashdla'go t'áá ákónáánát'éego ahínáádahididoolchah .
2:26:004:0	Áádóó áłtsé ahídahididoolchahígíí bibąąhgi na'at'ą́hí yá nahalingo dootł'izhígíí łoh ashdladiingo bąąh yí'nil dooígíí ádadoohłííł ; naaki góne' ahídahididoolchahígíí t'áá ákónáánát'éego łoh ashdladiingo bąąh nááná'nil dooígíí ádadoohłííł .
2:26:005:0	Ła' bibąąhgi łohígíí ashdladiingo bąąh yí'nil dooígíí ádadoohłííł , áádóó naaki góne' ahídahididoolchahígíí ła' bibąąhgi łohígíí ashdladiingo bąąh nááná'nil dooígíí ánáádadoohdlííł ; łoh bąąh yí'nil dooígíí éí ałnaashii yí'nil doo .
2:26:006:0	Áko óola ił dah nídaatį́įh dooígíí ashdladiingo ádadoohłííł , áko bitis hííkaad dooígíí ahihidiiłtsoozgi łoh bąąh yí'nilígíí óola ił dah nátį́hí yee da'ahótą'go ádadoohłííł ; ákohgo níbaal bii' hodílzinii t'áá ła' bizhi'ee si'ą́ą dooleeł .
2:26:007:0	Áádóó níbaal bii' hodílzinii bitis hííkaad dooígíí tł'ízí bighaa' bee yistł'ǫ́ǫgo ła'ts'áadahgo ádadoohłííł .
2:26:008:0	Díí bitis hííkaad dooígíí t'ááłá'í níłtsoozígo dízdiindóó ba'aan ashdla' ké silá ádaníłnéez doo , áádóó t'ááłá'í níłtsoozígo hastą́ą́h ké silá ádaníłtéel doo ; ła'ts'áadahgo bitis hííkaad dooígíí t'áá ahee daníłtso doo .
2:26:009:0	Bitis hííkaad dooígíí ashdla'go t'áá sahdii ahídahidoołchah , áádóó hastą́ą́h bitis hííkaad dooígíí ałdó' t'áá sahdii ahínáádahidoołchah , índa hastą́ą́h góne'ígíí éí níbaal bii' hodílzinii bich'é'étiingi t'ą́ąjį' ahą́ą́h nániilyéehgo ádadooh łííł .
2:26:010:0	Áádóó áłtsé ahídahidiilcha'ígíí bibąąhgi łoh ashdladiingo bąąh yí'nil dooígíí ádadoohłííł , índa naaki góne' ahídahidiilcha'ígíí t'áá ákónáánát'éego łoh ashdladiingo bąąh nááná'nil dooígíí ádadoohłííł .
