41:12:001:1	Ch'il na'atł'o'ii áádóó yaa ádahalyáanii binahjį' hane' bee ak'idi'dootį́įłii
41:12:001:0	Nít'éé' hane' bee ak'idi'dootį́įłii bee bich'į' ayázh'niiłti'go ájíní , Diné ła' ch'il na'atł'o'ii k'izhdííláago tsé binaa ahénátł'ingo ájiilaa , áádóó ákwii ch'il na'atł'o'ii yiljizh dooleełgi hahodziiznil , índa bikáá'dóó ha'alzídí hajíítł'ingo dego nízaadgóó yaa'áago ájiilaa , áko ch'il na'atł'o'ii yaa ádahalyą́ą dooleełii baa dzisįįdgo náánáła' kéyahgóó ajííyá .
41:12:002:0	Áko baa hoolzhiizhgo há naalte' ła' ch'il na'atł'o'ii yaa ádahalyánígíí bich'į' ajííł'a' , dá'ák'eh yaa ádahalyáanii bits'ą́ą́dę́ę́' ch'il na'atł'o'ii bineest'ą' ła' shóidoołt'eeł biniyé .
41:12:003:0	Nít'éé' dahasiłgo nídahoneesxaalgo ch'il na'atł'o'ii t'áágééd anídahas'a' .
41:12:004:0	Áko há naalte' náánáła' bich'į' anáájííł'a' , nít'éé' éí [ tsé yee nídahoniłne'go] bitsiits'iin atídayiilaa , áádóó t'óó baa yáhásinígi ádayííł'įįd .
41:12:005:0	Áko náá'áłdó' náánáła' anáájííł'a' , nít'éé' éí dayiisxį́ , áko t'áá ákót'éego lą'í anáádziis'a' , éí ła' nídeineesxaal , ła' éí nideistseed .
41:12:006:0	Áko t'ááłá'í yidziih , éí haye' ayóó'ájó'nínígíí , áko , Shiye'jígo bił danilį́į dooleeł , jiníigo éí bee nihoolzhíísh góne' bich'į' ajííł'a' .
41:12:007:0	Nidi ch'il na'atł'o'ii yaa ádahalyánígíí áda'ahidoo'niid , Díí ch'il na'atł'o'ii bíí' dooleełígíí át'į́į́ lá ; sołtį' , dadiyiilyééł , áko bíí' dooleeł yę́ę nihíí' dadooleeł .
41:12:008:0	Áko dahasiłgo dahwiisxį́ áádóó ch'il na'atł'o'ii bitahdóó ch'ídahwiisxan .
41:12:009:0	Áko lá ch'il na'atł'o'ii bee bóhólníihii haa doonííł lá ? Jó , éí doogáałgo ch'il na'atł'o'ii yaa ádahalyánígíí neidoołtsił , áko ch'il na'atł'o'ii éí náánáła' yaa ádahalyą́ą dooleełii yaa néidoosįįł .
41:12:010:0	Da' díí bee ak'e'ashchínígíísh doo dayínółta' da ? Kin ádeił'íní tsé doo deiniizį́'ígíí , t'áá éí tsé bee naaná'ástł'inii silį́į́' ;
41:12:011:0	díidí Bóhólníihii áát'įįdígíí át'é , áko daníil'į́įgo bik'ee t'óó nihił adahayóí .
41:12:002:1	Síízar bich'į' tax nahalyéhígíí bína'ídéékid
41:12:012:0	Áko hodi'dooltsoł ch'ééh daniizį́į́' , nidi diné yíl'áhígíí yéédaaldzid , háálá éí hane' bee ak'idi'dootį́įłii binahjį' bí baa níjít'į́įgo bee hadzoodzíi'go yaa ákodaniizį́į́' , áko hats'ą́ąjį' dah dahidiikai áádóó yóó'aheeskai .
41:12:013:0	Áko Férisii danilíinii ła' áádóó Hérad yich'ijí danilíinii ałdó' ła' hazaad yee hákada'iiłhil doo biniyé hach'į' ada'as'a' .
41:12:014:0	Áko haa yíkaigo ádahodííniid , Na'nitiní , nihił béédahózingo t'áá aaníígóó hólne' , áádóó diné ła'da t'áadoo bééníldzidí da , háálá diné yee ał'ąą át'éii doo nił ał'ąą át'ée da , nidi t'áá aaníígóó Diyin God k'ehgo honít'i' bína'níłtin . Síízar bich'į' tax nahalyéegoósh bee haz'ą́ ? Doodaásh ?
41:12:015:0	Nida'iyiilyée daats'í , dooda daats'í ? Nidi honda'adlo'ígíí bił bééhózingo áháłní , Ha'át'íishą' biniyé shíkada'iyołhil ? Aadę́ę́' béeso denériyas wolyéhígíí ła' shaa noh'aahgo nísh'į́ .
41:12:016:0	Áko ła' haa deiz'ą́ . Nít'éé' ábijiní , Díishą' háí bitsiits'iin bik'i si'ą́ , áádóó háísh bízhi' bikáá' ? Nít'éé' ádahałní , Síízar lą́ą .
41:12:003:1	Aninéédę́ę́' náádi'doojahgi bína'ídíkid
41:12:017:0	Áko ábijiní , Síízar bíhígíí Síízar baa nídahoh'nííł , áádóó Diyin God bíhígíí éí Diyin God baa nídahoh'nííł . Áko t'áá íiyisí hak'ee t'óó bił adahayóí .
41:12:018:0	Nít'éé' Sádjusii danilíinii haa náánákai , éí aninéédę́ę́' doo náá'di'yiijeeh da daaní , áko kódaaníigo nidahódééłkid ,
41:12:019:0	Na'nitiní , Mózes yę́ę kót'éego nihá ak'e'ashchį́ , Diné ła'da bił hajíí'áázh ba'áłchíní t'áadoo haleehí be'asdzą́ą́ yąąh daaztsą́ągo , hak'is be'asdzą́ą́ nít'éé' yę́ę hwe'asdzą́ą dooleeł , áko hak'is yę́ę bá áłchíní hwee hodooleeł , níí nít'éé' .
41:12:020:0	Áko nít'éé' ashiiké t'áá ła' háájé'ígíí tsosts'id yilt'éé lá , áko alą́ąjį'ígíí be'asdzą́ą́ hazlį́į́' , nít'éé' t'áadoo ba'áłchíní haleehí daaztsą́ ,
41:12:021:0	áko hakéédę́'ígíí éí hwe'asdzą́ą́ nít'éé' yę́ę néidiiłtį́ , nidi t'áadoo ba'áłchíní nááhádleehí danáánáztsą́ , áko náá'ákéédę́'ígíí t'áá ákónáánádzaa ,
41:12:022:0	áko tsosts'id jilt'éhígíí t'áá ádzíłtso t'áadoo ha'áłchíní dahazlį́į' da . Hakée'di índa asdzání ałdó' daaztsą́ .
41:12:023:0	Aninéédę́ę́' náá'di'yiijeeh bijį́įdishą' éí háí be'asdzą́ą́ jílį́į doo ? Háálá t'áá tsosts'id yilt'éego be'asdzą́ą́ dzizlį́į́' .
41:12:024:0	Áko Jesus áháłní , Da' doósh Diyin God bizaad bee ak'eda'ashchínígíí áádóó Diyin God bibee adziilii doo nihił béédahózinígíí biniinaa nida'ayohsíih da ?
41:12:025:0	Háálá diné daneeznáádę́ę́' náádiijée'go , doo nááda'doogeh da , doo nidi ahaa dabi'dii'níił da doo , nidi yá'ąąshdi diyingo nidaal'a'ígíigi ádaat'é .
41:12:026:0	Aninéédę́ę́' náá'di'yiijeeh bídéét'i'gi , Diyin God éí dówózhii sikaadóó Mózes yich'į' haadzíi'go ání , Shí Éíbraham biDiyin God áádóó Áízak biDiyin God índa Jéíkab biDiyin God nishłį́ , dííniidiísh Mózes binaaltsoos biyi'gi t'ah doo dayínółta' da ?
41:12:004:1	Bee haz'áanii ts'ídá aláahdi át'éii
41:12:027:0	Daneeznáanii doo biDiyin God jílį́į da ; dahináanii biDiyin God jílį́ , áko t'áá íiyisí nida'ayohsííh .
