4:1:001:1	Sáínai honoojíidi Ízrel dine'é bi'déélta'
4:1:001:0	Bóhólníihii éí Mózes yich'į' haadzíí' ; Sáínai honoojíidi níbaal bii' dahozdísinii góne' naaki nídízííd binih ła'a jį́į́ góne' éí Ííjip kéyahdę́ę́' ch'ééjí'náádóó bik'ijį' naaki náhááh góne' áháłní ,
4:1:002:0	Ízrel dine'é dah deínéehii t'áá ałtso ahii' háá'ahiyoolchíiłii bitahgi dabizhé'é yę́ę ba'áłchíní da'ahílchíihii bik'ehgo bee dabi'dééji'ígíí łá'í nízínígo yíní łta' ,
4:1:003:0	Ízrel dine'é danilíinii bitahgi naadiindóó yówehgo béédááhaii ana'al'į́ yídaneel'áanii t'áá ałtso dah deínéehii Éran bił yídííłtah .
4:1:004:0	Áádóó nihíká adoojahii éí dine'é danilíinii dabizhé'é yę́ę bits'ą́ą́dóó náás ahoolchíiłii aląąjį' naazínígíí łá'í nítínígo
4:1:005:0	éí diné nihíká adoojahígíí kódaolyé : Shédiyer éí Rúben dine'é nilį́įgo biye' Iiláízer ,
4:1:006:0	Zúrishádai éí Símiyan dine'é nilį́įgo biye' Shiilúmiyel ,
4:1:007:0	Amínadab éí Júdah dine'é nilį́įgo biye' Náshan ,
4:1:008:0	Zú'er éí Ísakar dine'é nilį́įgo biye' Niithániyel ,
4:1:009:0	Híílan éí Zébyulan dine'é nilį́įgo biye' Iiláíyab ,
4:1:010:0	Jóseph ba'áłchíní Íífreiyim dine'é nilį́įgo Amáíhad biye' Iilíshama , áádóó Manáseh dine'é nilį́įgo Piidázer biye' Gaméíliyel ,
4:1:011:0	Gídiyónai éí Bénjamin dine'é nilį́įgo biye' Abáídan ,
4:1:012:0	Amishádai éí Dan dine'é nilį́įgo biye' Eihaiyíízer ,
4:1:013:0	Ákran éí Ásher dine'é nilį́įgo biye' Péígiyel ,
4:1:014:0	Dúwel éí Géed dine'é nilį́įgo biye' Iiláíyasaf ,
4:1:015:0	Íínan éí Náftalai dine'é nilį́įgo biye' Aháíra .
4:1:016:0	Díí éí dah da'ínéehii bitahdę́ę́' náhaasdlá'ígíí áádóó dabizhé'é yę́ę bidine'é danilínígíí Ízrel dine'é miilgo dah deínéehii yiląąjį' naazíinii danilį́ .
4:1:017:0	Áko Mózes índa Éran díí diné dabi'dééji'ígíí néidiinil ,
4:1:018:0	áádóó naaki nídízííd binih ła'a jį́į́ góne' dah da'ínéhígíí t'áá ałtso áłah áyiilaago da'azhé'é yę́ę ádadóone'é danilínígíí bits'ą́ą́dóó da'ahílchíihii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii dayéélta' .
4:1:019:0	Mózes hach'į' Bóhólníihii yee haadzí'ígi át'éego Sáínai honoojíidi diné jííłta' .
4:1:020:0	Rúben dine'é nilíinii Ízrel alą́ąjį' bá yizhchíinii ba' áłchíní náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę ya'áłchíní danilį́įgo dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:021:0	éí Rúben dine'é bits'ą́ą́dóó dízdiindóó ba'aan hastą́ądi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́' .
4:1:022:0	Símiyan dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:023:0	éí Símiyan dine'é bits'ą́ą́dóó ashdladiindóó ba'aan náhást'éidi mííldóó ba'aan táadi neeznádiin ánéelą́ą́' .
4:1:024:0	Géed dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:025:0	éí Géed dine'é bits'ą́ą́dóó dízdiindóó ba'aan ashdladi mííldóó ba'aan hastą́ądi neeznádiindóó ba'aan ashdladiin ánéelą́ą́' .
4:1:026:0	Júdah dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:027:0	éí Júdah dine'é bits'ą́ą́dóó tsosts'idiindóó ba'aan dį́įdi mííldóó ba'aan hastą́ądi neeznádiin ánéelą́ą́' .
4:1:028:0	Ísakar dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:029:0	éí Ísakar dine'é bits'ą́ą́dóó ashdladiindóó ba'aan dį́įdi mííldóó ba'aan dį́įdi neeznádiin ánéelą́ą́' .
4:1:030:0	Zébyulan dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:031:0	éí Zébyulan dine'é bits'ą́ą́dóó ashdladiindóó ba'aan tsosts'idi mííldóó ba'aan dį́įdi neeznádiin ánéelą́ą́' .
