4:27:001:1	Ziilófehad bitsi'ké da'dííkeed
4:27:001:0	Nít'éé' Jóseph biye' Manáseh ba'áłchíní náás ahoolchíiłii Méíkir éí Manáseh biye' , Gíliyad éí Méíkir biye' , Híífer éí Gíliyad biye' , Ziilófehad éí Híífer biye' , éí Ziilófehad bitsi'ké yíkai ; éí bitsi'ké kódaolyé : Mála , Nóah , Hágla , Mílka índa Térza .
4:27:002:0	Áko éí níbaal bii' dahozdísinii bich'éédą́ą'gi Mózes áádóó náá'iiłniihii Eliyéízar áádóó naat'áanii danilíinii índa dah oonéłígíí t'áá ałtso yidááhdóó niikaigo ádaaní ,
4:27:003:0	Nihizhé'é yę́ę honoojíidi ádin ; éí Kórah yił ahíikaigo Bóhólníihii yich'į' nidaalteeh nít'é'ígíí doo yił naakai da nít'éé' , nidi t'áá bí ádił ni'iisíihgo daaztsą́ , áko biye'ké éí t'áadoo hazlį́į' da .
4:27:004:0	Ha'át'íísh biniyé nihizhé'é yę́ę biye'ké t'áadoo hazlį́'ígíí biniinaa dabik'is bitahdóó bízhi' doo bééhodoozįįł da ? Éí bąą nihizhé'é yę́ę dabik'is bitahdóó kéyah nihíí' dooígíí ła' nihaa dinoh'aah .
4:27:005:0	Kót'éego Mózes éí díí yaa nídaat'ínígíí Bóhólníihii baazhdiní'ą́ .
4:27:006:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:27:007:0	Ziilófehad bitsi'ké t'áá aaníígóó hadaasdzíí' ; t'áá aaníí bizhé'é yę́ę bik'is bitahdóó kéyah daahóó' dooígíí hataadidíí'aał , áko bizhé'é yę́ę bikéyah baa dadidíí'ááł .
4:27:008:0	Áádóó Ízrel dine'é bich'į' hadíídzihgo kóbididííniił , Diné ła' biye' t'áadoo hazlį́į́'góó bí daaztsą́ągo bikéyah bitsi'ké bíí' nidahaleehgo ádaałe' doo .
4:27:009:0	Nidi bitsi' t'áadoo hazlį́į́'góó éí bik'isóó bíí' dooleełgo baa dahidoh'aah doo .
4:27:010:0	Bik'isóó ałdó' doo hólǫ́ǫ́góó bizhé'é yázhí bíí' dooleełgo baa dahidoh'aah doo .
4:27:002:1	Mózes á dzizį́į́ nít'éé' yę́ęjį' Jáshowa adoogááł biniyé nizhníłtį́
4:27:011:0	Nidi bizhé'é yázhí doo ła' hólǫ́ǫ́góogo éí t'áá hak'éí nilínígíí ła' kéyah bíí' dooleeł , áko Ízrel dine'é bich'į' yee nihoní'áanii bee nihodiit'aah doogo Bóhólníihii éí Mózes yich'į' yee haadzíí' .
4:27:012:0	Áádóó Bóhólníihii éí Mózes ííłní , Nílááh , díí Dził Ábarim góde hasínáahgo kéyah éí Ízrel dine'é baa diní'ánígíí dínííł'įįł .
4:27:013:0	Áko nííníł'į́į'go t'áá nik'is Éran anábi'dooltínígi át'éego ni ałdó' nidine'é daazlį́'ígóó ándi'doolnííł .
4:27:014:0	Háálá honoojí Zin hoolyéegi dah oonéłígíí saad dahółǫ́ yę́ędą́ą́' shibik'eh ó'oo'níiłii bik'ijį' nííníltee' ; tóogi dabinááł ts'ídá dinishyingo áshíínísin doo nít'éé' ; éí Méribah tóodi Kéídesh nahós'a' Zin honoojíigi áhóót'įįd .
4:27:015:0	Ákohgo Mózes éí Bóhólníihii yich'į' haadzíi'go ání ,
4:27:016:0	Bíni' Bóhólníihii éí nihokáá' dine'é t'áá ałtso biníłch'i yiDiyin God nilíinii diné ła' dah oonéłígíí yá sizį́įgo íidoolííł ;
4:27:017:0	éí yá ch'énádáah doo índa yilą́ąjį' yah anáhádáahgo yoo'ish doo índa yah anáyii'éesh doo , áko éí Bóhólníihii bits'ą́ą́dóó dah oonéłígíí doo dibé yaa áhályáanii bee ádinígíigi ádaat'ée da doo .
4:27:018:0	Áko Bóhólníihii éí Mózes ííłní , Nan biye' Jáshowa bił nídiit'aash ; éí yá'át'éehgo diné bii' honít'i'ii bik'i dah didíílnihgo
4:27:019:0	náá'iiłniihii Eliyéízar áádóó dah oonéłígíí t'áá ałtso bidááhdóó bił nidíí'ash , áko t'áá dabinááł bee óhólnííh baa díísįįł .
4:27:020:0	Áádóó bee níhólníhígíí bąąh nidíílééł , áko Ízrel dine'é dah yinéłígíí t'áá ałtso bik'eh dahół'į́į doo .
4:27:021:0	Áádóó náá'iiłniihii Eliyéízar wolyéii yidááhdóó néidzįįhgo , áko há na'ak'íyáłti'go Yúrim bibee nihodiit'aahii há bee Bóhólníihii binááł há na'ídíkid doo , áko éí bik'ehgo Jáshowa áádóó Ízrel dine'é dah yinéłígíí t'áá ałtso hazaad k'ehgo ch'énákah doo índa yah anákah doo .
4:27:022:0	Ákohgo Mózes éí Bóhólníihii áhodííniidígíí bi'jiilaa ; Jáshowa bił nízhdiit'áazhgo náá'iiłniihii Eliyéízar áádóó dah oonéłígíí t'áá ałtso bidááhdóó bił nizhní'áázh ,
4:27:023:0	áádóó Jáshowa bik'i dasdees'nii'go binaanish dooleełígíí baa dadzisįįdgo Mózes hwee Bóhólníihii yee haadzí'ígíí ájiilaa .
