4:34:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:34:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Kéínan kéyah biih woonáago , ( díí Kéínan kéyah bii' nidahwiisdzooígíí nihíí' ádadoohłííł : )
4:34:003:0	áko shádi'ááhjí hoodzo dooígíí éí honoojí Zin hoolyéédóó Íídam bihoodzo booshk'iizhgóó éí shádi'ááhjí nihoodzo dooígíí Tónteel Dók'ǫ́ǫzhii nineel'ánídóó ha'a'aahjigo hoodzo dooleeł ,
4:34:004:0	áádóó shádi'ááhdóogo naaná'ásdzo dooígíí éí Akrábim kéyah góde Zingóó hoodzo doo áádóó Kéídesh-barníya shádi'áahjigo ahoodzo doo , índa Héízar-ádar bíighahgóó Ázman hoolyéejį' ahoodzo doo ,
4:34:005:0	áádóó Ázman binaagóó ahééhoodzogo Ííjip kéyahgi tooh nílíníjį' áádóó tónteel siyíníjį' hoodzo doo .
4:34:006:0	Índa e'e'aahjí hoodzooígíí éí ayóó át'é tónteel siyínígíí bibąąhgóó hoodzo doo . Díí éí e'e'aahjígo hoodzooígíí át'ée doo .
4:34:007:0	Díí náhookǫsjí hoodzooígíí át'ée doo : ayóó át'é tónteel siyínídóó Dził Hor si'áníjį' hoodzogo ádíílííł ,
4:34:008:0	áádóó Dził Hor si'ánídóó Héímath hoolyéejį' yah ahóót'i'ígíí bíighahgóó hoodzogo ádíílííł , áádóó Zíídad hoolyéejį' hoodzo doo ,
4:34:009:0	áádóó Zífran hoolyéégóó hoodzogo Héízar-íínan kin shijaa'jį' hoodzo doo ; díí éí náhookǫsjí hoodzooígíí át'ée doo .
4:34:010:0	Áádóó ha'a'aahjígo hoodzooígíí éí Héízar-íínandóó Shíífam hoolyéejį' hoodzogo ádíílííł ,
4:34:011:0	índa éí hoodzooígíí Shíífamdóó Ríblah kin haal'áajį' áádóó Áyiin hoolyéii ha'a'aahjígo hoodzo doo , áádóó ha'yaago hoodzooígíí tó siyínígíí Kíniireth hoolyéii ha'a'aahjí hoodzo doo .
4:34:012:0	Áko hoodzooígíí éí Jórdan tooh nílíní góyaa áádóó Tónteel Dók'ǫ́zhíjį' hoodzo doo : díí éí nihináhásdzooígíí nihikéyah át'ée doo .
4:34:013:0	Áádóó Mózes éí Ízrel dine'é yich'į' haadzíi'go ání , Yáá'iilt'e' bik'ehgo díí kéyah nihíí' dadooleeł ; éí dine'é náhást'éiigo áádóó dine'é ałníí'dóó bee bi'dójíii baa didoot'ááł níigo Bóhólníihii haadzíí' .
4:34:014:0	Rúben dine'é dabizhé'é yę́ę ba'áłchíní da'ahílchíihii bik'ehgo áádóó Géed dine'é dabizhé'é yę́ę ba'áłchíní da'ahílchíihii bik'ehgo índa Manáseh dine'é ałníí'dóó bee bi'dójíii éí kéyah bíí' dadooleełgo baa dahideest'ą́ .
4:34:015:0	Naakigo dine'é nilíinii áádóó dine'é ałníí'dóó bee bi'dójíii éí kéyah bíí' doogo Jériko binaashii Jórdan tooh nílíní ha'a'aahjigo háá'át'ááh bich'į'go baa dahideest'ą́ .
4:34:016:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:34:017:0	Díí náá'iiłniihii Eliyéízar áádóó Nan biye' Jáshowa éí kéyah danihíí' dooleełígíí nihá ałts'ádeidoozoh .
4:34:018:0	Áko dine'é danilínígíí bitahdóó naat'áanii danilíinii t'ááłá'ígo éí kéyah hóó' dadooleełígíí hazhé'é deidoozoh biniyé nidíínił .
4:34:019:0	Éí hastóí kódaolyé : Júdah dine'é bitahdóó éí Jiifáneh biye' Kéíleb niiltį́ ;
4:34:020:0	Símiyan dine'é bitahdóó éí Amáíhad biye' Shému'el niiltį́ ;
4:34:021:0	Bénjamin dine'é bitahdóó éí Kíslan biye' Iiláídad niiltį́ ;
4:34:022:0	Dan dine'é bitahdóó éí Jáglai biye' naat'áanii nilíinii Bákai niiltį́ .
4:34:023:0	Jóseph ba'áłchíní ahoolchíiłii ła' Manáseh dine'é danilíinii bitahdóó éí Íífad biye' naat'áanii nilíinii Hániyel niiltį́ ,
4:34:024:0	áádóó Íífreiyim dine'é bitahdóó éí Shíftan biye' naat'áanii nilíinii Kému'el niiltį́ .
4:34:025:0	Zébyulan dine'é bitahdóó éí Párnak biye' naat'áanii nilíinii Elizéífan niiltį́ .
4:34:026:0	Ísakar dine'é bitahdóó éí Ázan biye' naat'áanii nilíinii Páltiyel niiltį́ .
4:34:027:0	Ásher dine'é bitahdóó éí Shiilómai biye' naat'áanii nilíinii Aháíhad niiltį́ .
4:34:028:0	Náftalai dine'é bitahdóó éí Amáíhad biye' naat'áanii nilíinii Pédahel niiltį́ .
4:34:029:0	Díí éí naat'áanii danilíinii éí Bóhólníihii haadzí'ígíí bik'ehgo kéyah íí' dooleełii Ízrel dine'é yitaadeidoozohgo Kéínan kéyah bíí' dadooleeł .
