50:1:001:1	K'é ha'níinii
50:1:001:0	Paul áádóó Timothy , Jesus Christ yá naal'a'í niidlíinii , Christ Jesus dayoodlą́ągo Diyin God bidiyį́į́' danilíinii Fílipaigi kéédahat'íinii t'áá ałtso , da'oodlání yá naazíinii índa da'oodlání yaa ádahalyáanii t'áá óóltą'go bich'į' naaltsoos íilnééh :
50:1:002:1	Paul éí Fílipaigi oodlání danilíinii yá sodilzin
50:1:002:0	Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo .
50:1:003:0	T'áá nihénínáshnih bik'eh shiDiyin God bich'į' ahééh nisin .
50:1:004:0	T'áá áłahjį' t'áá nihá sodiszin bik'eh shił hózhǫ́ǫgo t'áá ánółtso nihá ná'ooshkąąh .
50:1:005:0	Ts'ídá áłtséedi hane' yá'át'éehii deisoohdląąd yę́ędóó díí jį́į́góó bee ahił daniidlínígíí baa ahééh nisin .
50:1:006:0	Díí t'áá íiyisí shił bééhózin : Diyin God naanish yá'át'éehii nihiyi' yaa nídiidzáhígíí éí náásgóó nihinaalnishgo Jesus Christ nádzá bijį́įjį' ałtso ła'yidoolííł .
50:1:007:0	T'áá ánółtso shijéí bee ayóó'ánihíínísh'níigo bąą kót'éego nihaa nitséskees dooígíí shá bohónéedzą́ , háálá awáalyaaí nishłį́įgo , doodaii' doo awáalyaaí nishłį́į da nidi , hane' yá'át'éehii bich'ą́ą́h yáshti'go índa bohoníłdzilgo áshłéhígíí shá ashja'ósingo , Diyin God yee shaa joozba'ígíí t'áá ánółtso shił ałts'ą́ą́' da'nołk'iiz .
50:1:008:0	Jesus Christ bibee ayóó'ó'ó'níinii bee t'áá ánółtso ayóó át'éego nihídin nishłį́įgo Diyin God shá bił bééhózin .
50:1:009:0	Díí bíká sodiszin : ił ééhózin índa ts'ídá át'éegi ak'i'diitįįh , éí nihe'ayóó'ó'ó'ni' t'áá bił lą'ígo nihee dahólǫ́ǫ doo .
50:1:010:0	Áko yá'ádaat'éehii nihił béédahózingo bee lą́ nida'ayohłeeh doo . Índa Christ nádzá beiníłką́ąjį' yá'át'éehgo nitsídaahkeesgo t'áadoo bee nihik'ídahót'ahí da doo .
50:1:003:1	Hinishnánígíí éí Christ át'é
50:1:011:0	Áádóó Jesus Christ bee ts'ídá t'áá ákogi é'ét'é bineest'ą' nihee nídahoodleeł doo biniyé nihá bíká sodiszin , áko éí bee Diyin God ayóó ájít'éhígíí bééhodoozįįł , índa bee haa ha'niih doo .
50:1:012:0	Shik'isóó , shich'į' áhóót'įįdígíí éí hane' yá'át'éehii hózhǫ́ náás kwíidoolííł biniyé shich'į' áhóót'įįdgo nihił béédahózin doo nihósh'ní .
50:1:013:0	Christ biniinaa awáalyaaí nishłínígíí éí aláahgo naat'áanii bisiláo aa ádahalyáanii t'áá ałtso áádóó diné t'áá ałtsogóó bił béédahoozin .
50:1:014:0	Awáalyaaí nishłínígíí bąą Christ bee ałk'isóó dajílínígíí k'asdą́ą́' t'áá ádzíłtso ałdó' Bóhólníihii bee dahadziilgo ádaho'diilyaa , áko t'áadoo bik'ee hoł daayé'í , índa t'ah náábíláahgo doo dadzisti'góó Diyin God bizaad bee yádajiłti' dadzizlį́į́' .
50:1:015:0	Ákondi ła' da'oołch'į́įdgo áádóó saad ídei'áahgo Christ yaa dahalne' , nidi ła' éí yá'át'éehgo nitsáhákees bee yaa dahalne' .
50:1:016:0	Saad dahółǫ́ǫgo ach'ą́ą́h nidaa'na'go Christ yaa dahalne'ígíí éí t'óó ádaat'į́įgo ádaaní ; awáalyaaí nishłį́įgo díí bee hóda'iits'ih dashó'níigo ádaat'į́ .
50:1:017:0	Nidi yá'át'éehgo nitsídaakeesígíí éí ayóó'ádashó'níigo Christ yaa dahalne' , háálá awáalyaa sédáago hane' yá'át'éehii bich'ą́ą́h yáshti' doo biniyé nishi'deeltį́įgo hoł béédahózin .
50:1:018:0	Ákoshą' hait'ée doo ? Háni'diínee' , t'áá azlį́'ígi át'éego baa nijikai , t'óó ádajit'į́įgoda , éí doodaii' t'áá aaníí ádajit'į́įgoda , Christ baa dahojilne'ígíí éí bąą shił hózhǫ́ . Áádóó t'áá aaníí bąą shił hózhǫ́ǫ doo .
50:1:019:0	Háálá shá sodadołzingo áádóó Jesus Christ biNíłch'i Diyinii shíká adoolwołgo shéédidoochiłgo shił bééhózin .
50:1:020:0	Ts'ídá doo t'óó shaa yáhodoosįįł daígíí t'áá awołí bee bíká shił chohoo'į́įgo neíníshłí , nidi ts'ídá t'áadoosti'ee k'ad hinishná índa t'áá át'é yę́ęgi át'éego hinishnáá léi' , doodago éí dasétsą́ą́ léi' , t'áá sézį́į́ nít'éé' shee Christ baa ha'niih doo .
50:1:021:0	Háálá hinishnánígíí éí Christ át'é , áádóó dasétsánígíí éí a'ídeeł át'é .
50:1:022:0	Nidi t'áá hinishnáago éí naanish yá'ádaat'éehii lą'ígóó ła'náádadeeshdliił , áko nidideesh'áłígíí éí doo shił bééhózin da .
50:1:023:0	Háálá díí naakigo haz'ánígíí t'áá íiyisí baa nitséskees . Dashdooya'go Christ bił hojílǫ́ǫ laanaa nisin , háálá áájí íiyisí yá'át'ééh .
50:1:024:0	Ákondi t'áá hinishnáago éí aají t'ah aláhídi át'éego nihá bohónéedzą́ .
50:1:025:0	Díí t'áá íiyisí shił bééhoozin , éí t'áá hinishnáa doo , áádóó t'áá ánółtso nihił honishłǫ́ǫgo nihe'oodlą' danéeséeh doo , áko éí bąą nihił dahózhǫ́ǫ doo .
50:1:026:0	Áko nihaa nánísdzáago shinahjį' t'ah biláhígo Christ Jesus baa dadzíínóhłíi dooleeł .
50:1:027:0	Áyąądą́ą́' Christ baa hane' yá'át'éehii nizhónígo bik'eh deínóhkáah le' , áko nihaa níyáago , éí doodaii' doo aadi naasháa da nidi , t'áá aheełt'éego danołdzilgo nidasoozį́įgo áádóó t'ááłá'í nitsáhákees bee hane' yá'át'éehii deinohdlánígíí bee ahąąh deínółdzíiłgo nihaa náhodiists'į́įh doo .
50:1:028:0	Nihits'ą́ą́jí danilíinii ts'ídá t'áadoo bik'ee nihił daayé'í . Jó , éí áhodidooldįįłígíí bee hwéédahózinii át'é , nidi nihíjí t'éiyá yisdánihidi'doo'niłígíí Diyin God bits'ą́ą́dę́ę́' bee nihééhózinii át'é !
50:1:029:0	Háálá doo t'óó Christ deidoohdląął t'éí biniyé nihik'idahodzisdli' da , nidi Christ bá ti'dahwiidoohnih ałdó' biniyé nihik'idahodzisdli' .
50:1:030:0	Áko hane' yá'át'éehii yits'ą́ą́jí danilíinii t'áá shizááká bich'į' naasdzilgo dashoołtsą́ áádóó k'ad shaa dahodoohts'a'ígi át'éego nihí ałdó' t'áá nihizááká nidaałdzil .
