53:1:001:1	K'é ha'níinii
53:1:001:0	Shí Paul áádóó Silvéínas índa Timothy , Thesalonáíkagi da'oodlání áłah nádleehii Diyin God nihiTaa' índa Bóhólníihii Jesus Christ bíí' danilíinii bich'į' naaltsoos ádeiilnééh :
53:1:002:1	Christ nádzáadi bąąhági ádaaníiłii baa náhódóot'įįł
53:1:002:0	Diyin God nihiTaa' índa Bóhólníihii Jesus Christ bibee ajooba' áádóó bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo .
53:1:003:0	Nihik'isóó , ts'ídá t'áá áłahjį' Diyin God bich'į' nihaa ahééh daniidzin dooleełgo yá'át'ééh , áko ákódeiit'į́ . Háálá nihida'oodlą' t'áá íiyisí danéesééh , áádóó t'ááłá'í nootínígo bee ayóó'áda'ahíínóh'nínígíí hózhǫ́ bidziil yileeł .
53:1:004:0	Azhą́ atídanihi'dil'į́ áádóó nihich'į' nidahwii'náa nidi hada'íínółníigo yéego nisoozį́įgo da'iinohdlą́ . Éí bąą Diyin God dayoodláanii áłah nídaadleehgóó nihaa dahwii'niih .
53:1:005:0	Diyin God bee bóhólníihgo bił haz'áanii bą́ą́h da'nohłį́įgo ánihidoolííł biniyé ti'dahoohnííh . Éí Diyin God ts'ídá t'áá ákogi át'éego ánihwii'aahgo bee bééhózin .
53:1:006:0	Háálá Diyin God ts'ídá t'áá ákogi át'éego ádooníiłgo atídanihił'ínígíí ti'hoo'nííh yee k'ééhodidoodlííł .
53:1:007:0	Áádóó nihich'į' nidaho'diilnáanii nihił háádadoołyįhgo nihaididoo'ááł , Bóhólníihii Jesus bidiyingo nidaal'a'í ayóó ádabóodziilii yił yá'ąąshdę́ę́' yit'íní áyiilaago índa ákóhodoonííł .
53:1:008:0	Diyin God doo béédahodzísinii índa nihiBóhólníihii Jesus baa hane' yá'át'éehii doo bik'eh dahojíł'íinii kǫ' bits'áhodino'ii yee k'ééhodidoodlííł .
53:1:009:0	Áko hool'áágóó atídaho'diilyaa doo , Bóhólníihii áádóó bibee adziil ayóó át'éii bits'áho'dee'nilgo ti'dahojooníih doo ,
53:1:010:0	Jesus nádzá bijį́įdi bidiyį́į́' ayóó át'éego bee baa ha'niih doo , índa dahoosdląądii t'áá ałtso hak'ee t'óó bił adahayói doo . Nihí ałdó' anohtah dooleeł , háálá bee nihił dahwiilne'ii deisoohdląąd .
53:1:011:0	Áko díí biniyé t'áá áłahjį' nihá sodadiilzin , éí nihiDiyin God yee nihá íinízinii yee nihíká ádííniidii bą́ą́h da'nohłį́įgo ánihidoolííł . Áádóó t'áá ałtsojį' yá'át'ééh ádaahníił dooleełígíí biniyé , índa oodlą' bee baa dadzíínóhłíigo baa nidaahkaígíí bibee adziilii yee nihá ła'yidoolííł .
53:1:012:0	Áko nihiDiyin God áádóó Bóhólníihii Jesus Christ bibee ajooba' bik'ehgo nihiBóhólníihii Jesus nihee baa ha'niih doo , áádóó nihí bił łá'í danohłį́įgo nihaa ha'niih doo .
