5:14:001:1	Doo da'oodláanii k'ehgo t'áadoo yínííł nídaohdleehí
5:14:001:0	Bóhólníihii nihiDiyin God ba'áłchíní danohłį́ ; daneeznánígíí bá t'ááká nida'ádiyołgéésh yíila' , éí doodaii' nihítáa'gi t'ááká bá bídaahshééh yíila' .
5:14:002:1	Naaldlooshii daadáanii índa doo daadáanii
5:14:002:0	Háálá Bóhólníihii nihiDiyin God bich'į' diné dadiyinii danohłį́ , áádóó Bóhólníihii t'áá bí ádá t'áá sahdii ánóht'ée doo biniyé nánihidiinilgo nihokáá' dine'é t'áá ałtso biláahgo ánóht'éego ánihósin .
5:14:003:0	T'áá ha'át'íhída Bóhólníihii doo yíłdinii doo jiyą́ą da .
5:14:004:0	Naaldlooshii kódaat'éhígíí daohsą́ : éí béégashii lá , dibé lá índa tł'ízí lá .
5:14:005:0	Bįįh , jádítsoh , bįįh łitsoii , tł'ízí ałchinii , tsétah tł'ízí , jádí índa tsétah dibé daahsą́ .
5:14:006:0	Áádóó naaldlooshii kódaat'éii bikéshgaan dahałgizhígíí índa nída'at'aałígíí éí t'éí daohsą́ .
5:14:007:0	Naaldlooshii bikéshgaan dahałgizhígíí , doodaii' nída'at'aałígíí ła' doo yidą́ą da : éí ghą́ą́'ask'idii áádóó gah índa dlǫ́'iigi át'éhígíí , háálá éí nída'at'aał nidi bikee' doo dahałgizh da . Éí doo nihá yá'ádaat'éeh da .
5:14:008:0	Áádóó bisóodi éí bikee' hałgizh nidi doo ná'át'aałgóó bąą doo nihá yá'át'éeh da ; bitsį'ígíí doo ła' dadoohsį́įł da áádóó daninéhígíí bits'íís doo bi'deelchíid da .
5:14:009:0	Díí táyi' nidaaldeehii t'áá ałtso kódaat'éhígíí daohsą́ : bit'a' dahólónígíí índa bikágí ałk'i dadook'įhígíí éí daahsą́ .
5:14:010:0	Nidi bit'a' ádaadinígíí índa bikágí doo ałk'i dadook'įhígíí doo yidą́ą da . Éí doo nihá yá'ádaat'éeh da .
5:14:011:0	Nidaat'a'ii yá'ádaat'éehii t'áá ałtso daohsą́ .
5:14:012:0	Nidi díí éí t'áadoo daohsání : éí atsá áádóó jeeshóó' áádóó jeeshóó' diłhiłii
5:14:013:0	áádóó atseełtsoii áádóó giní índa atsá ał'ąą ádaat'éii
5:14:014:0	áádóó gáagii ał'ąą ádaat'éii
5:14:015:0	áádóó tsídiitsoh ástrich wolyéii áádóó ná'áshjaa' áádóó tábąąsdísí índa giní ał'ąą ádaat'éii
5:14:016:0	áádóó dlǫ́'átah ná'áshjaa' áádóó ná'áshjaatsoh áádóó ná'áshjaałgaii
5:14:017:0	áádóó naal'eełí bidaas'nézí áádóó ch'il haat'agii áádóó toohjį' noołnahii
