66:3:001:1	Sárdisgi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:3:001:0	Sárdisgi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí : Diyin God biNíłch'i tsosts'idgoígíí índa sǫ' tsosts'id dah yoojihii kóní : Baa nidaahkaii shił bééhózin ; dahinohnáago danihi'dójíi nidi dasinoonáago át'é .
66:3:002:0	Ch'éédanohdzííd , daadziihii k'adę́ę daninée nidi dabidziilgo áńdaahdle' , háálá baa nidaahkaii shiDiyin God binááł t'ah doo hadaałt'éego yiistséeh da .
66:3:003:0	Áko na'nitin nihee dahazlį́'ígíí áádóó dasidoots'ą́'ígíí béédaałniihgo dayínóhtą' , índa łahgo át'éego tsínáhodiikees bida'ohłééh . Doo ch'éédanohdzíídgóogo ani'įįhiigi át'éego deeshááł , áko hoolzhishgi nihaa deesháłígíí ts'ídá doo nihił béédahózin da doo .
66:3:004:0	Nidi Sárdisgi nihitahgóó t'ah doo bi'éé' deiłchǫǫhii t'áá díkwíí dabízhi' t'ahdii béédahózin ; éí algaigo hadadít'éego shił yikah doo , háálá éí yą́ą́h danilį́ .
66:3:005:0	T'áá ak'eh deesdlį́'ígíí algaigo hadadít'ée doo , áádóó iináájí naaltsoos biyi'dóó házhi' ts'ídá doo k'éé'deeshchǫǫł da . ShiTaa' índa bidiyingo nidaal'a'í dabinááł házhi' bee ádee hadideesdzih .
66:3:002:1	Filadélfiyagi da'oodlání áłah nádleehii bich'į' hane' ályaa
66:3:006:0	T'áá háiida daz'diits'a'ii Níłch'i Diyinii éí da'oodlání áłah nídaadleehii kwííłníigo yee yił halne'ígíí háni'dii dajíists'ą́ą́' .
66:3:007:0	Filadélfiyagi da'oodlání áłah nádleehii bidiyingo naal'a'í kót'éego bich'į' ak'e'íłchí : Diyin nilíinii , t'áá aaníinii nilíinii , David bibee ąą ńdítį́hí neitinii , ąą yidinítą́ągo ła'da doo dáń'di'doołkałii índa dádi'níłkaalgo ła'da doo ąą néididootį́įłii kóní :
66:3:008:0	Baa nidaahkaii shił bééhózin . Jó'akon , nihidáahgi dáádílkał ąą át'éego áshłaa , éí ła'da doo dá'dółkaał át'ée da ; bee adziilii t'áá áłts'íísígo nihee hólónígíí shił bééhózin , nidi shizaad bik'eh dahonoł'į́įgo , Házhi' doo bééhasin da , t'áadoo dashidooniid da .
66:3:009:0	Jó'akon éí , Jew dine'é daniidlį́ , daaníigo nidi doo éí danilį́į́góó dabiyooch'íidii níłch'i bida'iiníziinii binanit'a'í yaa áłah nádleehii danilíinii , éí nihaa dookahgo nihiyaajį' nitsidadidoogohgo ayóó'ádanihíínísh'nínígíí bił béédahózingo ádeeshłííł .
